sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,rouge1,rouge2,rougel,meteor,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",MHA_114 → RPSR_34 → RPSR_8932 → EPF_AT,MHA_114 → RPSR_34 → RPSR_8932 → EPF_AT → RPSR → MHA → MHA_101 → MHA_85,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Client,since you have an experience of more that 10 years, you can go for regularization in the court. contractual employees need 10 years of experience to be regularised.","Under Indian law, specifically the Supreme Court's rulings in cases like ""Secretary, State of Karnataka v. Umadevi (3),"" regularization of contract employees is not an automatic right and is contingent upon specific conditions being met. Contract employees cannot claim regularization solely based on the length of service unless they meet the criteria set by the court, such as working against a sanctioned post and the appointment being made in compliance with the rules. In your case, since you have been working for over 10 years and receiving benefits similar to regular employees, you may have a basis to argue for regularization, but it will depend on whether your appointment was against a sanctioned post and followed due process.

Consider filing a writ petition in the Delhi High Court seeking regularization based on your long service and the nature of your employment benefits. Gather all relevant documents, including your appointment letter, contract extensions, and proof of benefits received, to support your case.",20.0758,3.9274,17.6252,19.1222,83.942
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",IRC_72 → FIN_A_8 → PSI_9 → RPSR_5923A,IRC_72 → FIN_A_8 → PSI_9 → RPSR_5923A → RPSR → FIN_A → PSI → IRC,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","Widow daughter can get family pension of panchayat taj dept employees.( North 24 Parganas, West Bengal )","Dear client,as writs are filed in violation of fundamental rights, you will have to prove the breach. You can do this by showing it is against article 14, which is right to equality under the Indian Constitution.Thank you, Have a nice day.","A writ petition can be filed in the High Court under Article 226 of the Indian Constitution if there is evidence of fraudulent selection and political interference in the appointment of an Anganwadi worker. The court can issue a writ of mandamus to compel the authorities to act lawfully. However, the petitioner must provide substantial evidence of the alleged fraud and interference. The next steps include gathering all relevant documentation and evidence of the alleged misconduct and consulting with a lawyer to draft the writ petition.",20.0758,3.9274,17.6252,19.1222,83.942
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",MBA_10 → FA_79 → SPE_4 → MTW_24,MBA_10 → FA_79 → SPE_4 → MTW_24 → leave → Factories Act 1948 → SPE → wages,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I am working in a company but it is not adding any value to my personal development & career development. I am in the end of probation period. Can my company take action against me if I resign from the job or will have to face consequences. I want to know how they will handle me.( Bangalore, Karnataka )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","The primary legal issue is the company's refusal to pay due to insufficient notice for leave, which may relate to breach of employment contract terms. Under the Industrial Employment (Standing Orders) Act, 1946, and any applicable employment contract or company policy, employers may have specific requirements for notice periods. However, withholding salary or benefits as a penalty without due process may be unlawful.

You can send a formal written request to your employer, citing any relevant clauses in your employment contract or company policy. If the employer continues to refuse payment, consider filing a complaint with the Labour Commissioner in Uttar Pradesh for resolution under the Payment of Wages Act, 1936.",20.0758,3.9274,17.6252,19.1222,83.942
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",ESI_2 → ESI_2A → ESI_10 → ESI_20,ESI_2 → ESI_2A → ESI_10 → ESI_20 → Employees State Insurance Act 1948 → esi → ESI_39 → ESI_73E,"Hello Sir/Mam,

I was worked for a private IT company 5 days working a week for 4 years, 7 months and 24 days. Now when i asked company to pay the gratuity amount. They deny it saying i need to complete 5 years to become eligible for gratuity. But as per my research and finding a one should be eligible after 4 years, 190 days. Please help me out how to proceed further.( Jaipur, Rajasthan )","Widow daughter can get family pension of panchayat taj dept employees.( North 24 Parganas, West Bengal )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","A.Dear Sir,Yes, it depends upon the background of the case under workman compensation act.","Under the Employees' State Insurance Act, 1948, if a worker suffers an employment injury or dies as a result of an occupational disease or accident during the course of employment, the dependents may be entitled to compensation. Section 2(8) of the Act defines ""employment injury"" as a personal injury to an employee caused by an accident or an occupational disease arising out of and in the course of employment. If the stroke can be linked to the employment conditions or stress, it may qualify as an employment injury.

The dependents of the deceased worker should file a claim with the Employees' State Insurance Corporation (ESIC) for compensation. They should gather medical evidence and any relevant documentation that supports the claim that the stroke was work-related. If the claim is denied, they can appeal the decision through the appropriate legal channels.",20.0758,3.9274,17.6252,19.1222,83.942
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )",IDA_17B → EPF_12 → ESI_72 → ISM_12,IDA_17B → EPF_12 → ESI_72 → ISM_12 → wages → Industrial Disputes Act 1947 → ISM → Employees State Insurance Act 1948,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","In my graduation 3rd year marksheet my date of birth 21-jun-1993, seen 21-jun-1983 from distance, but actual it 21-jun-1993 when seen by lens, in 1993 third digit 9 is likely shaped birthday candel 9, and shape is likely 9,. Qr code represent 21-jun-1993 also. 
Please suggest me that ...should I do apply reprint in University or not? Is there any problem in govt job?( Bundi, Rajasthan )","Dear Client,Termination without notice other than disciplinary action amounts to illegal termination and is defined as an industrial dispute under Section 2A of the Industrial Disputes Act, 1947 which also violated the mandatory provision of Sec.25F and 25N of the Act that prescribed certain conditions to comply with by the employer before termination/retrenchment of a workman/employee from the employment. A company can neither withhold the original certificates of an employee nor demand money for returning the same which is amounted to an unfair labour practice as defined under Sec.2(ra) of the Industrial Dispute Act, 1947. In that scenario, the terminated employee/workman can raise an industrial dispute directly before the Industrial Tribunal/Labor Court concerned for adjudication within three years from the date of termination/retrenchment. Regardless of reasons, on cessation of employment, an employee is entitled to an experience certificate, relieving letter and F & F settlement dues from the employer within 30 days of the last working days (LWD) and denial of which amounted to unfair labour practices. So, in the prevailing situation, if you are not holding a position of manager or supervisor in the Company, but a workman as defined under Sec.2(s) of the Industrial Dispute Act, 1947. serving a legal notice to the Company you can raise an Industrial dispute directly before the State Govt. Industrial Tribunal under Sec.2A of the I D Act. and additionally, you have to file an application u/s.33C(2) of the I D Act before the concerned State Labour Court claiming dues from your employer receivable to an employee on illegal termination/retrenchment. Further, if the establishment comes under the purview of the State-specific Shops and Establishment Act, you can escalate your grievance before the Chief Inspector or Adl. Chief Inspector appointed under the Act for redressal of your grievance. But, if you are holding the position of Manager or Administrator in the Company, you have to file a civil suit against the Company before the Civil Court seeking desired relief in the matter. Reach out to an Advocate experienced in service matters for guidance and steps. Feel free to contact our legal team to navigate the issue in the right way.","Under the Industrial Disputes Act, 1947, an employee cannot be terminated without a valid reason and due process. If the termination was arbitrary, the employee may have grounds to challenge it as an unfair labor practice. You can file a complaint with the Labour Commissioner in Patna to seek redress for wrongful termination and unpaid dues. Additionally, consider sending a legal notice to your employer demanding the full payment of wages owed.",20.0758,3.9274,17.6252,19.1222,83.942
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",relieving_letter → GST_143 → BTC_292 → EC_RULES_68,relieving_letter → GST_143 → BTC_292 → EC_RULES_68 → EC_RULES → BTC → wages → GST,"I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )","Dear team
I resigned on 5th July  and my notice period was 3 months, I served till 24th September and as per 3 months notice period my last working day was 2nd October.... But since I had to join other organization on 27th September I sent multiple mails for relieving me just 5 days earlier from my last working day. 

When I didn't get any confirmation I myself sent declaration mail for my last working day as 24th September and also wrote that I am ready to compensate against my remaining notice period as per HR policy. I joined other organization on 27th September but my previous organization intentionally mentioned last working day as 2nd October

After getting relieving also I sent multiple mails for correction of date but didn't get any help

Please suggest what steps can be taken against my previous employer for this unethical behavior...( Udaipur, Rajasthan )","Dear Client,While you are pursuing a regular degree course, you cannot take up any full-time job even if it is merely for a one-month. It is also impermissible under a regular course nomenclature. In the present state of affairs, neither you could inform the matter to college authority that may affect your degree nor, suppress the fact in the SSC CGL application form because a Background verification(BGV) check is a process many organizations carry out to verify the information provided by the candidate during hiring. Verification of EPFO records through UAN is critical for conducting employee background checks because it allows employers to confirm that their employees are not using false or stolen identities to gain employment. In case of a negative background verification check an employer can even reject/terminate the employment of the candidate. So, in the given situation, considering your career prospects, you need to visit the office of the PSC who conducted the SSC exams to clarify the matter in detail to protect both of your academic and job career.","The most important legal point is that suppression of material information in government job applications can lead to termination or disqualification under the doctrine of ""utmost good faith,"" often required in public employment. In your situation, since you have a UAN linked to your Aadhaar for the one-month employment, it is advisable to disclose this experience in the SSC CGL attestation form to avoid any future allegations of suppression of information. Not disclosing this could be seen as a violation of the Central Civil Services (Conduct) Rules, which require honesty and integrity in declarations. 

Next steps: Include the one-month employment in your attestation form and ensure all details are accurate. If there are any doubts about the impact, consider consulting with an employment lawyer familiar with public sector regulations.",20.0758,3.9274,17.6252,19.1222,83.942
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",IDA_17B → EPF_12 → ESI_72 → ISM_12,IDA_17B → EPF_12 → ESI_72 → ISM_12 → wages → Industrial Disputes Act 1947 → ISM → Employees State Insurance Act 1948,"I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )","I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","I lost my Job in the year 2017 due to a false sexual harassment matter. I didnt fight in court of law. I worked  in few places who didnt insist for character certificate from police. Now new employer insists on character certificate. What should i do? Will persuation to police department help? My online application was rejected and i m not aware why it was rejected though.( Mumbai suburban, Maharashtra )",Employment Lawsfor Multinational Companies in Indiahttps://singhania.in/wp-content/uploads/2019/08/Employment-Law-Primer-For-Multinational-Companies-In-India-2019.pdf,"Under the Payment of Gratuity Act, 1972, you are entitled to gratuity for your 12 years of service, as you have surpassed the minimum requirement of 5 years. Additionally, under the Industrial Disputes Act, 1947, you have the right to receive a full and final settlement of dues upon termination. Legally, the company must provide you with a detailed account of payments made and outstanding dues.

You can send a legal notice to your employer demanding the issuance of your due certificate and other necessary documents. If the employer fails to comply, you may file a complaint with the Labour Commissioner or initiate legal proceedings in a labor court for recovery of dues and issuance of necessary certificates.",20.0758,3.9274,17.6252,19.1222,83.942
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",CCS_ME → GST_69 → GST_66 → EC_RULES_66,CCS_ME → GST_69 → GST_66 → EC_RULES_66 → EC_RULES → GST → GST_122A → GST_76,"I work in travel Pvrt ltd company,  at the beginning of vivid our company owner stated to reduce the salary of staff to 50% from April 20 onwards but now he is not responding messages and calls and neither releasing any salary.  As confirmed from clients the work is started since starting of domestic airlines I. e.  May 2020. But now he is not responding me.( East Delhi, Delhi )","Dear Sir/Ma'am,
I was worked in pvt ltd. company for 32 days (21 days in January and 11 days in February) when i asked for salary via mail (there is no HR team) they reply to me we will pay salary in 60 days if you r comfortable then ok other wise we will terminate you, so that i resigned from my job, now they are not pay salary.( Hyderabad, Telangana )","Joined TCS Mumbai on 4th June 2021 as consultant with joining bonus. Due to profile mismatch, overtime, verbal harassment and no response from higher management, i resigned and sent an email on 3-Aug (within probation), requesting them to relieve on 31-Aug. They were delaying and asked me to contact this and that person. Later, by 7-Aug, they blocked my laptop access. I could not work within notice period. In offer letter, appointment letter, internal policy - notice period after probation or confirmation only mentioned.
I returned company laptop. Got my salary, variable pay too.
Now after 1.5 years- they have sent me legal notice asking recovery of bonus and 2 months shortfall basic salary, within a week- else legal action. ( No calls or emails- they had my old defunct hotmail ID).meanwhile, i shifted to different city twice, but my phone number was same. Never ever they called me. They used very bad language- ""you had fraudulent intentions to dupe company etc.""

Please advise.( Pune, Maharashtra )",Dear ClientBased on your insufficient information nothing can be opined to your query at the moment. So you may revert back to us with the following information> Nature of Establishment you work and nature of data entry job your performed in the said establishment that liable you for payment of fine on default.> The contents of your offer letter in brief and date of your joining> Reason behind the immoral and unethical threat affecting your career and harassment of your family which is termed both as Unfair Labour Practice and Unfair Trade PracticeHope the matter stands clarified.,"This situation appears to be a scam involving extortion and threats, which is a criminal offense under Section 384 of the Indian Penal Code (IPC) for extortion and Section 503 for criminal intimidation. Legally, you are not obligated to pay any further money, and the threats made against you and your family are unlawful. Immediately report this incident to the local police station and provide them with all relevant details, including any communication records. Additionally, consider blocking the scammers' contact information to prevent further harassment.",20.0758,3.9274,17.6252,19.1222,83.942
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",ICA_73 → ICA_74 → SRA_14 → SRA_16,ICA_73 → ICA_74 → SRA_14 → SRA_16 → Specific Relief Act 1963 → employment_bond → wages → Indian Contract Act 1872,"I'm 23 &amp; worked as a Social media executive &amp; writer in a startup. My boss is making excuses and refusing to pay back the salary of around 4 months. It's been around 1 year and 10 months, even after several requests and pleas, he isn't paying the salary. Although it's not a big amount, it ranges between 45k-50k. But as a 23-year-old it's a big amount for me. I need my hard-earned money. Pls, advise what should I do? 

Note: It will be helpful if the suggestions are of not too much hassle and within my affordability.( Thane, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","I worked in Jbm auto gurgaon plant for 1 year 1 month, after that i got transfer to jbm pune plant and got different pf number and employee id, now i completed 4 years 2 months here. I want to end my contract now. 
Am i eligible for gratuity?( Pune, Maharashtra )",A. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.B. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as a partner in crime for allowing your account to be used for it.Be careful,"The company's request to transfer funds through your account raises potential legal and ethical concerns, particularly regarding money laundering and tax evasion. Under the Prevention of Money Laundering Act, 2002, engaging in transactions that disguise the origins of money can be illegal. The minimum wages in Maharashtra are set by the Maharashtra Minimum Wages Act, and employers must comply with these standards without engaging in deceptive practices.

Legally, you should not participate in any transaction that you suspect could be unlawful. You can report this matter to the Labour Commissioner or a relevant authority for further investigation. Additionally, review your employment bond for any clauses that may be unfair or violate the Indian Contract Act, 1872, and consider seeking legal advice to challenge any such terms.",20.0758,3.9274,17.6252,19.1222,83.942
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.",MBA_10 → FA_79 → SPE_4 → MTW_24,MBA_10 → FA_79 → SPE_4 → MTW_24 → leave → Factories Act 1948 → SPE → wages,"I resigned from the company and had cleared all the exit formalities also I have served the notice period, submitted all the assets and completed all the exit procedures. But during my Full and Final settlement company sent me recovery letter stating that I have to pay company dues for using the leaves benefit which the company has provided or else the legal action will be taken. Going through the company policy I found that there is no such line mentioned about leave recovery during the employee's exit. When I asked for clarification from the HR, there is no response from them regarding this. I have sent multiple reminders stating clarification but there is no response. What do I do in this case? How can I go legally in this matter since there is no reply from company's side?( Thane, Maharashtra )","Dear team
I resigned on 5th July  and my notice period was 3 months, I served till 24th September and as per 3 months notice period my last working day was 2nd October.... But since I had to join other organization on 27th September I sent multiple mails for relieving me just 5 days earlier from my last working day. 

When I didn't get any confirmation I myself sent declaration mail for my last working day as 24th September and also wrote that I am ready to compensate against my remaining notice period as per HR policy. I joined other organization on 27th September but my previous organization intentionally mentioned last working day as 2nd October

After getting relieving also I sent multiple mails for correction of date but didn't get any help

Please suggest what steps can be taken against my previous employer for this unethical behavior...( Udaipur, Rajasthan )","I'm working in American MNC ( Concentrix Daksh services India Pvt Ltd) situated in Gurugram, haryana, India. The nature of company is service provider to top clients including global tech giants. And I'm working for one of the world's biggest tech giant (Google TVC ), by providing services in specific project on behalf of above mentioned company (CNX ). So, I came to know that we are offered very less salary as compared to average salary in other regions in world and no where near the average salary of Google. And recently it's highlighted by whistleblower that Google illegally underpaid thousands of workers in many countries breaching pay parity laws. So I need advice in context of that if pay parity laws says in US that Google TVCs ( temporary, vendors and contractual workers ) are entitled to equal compensation. So is it possible to highlight same issue in India as well, and if yes, how to do it and how to get success in receiving the entitled compensation from Google or main company ( cnx), ( which ever is culprit ). I'm adding few links for references and better understanding. https://amp.theguardian.com/technology/2021/sep/10/google-underpaid-workers-illegal-pay-disparity-documents https://payparity.org/( North Delhi, Delhi )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The legal issues here involve workplace discrimination and breach of employment contract. Under the Equal Remuneration Act, 1976, discrimination in terms of employment and salary based on gender or other unjustifiable factors is prohibited. Additionally, the terms of employment, including job role and salary, are typically governed by the employment contract, and any significant changes to these terms without consent may constitute a breach.

Legally, you can file a complaint with the company's HR department or the labor commissioner regarding discrimination and breach of contract. Document all instances of bullying, discrimination, and any communication regarding changes in work profile and salary. If internal remedies fail, consider approaching the labor court for redressal of grievances related to discrimination and contract violations.",20.0758,3.9274,17.6252,19.1222,83.942
