epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0115,0.5778,0.5204,9.998e-05,2.0
2,-0.0094,0.624,0.5204,9.99e-05,1.99
3,-0.0084,0.6137,0.5211,9.978e-05,1.98
4,-0.0072,0.6198,0.5049,9.961e-05,1.97
5,-0.0061,0.6205,0.5092,9.939e-05,1.96
6,-0.0073,0.6222,0.488,9.912e-05,1.949
7,-0.0044,0.6159,0.5085,9.881e-05,1.939
8,-0.0037,0.6213,0.5085,9.844e-05,1.929
9,-0.0039,0.6238,0.4979,9.803e-05,1.919
10,-0.0033,0.6237,0.4845,9.758e-05,1.909
11,-0.0038,0.6254,0.488,9.707e-05,1.899
12,-0.0032,0.6229,0.4901,9.652e-05,1.889
13,-0.0038,0.6247,0.4852,9.593e-05,1.879
14,-0.003,0.6294,0.4887,9.529e-05,1.869
15,-0.0033,0.6318,0.5246,9.46e-05,1.859
16,-0.003,0.6344,0.5261,9.388e-05,1.848
17,-0.0032,0.6278,0.5401,9.311e-05,1.838
18,-0.0035,0.6347,0.5183,9.229e-05,1.828
19,-0.0041,0.6304,0.5197,9.144e-05,1.818
20,-0.0033,0.6325,0.4972,9.055e-05,1.808
21,-0.0031,0.6289,0.5099,8.961e-05,1.798
22,-0.003,0.6373,0.4754,8.864e-05,1.788
23,-0.0031,0.6291,0.4845,8.763e-05,1.778
24,-0.003,0.6273,0.4993,8.658e-05,1.768
25,-0.003,0.634,0.4845,8.55e-05,1.758
26,-0.0039,0.6321,0.4958,8.439e-05,1.747
27,-0.0028,0.6301,0.5176,8.323e-05,1.737
28,-0.0029,0.6279,0.4993,8.205e-05,1.727
29,-0.0028,0.6344,0.5092,8.084e-05,1.717
30,-0.0036,0.6323,0.512,7.96e-05,1.707
31,-0.0032,0.6308,0.5254,7.832e-05,1.697
32,-0.0031,0.631,0.5275,7.702e-05,1.687
33,-0.0032,0.6348,0.5451,7.57e-05,1.677
34,-0.0031,0.629,0.5063,7.435e-05,1.667
35,-0.0026,0.6352,0.4894,7.297e-05,1.657
36,-0.0029,0.6299,0.5,7.158e-05,1.646
37,-0.0027,0.6349,0.5303,7.016e-05,1.636
38,-0.0032,0.6298,0.5162,6.872e-05,1.626
39,-0.0029,0.6285,0.5063,6.727e-05,1.616
40,-0.003,0.6329,0.5028,6.58e-05,1.606
41,-0.0027,0.6375,0.4796,6.431e-05,1.596
42,-0.0029,0.6337,0.4873,6.281e-05,1.586
43,-0.0029,0.6372,0.4704,6.13e-05,1.576
44,-0.0037,0.6326,0.5232,5.978e-05,1.566
45,-0.0033,0.6325,0.512,5.824e-05,1.556
46,-0.0032,0.6273,0.5197,5.67e-05,1.545
47,-0.0031,0.6334,0.481,5.516e-05,1.535
48,-0.0033,0.634,0.507,5.361e-05,1.525
49,-0.0032,0.6331,0.5021,5.205e-05,1.515
50,-0.0029,0.6346,0.5077,5.05e-05,1.505
51,-0.0033,0.6332,0.5176,4.895e-05,1.495
52,-0.003,0.6354,0.5352,4.739e-05,1.485
53,-0.0035,0.6382,0.5169,4.584e-05,1.475
54,-0.0033,0.6333,0.5099,4.43e-05,1.465
55,-0.0037,0.6379,0.4796,4.276e-05,1.455
56,-0.0029,0.6365,0.5099,4.122e-05,1.444
57,-0.0033,0.6379,0.5035,3.97e-05,1.434
58,-0.0031,0.6348,0.5218,3.819e-05,1.424
59,-0.0036,0.6344,0.5106,3.669e-05,1.414
60,-0.0035,0.6328,0.4866,3.52e-05,1.404
61,-0.0029,0.6337,0.4866,3.373e-05,1.394
62,-0.0031,0.6351,0.5148,3.228e-05,1.384
63,-0.0029,0.6335,0.5028,3.084e-05,1.374
64,-0.0032,0.6365,0.4944,2.942e-05,1.364
65,-0.003,0.6347,0.512,2.803e-05,1.354
66,-0.0031,0.6383,0.5077,2.665e-05,1.343
67,-0.0029,0.6321,0.4915,2.53e-05,1.333
68,-0.0043,0.6319,0.5169,2.398e-05,1.323
69,-0.003,0.6396,0.5204,2.268e-05,1.313
70,-0.0032,0.6315,0.4986,2.14e-05,1.303
71,-0.0038,0.6303,0.5197,2.016e-05,1.293
72,-0.0033,0.6379,0.4986,1.895e-05,1.283
73,-0.0029,0.6339,0.5268,1.777e-05,1.273
74,-0.0033,0.6396,0.5254,1.661e-05,1.263
75,-0.003,0.6399,0.5218,1.55e-05,1.253
76,-0.003,0.6383,0.4993,1.442e-05,1.242
77,-0.0034,0.6368,0.5148,1.337e-05,1.232
78,-0.0037,0.638,0.4993,1.236e-05,1.222
79,-0.0037,0.6354,0.5141,1.139e-05,1.212
80,-0.0031,0.6372,0.5085,1.045e-05,1.202
81,-0.0032,0.6368,0.538,9.56e-06,1.192
82,-0.0032,0.6394,0.538,8.71e-06,1.182
83,-0.0033,0.6324,0.5134,7.89e-06,1.172
84,-0.0041,0.6361,0.4979,7.12e-06,1.162
85,-0.0044,0.6308,0.5246,6.4e-06,1.152
86,-0.0036,0.6314,0.5141,5.71e-06,1.141
87,-0.0036,0.6353,0.5352,5.07e-06,1.131
88,-0.0038,0.6351,0.5134,4.48e-06,1.121
89,-0.0033,0.6358,0.5176,3.93e-06,1.111
90,-0.0037,0.6336,0.5345,3.42e-06,1.101
91,-0.0034,0.6374,0.4993,2.97e-06,1.091
92,-0.0035,0.6343,0.5254,2.56e-06,1.081
93,-0.0042,0.64,0.493,2.19e-06,1.071
94,-0.0033,0.637,0.5148,1.88e-06,1.061
95,-0.0035,0.6376,0.531,1.61e-06,1.051
96,-0.0033,0.6364,0.5232,1.39e-06,1.04
97,-0.0043,0.639,0.5225,1.22e-06,1.03
98,-0.0038,0.6411,0.5183,1.1e-06,1.02
99,-0.0037,0.6367,0.4965,1.02e-06,1.01
100,-0.0039,0.6432,0.5225,1e-06,1.0
