sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,rouge1,rouge2,rougel,meteor,bertscore
1,"If a fake porn of a girl has been shown and circulated to defame her then what could be the punushment for the person who tried to defame that girl?( Hooghly, West Bengal )",IPC_465 → IPC_467 → IPC_468 → IPC_471,IPC_465 → IPC_467 → IPC_468 → IPC_471 → forgery → PROC_FORGERY → Indian Penal Code 1860 → IPC_120B,"A contract company has two partners.  One is authorized to sign in contract agreement. He wants to give corruption complaint in an officer  in VAC.  Should the company pass resolution and give him permission?( Chennai, Tamil Nadu )","How many days zero fir take to shift to another state in 376 ipc( South Delhi, Delhi )","If ""X"" state's police take custody of accused on Production Warrent who was on MCR in ""Y"" state....so does it mean that accused has been released on bail by the Y state court ?( Hyderabad, Telangana )","Dear Client,If someone creates or circulates a fake pornographic video of a girl to defame her, it is a serious criminal offense in India under multiple sections of the law.Such an act is punishable under various sections of the Information Technology Act, 2000, and the Indian Penal Code. Under Section 67 and 67A of the IT Act, transmitting obscene or sexually explicit content electronically can lead to imprisonment of up to five years and a fine of up to Rs. 10 lakhs. Additionally, under IPC Sections 469 and 500 for defamation and forgery to harm reputation, the offender can be punished with imprisonment up to three years. Section 509 IPC, which deals with insulting the modesty of a woman, can also apply and carries a sentence of up to three years. If the content is morphed or AI-generated (deepfake), it still qualifies as cybercrime and forgery, and the accused can be prosecuted accordingly. These laws are designed to protect individuals from digital harassment and uphold their dignity and privacy.","The creation and circulation of fake pornographic material to defame someone can be prosecuted under several sections of the Indian Penal Code, including IPC Section 469 (Forgery for purpose of harming reputation) and IPC Section 500 (Defamation). Additionally, the Information Technology Act, 2000, particularly Section 67, which deals with publishing or transmitting obscene material in electronic form, may apply. The punishment under these sections can include imprisonment and fines.

The victim can file a complaint with the local police station or cybercrime cell, providing all evidence of the fake material and its circulation. It is also advisable to seek a restraining order to prevent further dissemination of the material.",19.8141,3.9755,17.5317,21.216,84.2318
2,"Respected Sir/Madam
                                 I am a 28 year old resident of Kolkata.My parents put me in a rehabilitation center against my will by calling the center  and making arrangements , on the 8th of March 2021,  5-6 men came to house and DRAGGED  me from there,SHOVED  me in an ambulance and drove me to the rehab.There I was asked asked to sign a consent form and upon refusing , two individuals including a counsellor of the rehab GRABBED my hand and took a thumb impression..While in the rehab I was forced to be BATHED FULLY NAKED  by ANOTHER  INMATE as I being a 28 year old was deemed incompetent to take proper baths by authorities . The counsellors and my parents  decided how long I would stay I HAD NO SAY WHATSOEVER. My question is .. how do I go about filing the lawsuit.( Kolkata, West Bengal )",CRPC_210 → ART_20 → CRPC_317 → NI_ACT_AMENDMENT_2018,CRPC_210 → ART_20 → CRPC_317 → NI_ACT_AMENDMENT_2018 → NIA_138 → Negotiable Instruments Act 1881 → IPC_120A → Indian Penal Code 1860,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Boy and girl were engaged in sexual activities for 2-3 days . At 4th day boy asks girl again for oral sex she denied. Boy requests her , thereafter she agrees and did it but uniwillingly. Is it offence under section 375?( East Delhi, Delhi )","My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Dear Client,According to the Mental Health Care Bill 2016,  no one else can forcefully admit anyone in a hospital if they are lucid and understand what is happening to them. Hence in your case please consult a lawyer near you and file a petition against your parents and the rehabilitation Centre for going against the law and treating you in a defamatory manner and in a way which makes you lose access to your basic fundamental rights.Thank you so much, I hope this answer helped you.","The forced admission to a rehabilitation center against your will may constitute unlawful confinement, a violation under Section 340 of the Indian Penal Code, 1860. Additionally, the act of forcibly taking your thumb impression could be challenged as coercion or undue influence, potentially invalidating any consent obtained. You can file a complaint with the local police regarding unlawful confinement and coercion. Consider filing a writ petition for habeas corpus in the Calcutta High Court to challenge the legality of your detention and seek immediate release. It is advisable to consult with a criminal lawyer in Kolkata to assist with these legal actions.",19.8141,3.9755,17.5317,21.216,84.2318
3,"If I do a cross case, can I share the proof I have (personal photos of the girl) with the police?because the police had already got me to delete the private photos of the girl..But I had some private photos kept which I did not tell the police..Today I have to do a cross case against the girl that the girl had implicated me in a false case..I have call recording and private photos for proof..I even tried to commit suicide because of that girl..I lost my job because of that girl. Lost respect. I don't understand anything.. I feel like committing suicide.what legal action can i take against the girl..please tell in details..help me..( Chhindwara, Madhya Pradesh )",IPC_309 → PROC_CRIMINAL_BREACH_TRUST → IPC_120B → CRPC_210,IPC_309 → PROC_CRIMINAL_BREACH_TRUST → IPC_120B → CRPC_210 → fir → Indian Penal Code 1860 → Code of Criminal Procedure 1973 → criminal_conspiracy,"Hello,

Iâm 35 yrs women unmarried working for private company. In dec 2017 i met one guy in Tinder he is a divorced 40 yrs working in same city. We exchanged contacts started conversations in April 2018 then met became friends and continued. One fine day after 5 months July 2018 he planned a trip and made me book hotel and we went in his car that night he forced me sexually molested mentally physically emotionally forced me to have Sex and morning when I started crying he convinced me to get married and try and continue relationship for sometime as he is recently divorced and needs sometime. We continued our relationship with few good and bad situations he always used to make me take pills to avoid pregnancy and again he planned another trip in dec and forced me to join and again forced and used me for sexual contact for 4 days. After we were back to city and I was diagnosed with some skin reaction that turned my face black he started ignoring me but relationship continued till April 2019 but I was sensing his ignorance and distancing from me I had to ask him about Marriage he as usual threatening and said will sucide if I go to his parents or tell anyone about our relationship. I couldnât control my emotions I had to tell my family about he cheating on me my uncle called him to meet and discuss he then confessed on May 31st 2019 that he is engaged in April and doesnât have any relationship with me Iâm just his friend and nothing to do with me. I went to seek help from his family his parents abused insulted me and my family and said will pay compensation but will not get his son married to me. As Iâm brutally cheated in the name of marriage and commitment and physically used emotionally and mentally threatened Iâm seeking justice. We have filed FIR against him on sec 376 and 420 he was sent to jail for 10 days and he is now out on bail as his lawyer brought in the act that guy and girl are matured and itâs mutual live in on going relationship so this shouldnât be considered as rape or cheating. He was granted bail and he is out.

In my case me and the guy were best friends and all our whatsapp chat,text were only friendly text and everything changed with the first trip we have been to on July 28th/2018 when he forced me and had physical contact without my interest and promised me to marry and made me continue the relationship till he found another women and got engaged in April/2019 and yet continued with me and has informed me in May 31st/2019 when i was asking him on our marriage.
Initial days he said he was cheated by his wife hence he got divorced as she had extra marital affair with her boss. Later while we were continuing the relationship he confessed in whatsapp text on oct 12th/2018 that he cheated his wife and he said that can be the reason for her to cheat on him and he has been cheating women since age of 21 and he cannot be committed to anyone and this is the reason he is not ready for marriage as he said he cannot trust me either but he again convinced me to continue the relationship with him also planned 2nd trip and forced me to join the trip in dec 30th 2018 to 2nd jan 2019.
In police station and 2 call recordings with my friend he confessed im just his friend no physical contact. His lawyer in court confessed its live in relationship it was consensual sex with no promise of marriage will not amount to rape or cheating this is clear enough the guy is lying from start as he said no relationship and lawyer confess mutual relationship.
I do have few exchanged text where later guy has agreed on 10th sep/2018 saying it was my mistake i shouldn't have planned the first trip especially.
Also few threatening messages from May 2nd/2019 that he has no desire to live will leave job house as i told him will go to his family. also orally he said to write an agreement that i will not come to his family property or file dowry harassment case then he will do register marriage.

His marriage date was 27th June/2019 with the engaged girl and his bail was confirmed on Jun 26th hence he is out and i'm not knowing if he is now already married or his marriage is postponed.

My only evidences are our trip bookings and our few text he agreed on saying trying the relationship, he had to walkout as relationship didn't work but he was texting calling meeting till May 31st/2019 when he was already engaged to another women in April 2019 which he had deliberately hided from me and then in frustration he texted threatening messages where he also confessed i am all yours you can do anything with me but shouldn't go to family and orally said to write some agreement on not entering his family or property or dowry case then he will do register marriage. when i said will have to speak to his family.

He now totally denies that he ever promised or committed on marriage and its mutual relationship on NO commitments which is false but i cannot prove as he always promised orally.

I need strong advice on how to fight against my case as his lawyer is senior and defending him on mutual consensual on going relationship for 1.5 years and he never promised or committed it was with no commitments and both are matured so shouldn't be 

He confessed in whatsapp text about cheating his ex wife and many girls before and cannot be committed to anyone in the name of marriage.

Now his financee and his parents are supporting him saying its mutual relationship now the guy is already engaged to another girl so they will not allow him to marry me.

His lawyer is strongly saying girl only booked the first trip booking and both are matured and will not amount to rape or cheating on the basis of mutual relationship.

He has brutally cheated me now wants to marry an young girl who is supporting him and doesn't want to marry me or accept that we had any relationship on the promise of marriage. Kindly help me to fight this case.

Iâm done with my 164 Statement recording in court on July 1st in presence of judge.

Please advice me on my case and how strongly i can fight and get justice.( Hyderabad, Telangana )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Dear Sir,You can get sympathy at the most by the Police and the Courts. It is advised to go to High Court by filing quashing petition instead of lodging a counter complaint against her and see that such false complaint be quashed and you may come out of false allegations.","Under Indian law, sharing private photos without consent can constitute a criminal offense under Section 67A of the Information Technology Act, 2000, which penalizes publishing or transmitting obscene material. Additionally, it may violate Section 354C of the Indian Penal Code, which addresses voyeurism. Legally, you cannot use these photos as evidence in a cross-case without risking criminal liability yourself.

To proceed, focus on using call recordings and other non-incriminating evidence to support your claim of false allegations. File a complaint with the police detailing how the false case has affected you, and consider pursuing a defamation case if applicable. Seek immediate legal counsel to explore filing a counter FIR or a private complaint under Section 211 of the IPC for false charges.",19.8141,3.9755,17.5317,21.216,84.2318
4,"Whom should i approach to curb the loudspeaker nuisance created by the vegetable vendors( Jhajjar, Haryana )",IPC_268 → public_nuisance → ICA_73 → PROC_SCST_COMPLAINT,IPC_268 → public_nuisance → ICA_73 → PROC_SCST_COMPLAINT → criminal_breach_of_trust → Indian Penal Code 1860 → cheating → Indian Contract Act 1872,"How many days zero fir take to shift to another state in 376 ipc( South Delhi, Delhi )","A contract company has two partners.  One is authorized to sign in contract agreement. He wants to give corruption complaint in an officer  in VAC.  Should the company pass resolution and give him permission?( Chennai, Tamil Nadu )","If ""X"" state's police take custody of accused on Production Warrent who was on MCR in ""Y"" state....so does it mean that accused has been released on bail by the Y state court ?( Hyderabad, Telangana )","Dear Client,To address the issue of loudspeaker nuisance created by vegetable vendors, you can take several steps. Initially, try to have a polite and direct conversation with the vendors, explaining the disturbance caused by the loudspeakers and requesting them to lower the volume. If this approach proves ineffective, you may contact the local municipal authorities or the respective municipal corporation office in your area, filing a complaint about the noise disturbance. Provide specific details such as the location, time, and duration of the disturbance to strengthen your case. Additionally, check if your locality has a designated noise control department or a local police station that handles noise-related complaints. They can guide you on the relevant local regulations and take appropriate action against the vendors if they are violating noise control norms. Documenting instances of disturbance with video or audio recordings can serve as supporting evidence. Consistent communication with the relevant authorities and adherence to established procedures will contribute to effectively curbing the loudspeaker nuisance created by the vegetable vendors in your vicinity.","Under Section 268 of the Indian Penal Code (IPC), public nuisance is an offense that affects the public at large or a community. To address the loudspeaker nuisance created by vegetable vendors, approach the local police station to file a complaint under this section. Additionally, you may contact the local municipal corporation, as they often have regulations regarding noise pollution and can take administrative action. Ensure to document the nuisance with evidence, such as recordings or witness statements, to support your complaint.",19.8141,3.9755,17.5317,21.216,84.2318
5,"I have been accused wrongly in a suicide case. Section 306 in police Fir.
Our school guard is committed suicide & leave a note in which a comment with name is that i harassed & insulted him. But the true fact is that i communicate with him only 3 times that was normal talk like hi hello. He was working here from last 2 months. I was shocked when police told my name is in suicide note. Now what can i do please suggest?( Jaipur, Rajasthan )",CRPC_154 → CRPC_156 → CRPC_200 → CRPC_210,CRPC_154 → CRPC_156 → CRPC_200 → CRPC_210 → charge_sheet → PROC_KIDNAPPING → PROC_CHEATING_FRAUD → PROC_DEFAMATION,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Dear Sir,You may approach High Court for immediate relief and ultimately it may be quashed if you engage an intelligent advocate.Rate me Five Star*","Section 306 of the Indian Penal Code (IPC) pertains to abetment of suicide, which requires proof of instigation, conspiracy, or intentional aid in the commission of suicide. In your situation, the mere mention of your name in a suicide note does not automatically establish abetment unless there is evidence of intent or active participation in harassment. 

You should immediately seek anticipatory bail under Section 438 of the Criminal Procedure Code (CrPC) to avoid arrest. Additionally, gather any evidence or witnesses that can corroborate your limited interaction with the deceased and lack of intent. Consult with a criminal defense attorney to prepare a robust defense and potentially file a petition for quashing the FIR under Section 482 of the CrPC if the allegations are baseless.",19.8141,3.9755,17.5317,21.216,84.2318
6,"I unknowingly forwarded a fake message in what's app group regarding tenth class time table again with in 2 minutes I delted it for all by knowing that was fake . Will this come under criminal case( Chittoor, Andhra Pradesh )",IPC_494 → IPC_200 → DP_3 → IPC_467,IPC_494 → IPC_200 → DP_3 → IPC_467 → Indian Penal Code 1860 → perjury → PROC_FORGERY → bigamy,"My Great grandfather's property has big house in valaynadhapuram Andra pradesh .but his sons and daughters couldn't be shared, one of the younger son should be occupied My grandfather had an attack hewill be so far before 8 years. So grandma is so poor she will be helpless. That property details couldn't be given by grandpa's brother and his family. So please we want me to get idea to got my property.","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Boy and girl were engaged in sexual activities for 2-3 days . At 4th day boy asks girl again for oral sex she denied. Boy requests her , thereafter she agrees and did it but uniwillingly. Is it offence under section 375?( East Delhi, Delhi )",No. as you have deleted in time and should send a clarification SMS to protect your interest.,"Forwarding fake information, even if deleted shortly after, can potentially fall under Section 505 of the Indian Penal Code, which deals with statements conducing to public mischief. However, the intent to cause harm or mischief is a crucial element, and in your case, the quick deletion suggests a lack of such intent. 

You are unlikely to face criminal charges if there was no intent to deceive or cause panic. Ensure no further dissemination of such messages and maintain evidence of the deletion. If contacted by authorities, explain the situation and provide evidence of the deletion to demonstrate good faith.",19.8141,3.9755,17.5317,21.216,84.2318
7,"A member of Hsg Society died and two of three sons got the property transferred being nominees and sold it without knowledge of third brother living abroad. On his return to India he filed a civil  suit against the two brothers, the buyer and the Society and that makes sense but he filed a criminal case against new chairman and secretary who knew nothing about it. How can this be done?( Mumbai suburban, Maharashtra )",IPC_120B → DP_3 → PROC_CRIMINAL_BREACH_TRUST → IPC_149,IPC_120B → DP_3 → PROC_CRIMINAL_BREACH_TRUST → IPC_149 → Indian Penal Code 1860 → rioting → dowry_harassment → criminal_conspiracy,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Hi,Since the third brother knew nothing about the transferred property he can file a civil suit as well as a criminal suit against his brothers if the circumstances and the facts of the case permit so. But in an event when the suit is filed against the Housing Society Secretary and Chairman the courts will evaluate their involvement in the work and for imposing criminal liability malicious intention on part of the accused is necessary of that remains unproven or non established they cannot be held criminally liable.If you find this answer helpful please rate my answer. Thank you.","The key legal issue here is whether the new chairman and secretary of the housing society can be criminally liable for actions they were unaware of. Under Indian law, specifically the Indian Penal Code, criminal liability generally requires intent or knowledge of wrongdoing (mens rea). In this case, if the chairman and secretary had no knowledge or involvement in the fraudulent transfer, they likely cannot be held criminally liable.

The user should focus on the civil suit to address the property transfer issue, as it involves a dispute over inheritance and property rights. For the criminal case, the user can consider withdrawing the charges against the chairman and secretary if there is no evidence of their involvement. Consulting with a lawyer to assess the evidence and possibly amend the complaint to focus on the parties directly involved in the alleged fraud would be advisable.",19.8141,3.9755,17.5317,21.216,84.2318
8,"From the age of 26 i have been continiously caught and put in mental asylum..now the public are after me again..poisoning shopping complexes ..taxis..( Bangalore, Karnataka )",DP_3 → public_nuisance → IPC_268 → PROC_CHEQUE_BOUNCE,DP_3 → public_nuisance → IPC_268 → PROC_CHEQUE_BOUNCE → Indian Penal Code 1860 → dowry_harassment → PROC_DOWRY_HARASSMENT → Dowry Prohibition Act 1961,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Dear Sir,You may lodge complaint with higher police officers or directly approach Magistrate I filing private complaint under Section 200 Cr.P.C. On registration of private complaint you are sworn statement will be recorded and documents produced by you will be taken on record and then summons will be issued to Accused persons.Rate me Five Star*","If you believe you are being wrongfully targeted or harassed by the public, it is crucial to understand that public nuisance, as defined under Section 268 of the Indian Penal Code, involves any act or illegal omission causing injury, obstruction, danger, or annoyance to the public. Being placed in a mental asylum repeatedly may indicate a need for legal protection or redress if done without just cause. 

You cannot legally engage in any acts that would constitute a public nuisance or retaliate unlawfully. Instead, consider filing a complaint with the local police station if you feel threatened or harassed, and seek a restraining order if necessary. Consulting with a mental health advocate or legal aid service in Bangalore could provide additional support and guidance tailored to your situation.",19.8141,3.9755,17.5317,21.216,84.2318
9,"Iam a railway employee. In 2014 one case is registered by my superior about preventing dooing duty by a native in railway gate. That time i was not in there. The incident was in night. My superior give my name as 4th witness . Still the day i didn't know that iam a witness. Now i got a sameness from court to reported as witness but i never seen the incident. Iam also going to tell this in court.  If there is any  problems by this?( Palakkad, Kerala )",CRPC_210 → DP_3 → PROC_CHEQUE_BOUNCE → PROC_SCST_COMPLAINT,CRPC_210 → DP_3 → PROC_CHEQUE_BOUNCE → PROC_SCST_COMPLAINT → fir → charge_sheet → Code of Criminal Procedure 1973 → dowry_harassment,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Hello,

Iâm 35 yrs women unmarried working for private company. In dec 2017 i met one guy in Tinder he is a divorced 40 yrs working in same city. We exchanged contacts started conversations in April 2018 then met became friends and continued. One fine day after 5 months July 2018 he planned a trip and made me book hotel and we went in his car that night he forced me sexually molested mentally physically emotionally forced me to have Sex and morning when I started crying he convinced me to get married and try and continue relationship for sometime as he is recently divorced and needs sometime. We continued our relationship with few good and bad situations he always used to make me take pills to avoid pregnancy and again he planned another trip in dec and forced me to join and again forced and used me for sexual contact for 4 days. After we were back to city and I was diagnosed with some skin reaction that turned my face black he started ignoring me but relationship continued till April 2019 but I was sensing his ignorance and distancing from me I had to ask him about Marriage he as usual threatening and said will sucide if I go to his parents or tell anyone about our relationship. I couldnât control my emotions I had to tell my family about he cheating on me my uncle called him to meet and discuss he then confessed on May 31st 2019 that he is engaged in April and doesnât have any relationship with me Iâm just his friend and nothing to do with me. I went to seek help from his family his parents abused insulted me and my family and said will pay compensation but will not get his son married to me. As Iâm brutally cheated in the name of marriage and commitment and physically used emotionally and mentally threatened Iâm seeking justice. We have filed FIR against him on sec 376 and 420 he was sent to jail for 10 days and he is now out on bail as his lawyer brought in the act that guy and girl are matured and itâs mutual live in on going relationship so this shouldnât be considered as rape or cheating. He was granted bail and he is out.

In my case me and the guy were best friends and all our whatsapp chat,text were only friendly text and everything changed with the first trip we have been to on July 28th/2018 when he forced me and had physical contact without my interest and promised me to marry and made me continue the relationship till he found another women and got engaged in April/2019 and yet continued with me and has informed me in May 31st/2019 when i was asking him on our marriage.
Initial days he said he was cheated by his wife hence he got divorced as she had extra marital affair with her boss. Later while we were continuing the relationship he confessed in whatsapp text on oct 12th/2018 that he cheated his wife and he said that can be the reason for her to cheat on him and he has been cheating women since age of 21 and he cannot be committed to anyone and this is the reason he is not ready for marriage as he said he cannot trust me either but he again convinced me to continue the relationship with him also planned 2nd trip and forced me to join the trip in dec 30th 2018 to 2nd jan 2019.
In police station and 2 call recordings with my friend he confessed im just his friend no physical contact. His lawyer in court confessed its live in relationship it was consensual sex with no promise of marriage will not amount to rape or cheating this is clear enough the guy is lying from start as he said no relationship and lawyer confess mutual relationship.
I do have few exchanged text where later guy has agreed on 10th sep/2018 saying it was my mistake i shouldn't have planned the first trip especially.
Also few threatening messages from May 2nd/2019 that he has no desire to live will leave job house as i told him will go to his family. also orally he said to write an agreement that i will not come to his family property or file dowry harassment case then he will do register marriage.

His marriage date was 27th June/2019 with the engaged girl and his bail was confirmed on Jun 26th hence he is out and i'm not knowing if he is now already married or his marriage is postponed.

My only evidences are our trip bookings and our few text he agreed on saying trying the relationship, he had to walkout as relationship didn't work but he was texting calling meeting till May 31st/2019 when he was already engaged to another women in April 2019 which he had deliberately hided from me and then in frustration he texted threatening messages where he also confessed i am all yours you can do anything with me but shouldn't go to family and orally said to write some agreement on not entering his family or property or dowry case then he will do register marriage. when i said will have to speak to his family.

He now totally denies that he ever promised or committed on marriage and its mutual relationship on NO commitments which is false but i cannot prove as he always promised orally.

I need strong advice on how to fight against my case as his lawyer is senior and defending him on mutual consensual on going relationship for 1.5 years and he never promised or committed it was with no commitments and both are matured so shouldn't be 

He confessed in whatsapp text about cheating his ex wife and many girls before and cannot be committed to anyone in the name of marriage.

Now his financee and his parents are supporting him saying its mutual relationship now the guy is already engaged to another girl so they will not allow him to marry me.

His lawyer is strongly saying girl only booked the first trip booking and both are matured and will not amount to rape or cheating on the basis of mutual relationship.

He has brutally cheated me now wants to marry an young girl who is supporting him and doesn't want to marry me or accept that we had any relationship on the promise of marriage. Kindly help me to fight this case.

Iâm done with my 164 Statement recording in court on July 1st in presence of judge.

Please advice me on my case and how strongly i can fight and get justice.( Hyderabad, Telangana )",Whatever you may be known . U will need to speak before court. Honestly,"you are legally obligated to testify truthfully under oath, as per Section 191 of the Indian Penal Code, which deals with giving false evidence. If you did not witness the incident, you must clearly state this in court. Failing to appear in court or providing false testimony can lead to legal consequences, including charges of perjury under Section 193 IPC. 

Next steps: Attend the court as summoned and inform the court that you were not present at the time of the incident and have no firsthand knowledge of it. Ensure that your testimony accurately reflects your lack of involvement or observation of the event in question.",19.8141,3.9755,17.5317,21.216,84.2318
10,"If the judgment is passed saying issue of NBW. I. How much time or days  the NB warrant gets issued( Mumbai, Maharashtra )",NIA_138 → CRPC_41 → CRPC_73 → CRPC_160,NIA_138 → CRPC_41 → CRPC_73 → CRPC_160 → arrest → PROC_CHEQUE_BOUNCE → Code of Criminal Procedure 1973 → Negotiable Instruments Act 1881,"Can a police commissioner issue tadipar notice to an accused who got bail from high court for two case framed against her 
The case r IPC 384 170 506(2)114.
Second case 384 170 323 504 114( Surat, Gujarat )","What are the requirements to establish a case of ragging in an educational institution when no witnesses are available? Is the victim's statement and identification of the culprits by the victim enough for an institution to take penal action against the accused?( Ghaziabad, Uttar Pradesh )","Sir a present municipal commissioner registered a contract Co. in his office to participate in works contract. . an elected councillor is a major partner in the company The company took many contract payments . They produced fake TDS tax remitted certificates and misappropriated tax revenue 38 lacs. HC ordered for recovery. Recovery was effected. FIR registered against the Co. But still present commissioner awarding contact to same Co. But no criminal action initiated against the commissioner. So many petition sent to higher officers. All are waste. Pl tell what's the procedure to get prosecution sanction against the commissioner sir( Vijayawada, Andhra Pradesh )","Dear client,An NBW will stay in effect as long as it is not executed or periodically recalled; the magistrate must extend its validity in order for it to do so. Therefore, you must contact an attorney to request the issuance of an anticipatory bail against the Non-Bailable Warrant of Arrest from the relevant Court and to take additional actions for the recall of said NBW if one is issued in a case involving a cheque bounce.","An NBW (Non-Bailable Warrant) is typically issued immediately following the court's order. Under the Code of Criminal Procedure, 1973, particularly Section 73, a court can issue an NBW if it believes that the accused is evading arrest or not complying with summons. The time it takes to execute the warrant depends on the police's efficiency and the accused's location.

To address this situation, ensure compliance with any court orders or conditions previously set to avoid further legal complications. If the NBW is issued, consider filing an application for anticipatory bail under Section 438 of the CrPC to prevent arrest.",19.8141,3.9755,17.5317,21.216,84.2318
