sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",CCS_54 → PROC_INHERITANCE_SUCCESSION → PROC_DIVORCE_CONTESTED → DP_3,"CCS_54 → PROC_INHERITANCE_SUCCESSION → PROC_DIVORCE_CONTESTED → DP_3 → Dowry Prohibition Act, 1961 → PROC_DOWRY_HARASSMENT → CCS (Pension) Rules, 1972 → dowry","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","We got married 7 months ago with Hindu rituals itâs a love Cum arranged interstate marriage accepted by both parents . Before marriage they said they donât need dowry or any gifts to them or the grooms sister . But Soon after marriage the family started demanding for gifts etc .The guy is unemployed from start and Iâm a Govt employee we both stayed at my place .Then he left me after knowing Iâm pregnant saying pregnancy is a mistake and Iâm not responsible and run away with his parents .What action I should take now ? I donât want divorce I need father to my future baby( Chittoor, Andhra Pradesh )",She didn't give hakkasod patra anytime before? Plz check records. Is her name.still appearing in record of rights? Even if she demands her share you can claim set off on account of your expenses made towards developments made in the Land. No perfect and complete advice can be given in absence of documents. Thanks,"Under the Hindu Succession Act, 1956, a daughter has an equal right to inherit her parent's property as a legal heir. If your mother died intestate (without a will), your sister is entitled to claim her share of the property. Renovations made by you do not negate her legal right to her share, though you may seek compensation for the improvements if the court recognizes them as enhancing the property's value.

You can attempt to negotiate a settlement with your sister to avoid litigation. If a settlement is not possible, prepare to defend against her suit by gathering evidence of your investments in the property and any agreements or understandings regarding the land.",1.3052,50.9448,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",HSA_8 → HSA_10 → MWPSC_23 → ISA_37,"HSA_8 → HSA_10 → MWPSC_23 → ISA_37 → PROC_INHERITANCE_SUCCESSION → inheritance → Hindu Succession Act, 1956 → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Client,When a property is left intestate by the owner, all the surviving legal heirs are entitled to an equal share of the said property. To get the individual share, surviving legal heirs have to obtain a Legal Heir Certificate from the competent authority i.e, Municipal Corporation, Tehshildar or local Gram Panchayat, and on receipt of the legal heir's certificate, a suit for partition of the said undivided property shall be filed before the Civil Court praying for a decree/order of partition. On receipt of a decree of partition, a Deed of Partition shall be made and registered under the Registration Act and based on that deed of partition, all the surviving legal shall take their individual share in the property and get their individual share mutated in their name in the land record by making application before Land Revenue Officer concerned. Reach out to an Advocate for guidance and steps.","Under the Hindu Succession Act, 1956, when a person dies intestate, the property is inherited by the legal heirs according to the rules of succession. Since all of your grandfather's children have passed away, the property will be divided among the grandchildren per stirpes, meaning each branch of the family (children of each deceased child) will inherit their parent's share equally. 

To transfer the property to the grandchildren's names, a legal heir certificate or succession certificate from the court may be required to establish the rightful heirs. You should file an application for a succession certificate in the appropriate civil court. Additionally, once the succession certificate is obtained, you can proceed with the mutation of property records to reflect the new ownership.",1.7754,67.7521,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",DP_3 → DVA_12 → DVA_17 → DVA_18,"DP_3 → DVA_12 → DVA_17 → DVA_18 → domestic_violence → PROC_DOWRY_HARASSMENT → PROC_DOMESTIC_VIOLENCE_COMPLAINT → Dowry Prohibition Act, 1961","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Hello,If a false complaint is registered against you by your wife, you have two options â either to defend your case and wait for the judgement or to file a counter case against your wife under S 153(4) CrPC. Meanwhile you can also apply for an anticipatory bail.","The primary legal issue involves allegations of dowry harassment and domestic violence, which are governed by the Dowry Prohibition Act, 1961, and the Protection of Women from Domestic Violence Act, 2005. Under these laws, both you and your parents could face serious legal consequences if convicted. It is crucial to gather all evidence that contradicts the allegations, such as communications, witnesses, or financial records, to support your defense.

You can file for anticipatory bail under Section 438 of the Criminal Procedure Code to prevent arrest, especially considering your father's age. Additionally, consider filing a petition to quash the FIR under Section 482 of the CrPC if the allegations are baseless. Consulting with a local attorney who specializes in family and criminal law is advisable to navigate these complex legal proceedings effectively.",0.8984,45.564,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",SMA_13 → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → PROC_DIVORCE_CONTESTED,"SMA_13 → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → PROC_DIVORCE_CONTESTED → Special Marriage Act, 1954 → divorce → PROC_DIVORCE_MUTUAL_CONSENT → Q_634","My wife don't live with me for 4 year( Nagpur, Maharashtra )","Can daughters claim rights of fathers property in orissa state.( Mumbai, Maharashtra )","Can we get Protection from police before marriage. As we want to get married but our family is against us as we belong to interfaith community.( Mumbai, Maharashtra )",Dear ClientTo apply for the caste certificate you will have to submit an application to the panchayat or block depending on where you reside. You may also get the same from the local councilor if you live in a city.,"To apply for a caste certificate in Andhra Pradesh, the applicant must follow the guidelines set by the Andhra Pradesh government. The primary legal framework is the Andhra Pradesh (SC/ST/BC) Caste Certificate Act. Applicants must provide proof of residence, identity, and supporting documents that establish their caste status, such as a parent's caste certificate or a community certificate from a recognized authority.

Legally, applicants cannot obtain a caste certificate through fraudulent means or by providing false information, as this is punishable under the Indian Penal Code for forgery and fraud. To proceed, visit the local MeeSeva center or apply online through the MeeSeva portal, submitting the necessary documents and application form. Ensure all information is accurate and complete to avoid legal complications.",1.131,70.7934,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",CCS_54 → DP_3 → INDRA_SARMA_2013 → PROC_CHILD_CUSTODY,"CCS_54 → DP_3 → INDRA_SARMA_2013 → PROC_CHILD_CUSTODY → PROC_DOWRY_HARASSMENT → Dowry Prohibition Act, 1961 → DVA_18 → domestic_violence","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Sir,Now, it cannot happen.","The most important legal point is that a No Objection Certificate (NOC) from your aunt can be a useful supporting document but is not legally necessary if the gift deed is executed solely by your grandparents, who are the original owners of the property. According to the Transfer of Property Act, 1882, the gift deed, once executed and registered, transfers ownership to you, and your aunt's consent is not required unless she has a legal claim to the property. 

However, obtaining a NOC can prevent future disputes. You can send a draft NOC to your aunt for her to sign and return. Ensure the NOC is notarized to enhance its legal validity.",0.3738,10.2466,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )",HMA_24 → HMA_25 → CRPC_125 → CRPC_128,"HMA_24 → HMA_25 → CRPC_125 → CRPC_128 → maintenance → PROC_DIVORCE_CONTESTED → PROC_MAINTENANCE_CLAIM → Code of Criminal Procedure, 1973","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Sir,You cannot gift any legal help from your father legally and you may approach common friends of your family and settle the matter.","Under Section 125 of the Code of Criminal Procedure, 1973, a child can seek maintenance from a parent if unable to maintain themselves. However, since you have turned 18, you are considered an adult, and generally, the obligation to provide maintenance ceases unless you are unable to support yourself due to physical or mental incapacity. If you are pursuing education and unable to maintain yourself, you may still have a claim for maintenance.

To pursue this, file a petition for maintenance in the Family Court demonstrating your need and your father's ability to pay. Gather evidence of your financial needs and any incapacity to support yourself independently.",1.1107,38.3024,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )",property_rights → SRA_5 → IPC_420 → MWPSC_23,property_rights → SRA_5 → IPC_420 → MWPSC_23 → inheritance → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → cheating,"I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )",NO.,"Under the Hindu Succession Act, a father has the right to distribute his self-acquired property as he wishes, including giving an extra portion to one son. Other sons cannot challenge this distribution in court unless they can prove undue influence, coercion, or fraud. However, if the property is ancestral, all sons have an equal right, and any unequal distribution can be contested.

To address this, review the nature of the property (self-acquired or ancestral). If it is ancestral, consider filing a partition suit in the civil court to claim an equal share. If self-acquired, legal recourse is limited unless there is evidence of misconduct.",0.2934,1.0591,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",ART_21 → BNS_63 → SENIOR_CITIZENS_MAINTENANCE_RULES_2009 → PROC_MAINTENANCE_CLAIM,"ART_21 → BNS_63 → SENIOR_CITIZENS_MAINTENANCE_RULES_2009 → PROC_MAINTENANCE_CLAIM → Bharatiya Nyaya Sanhita → DVA_18 → Protection of Women from Domestic Violence Act, 2005 → domestic_violence","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","My Aunty is a widow ,she was having two sons , one was unmarried and expired in an railway accident, another son got married 3 years back and got expired last year in COVID ( after 3 years of marriage). We supporting aunty from may years as she became widow when her kids were small, we also supported her for job of her younger son and his marriage. My auntys daughter in law was pregnant when her younger son expired so she took my aunt along with her to her mother's place saying that both will leave together there, after going to her mother's place she aborted her child saying that it was dead, ( she was 3&1/2 month pregnant) . Then she came to their house at Mumbai and took all originals documents of her husband, ration card, property documents , scooty which was on her husband's name and all other valuable assets like his laptop, gold along with her. Through net banking she withdrawn all investments of her husband. She is saying that she put fd in bank with her name and her mother in law is nominee their... After she aborted her child , my aunty felt uncomfortable there so she went to her sister's place. Here I want to mention that my aunty is 62 years old, she is handicap from birth, her right hand is not moving so she needs help of any one to do her activities... Now few days back we came to know that their Building at Mumbai is going for redevelopment, for which we need the documents of property, since she use to visit my aunt's brother in law's place we told her to carry all original documents with her and gold of my aunty, she brought half gold which was of my aunty, all gold of her, her husband & gold received in a gift she kept with her also she has not bring the original documents and was avoiding our request of original documents.... now here since the building was going for redevelopment builder told her to vacant her house, we consulted brother in law of aunty where to shift the  her house holds , they told us you ask her ( my aunty) that where does she wants to stay if she is comfortable in staying with her sister you can shift her house hold items there.. then we took one room on rent near her sister to keep her house holds. When her daughter in law came to know about this she abused us over a call and told us who said you to touch her articles... Also we told her to bring all originals and you can take your articles , but she is not ready to listen and asking us to come to her mother's place to collect the documents, aunty's brother in law's supports us but no one is ready to go to her daughter in law's place to collect the documents.. now they are calling us and saying that they wants their articles otherwise they will do police complain against us... Request your help us to understand whether my aunty can take any action against her ,can it be happen without going to court as she is already  disturbed with her son's death and we don't want her to take more tensions..( Thane, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,"The legal issue here is the potential criminal charges against the boy due to the girl's parents' complaints and the legality of their marriage. Under the Indian Penal Code, charges like kidnapping (Section 361) and rape could be alleged, but consent and the girl's age (above 18) are critical factors. The boy cannot legally marry until he is 21, as per the Hindu Marriage Act, 1955, which sets the legal age for marriage at 21 for males.

The boy should ensure he has evidence of the girl's consent and any threats to her life or liberty, which can be crucial in defending against allegations. Filing a writ petition for protection in the High Court could be a viable step to safeguard their rights and prevent harassment by the girl's parents. Consulting with a local attorney to prepare for potential legal proceedings and to explore the possibility of anticipatory bail is advisable.",0.7952,55.292,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",marriage → PROC_BIGAMY_COMPLAINT → property_rights → PROC_DIVORCE_MUTUAL_CONSENT,"marriage → PROC_BIGAMY_COMPLAINT → property_rights → PROC_DIVORCE_MUTUAL_CONSENT → CRPC_154 → PROC_DOMESTIC_VIOLENCE_COMPLAINT → fir → Code of Criminal Procedure, 1973","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","In case, if my mom file complaint to claim for maintenance through crpc 125 and dv act to the magistrate. Just becoz my father has married and settled somewhere with another lady and doesn't look after me and my two lilâ sisters. Then how long does this case run actually and how much expenses will we have in this case? How much of my father salary will we have if he's not dependent?( Maharajganj, Uttar Pradesh )","Hi,While the wife is alive the husband has no right over her self acquired property or ancestral property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property. Therefore, if you wish to protect your property from him, make a will in the name of your children with first husband.If you like my answer, please give a good review.","Under the Hindu Succession Act, 1956, your property remains your separate property even after remarriage, and your second husband does not automatically acquire rights over it. To ensure protection, consider drafting a will specifying your property distribution or creating a trust to manage the property for your daughters' benefit. You cannot legally disinherit your daughters from their rightful share, but you can control the distribution of your self-acquired property.

Next steps: Consult a lawyer to draft a will or establish a trust to formalize your intentions regarding property distribution. Additionally, consider a prenuptial agreement to clearly outline property rights and obligations with your prospective husband.",1.9457,65.1899,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",HMA_13 → HMA_13B → HMA_14 → CRPC_362,"HMA_13 → HMA_13B → HMA_14 → CRPC_362 → divorce → PROC_DIVORCE_MUTUAL_CONSENT → PROC_DIVORCE_CONTESTED → Code of Criminal Procedure, 1973","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","We got married 7 months ago with Hindu rituals itâs a love Cum arranged interstate marriage accepted by both parents . Before marriage they said they donât need dowry or any gifts to them or the grooms sister . But Soon after marriage the family started demanding for gifts etc .The guy is unemployed from start and Iâm a Govt employee we both stayed at my place .Then he left me after knowing Iâm pregnant saying pregnancy is a mistake and Iâm not responsible and run away with his parents .What action I should take now ? I donât want divorce I need father to my future baby( Chittoor, Andhra Pradesh )","Hi,she can file for divorce in Indonesia.she can send her spouse a legal notice and later claim that the marriage happened without her consent and was forcefully done.","Forcing someone into a marriage or attempting to manipulate circumstances to obtain a divorce is legally problematic and unethical. Under Indian law, a marriage can be annulled if it is proven to be void or voidable due to factors like coercion, as per Section 12 of the Hindu Marriage Act, 1955. However, bringing someone to India under false pretenses and impregnating them to facilitate a divorce could be considered fraudulent and potentially illegal.

Instead, explore legal avenues available in Indonesia for annulment or divorce based on coercion or lack of consent. Encourage your girlfriend to seek legal advice in Indonesia to understand her rights and options. Engaging in any deceptive or coercive actions could lead to legal consequences in both India and Indonesia.",1.0674,76.7578,19.2612,3.7918,16.852,21.1329,2.7544,19.3035,4.1381,1.2864,1.0,25.1854,52.2777,55.2913,84.612
