sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",CCS_54 → PROC_INHERITANCE_SUCCESSION → PROC_DIVORCE_CONTESTED → DP_3,"CCS_54 → PROC_INHERITANCE_SUCCESSION → PROC_DIVORCE_CONTESTED → DP_3 → PROC_DOWRY_HARASSMENT → CCS (Pension) Rules, 1972 → dowry_harassment → dowry","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","We got married 7 months ago with Hindu rituals itâs a love Cum arranged interstate marriage accepted by both parents . Before marriage they said they donât need dowry or any gifts to them or the grooms sister . But Soon after marriage the family started demanding for gifts etc .The guy is unemployed from start and Iâm a Govt employee we both stayed at my place .Then he left me after knowing Iâm pregnant saying pregnancy is a mistake and Iâm not responsible and run away with his parents .What action I should take now ? I donât want divorce I need father to my future baby( Chittoor, Andhra Pradesh )",Whatever may be did . But she's legal hair . She having such property right,"Under the Hindu Succession Act, 1956, daughters have equal rights to inherit ancestral property as sons, following the amendment in 2005. Since the land was inherited from your mother, your sister can legally claim her share of the property. She can file a suit for partition to enforce her rights.

To address this, consider negotiating a settlement with your sister to avoid litigation. If a settlement is not possible, prepare to defend against the suit by gathering evidence of your contributions to the land's renovation, which may be relevant in determining any compensation or adjustments in the partition process.",1.0107,38.8847,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",HSA_8 → HSA_10 → MWPSC_23 → ISA_37,"HSA_8 → HSA_10 → MWPSC_23 → ISA_37 → PROC_INHERITANCE_SUCCESSION → inheritance → Hindu Succession Act, 1956 → Indian Succession Act, 1925","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","In case, if my mom file complaint to claim for maintenance through crpc 125 and dv act to the magistrate. Just becoz my father has married and settled somewhere with another lady and doesn't look after me and my two lilâ sisters. Then how long does this case run actually and how much expenses will we have in this case? How much of my father salary will we have if he's not dependent?( Maharajganj, Uttar Pradesh )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Sir,Section 8 of Hindu Succession  Act:====================================================================General rules of succession in the case of males.âThe property of a male Hindu dying intestateshall devolve according to the provisions of this Chapter:â(a) firstly, upon the heirs, being the relatives specified in class I of the Schedule;CLASS ISon; daughter; widow; mother; son of a pre-deceased son; daughter of a pre-deceased son; son of a pre-deceased daughter; daughter of a pre-deceased daughter; widow of a pre-deceased son; son of a pre-deceased son of a pre-deceased son; daughter of a pre-deceased son of a pre-deceased son; widow of a pre-deceased son of a pre-deceased son.=============================================================================Distribution of Property after Death â Hindu MaleFor Hindus, testamentary succession (succession by way of Will) is as per the Indian Succession Act and intestate succession (succession without Will) is as per the Hindu Succession Act. In this article, we look in detail the process for distribution of property after death of a Hindu male as per the Hindu Succession Act.Class 1 HeirsThe Hindu Succession Act groups the heirs of a male Hindu into four categories and lays down that his/her inheritable property devolves firstly upon the heirs specified in Class I which are as under:â¢	Sonsâ¢	Daughtersâ¢	Widowâ¢	Motherâ¢	Son of a pre-deceased sonâ¢	Daughter of a pre-deceased sonâ¢	Son of a pre-deceased daughterâ¢	Daughter of a pre-deceased daughterâ¢	Widow of a pre-deceased sonâ¢	Son of a pre-deceased son of a pre-deceased sonâ¢	Daughter of a pre-deceased son of a pre-deceased sonâ¢	Widow of a pre-deceased son of a pre-deceased sonâ¢	Son of a predeceased daughter of a predeceased daughterâ¢	Daughter of a deceased daughter of a predeceased daughterâ¢	Daughter of a predeceased son of a predeceased daughterâ¢	Daughter of a predeceased daughter of predeceased sonAll these heirs inherit simultaneously and to the exclusion of other heirs. In the absence of any of the heirs in this category, the property devolves upon the enumerated heirs specified in class II.Class 2 HeirsThe devolution in Class II heirs is made in the absence of any heir in Class I and in such a manner that heirs specified in a particular entry share equally. For this purpose if more than one heir is specified in a single entry, they share the property simultaneously and equally to the exclusion of those specified in subsequent entries. Class 2 heirs include:â¢	Fatherâ¢	Sons daughterâs sonâ¢	Sons daughterâs daughterâ¢	Brotherâ¢	Sisterâ¢	Daughters sonâs sonâ¢	Daughters sonâs daughterâ¢	Daughters daughterâs sonâ¢	Daughters Daughterâs daughterâ¢	Brothers sonâ¢	Sisters sonâ¢	Brothers daughterâ¢	Sisters daughterâ¢	Fathers fatherâ¢	Fathers motherâ¢	Fathers widowâ¢	Brothers widowâ¢	Fathers brotherâ¢	Fathers sisterâ¢	Mothers fatherâ¢	Mothers motherâ¢	Mothers brotherâ¢	Mothers sisterAgnatesIn case a Hindu male passes away intestate and leaves no class 1 or class 2 heirs, then the property would devolve on agnates. A person is said to be an agnate of another if the two are related by blood or adoption wholly through males. Agnate relationship does not extend to relationship by marriage and is restricted to relationship by blood. Also, agnate does not include widows of lineal descendants of the intestate.CognatesIf a Hindu male passes away without a Will and has no class 1 or class 2 heirs or agnates, then the succession would be through cognates. Cognates are ones who are related to the intestate by blood or adoption but not wholly, through males. Thus motherâs brotherâs son and brotherâs daughters son are cognates, eligible for heirship.","Under the Hindu Succession Act, 1956, if a Hindu male dies intestate, his property devolves upon his legal heirs as per the rules of succession. Since your grandfather's children (the first class heirs) have also passed away, the property will be divided among the grandchildren as per the doctrine of representation. This means the grandchildren will inherit the share their deceased parent would have received.

To transfer the property to the grandchildren's names, you need to obtain a legal heir certificate from the local revenue office or a competent authority. Subsequently, apply for mutation of the property records with the local municipal authority to reflect the change in ownership.",0.0408,69.2706,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",DP_3 → DVA_12 → DVA_17 → DVA_18,DP_3 → DVA_12 → DVA_17 → DVA_18 → domestic_violence → PROC_STREEDHAN_RECOVERY → PROC_DOMESTIC_VIOLENCE_COMPLAINT → PROC_DOWRY_HARASSMENT,"I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Hello,If a false complaint is registered against you by your wife, you have two options â either to defend your case and wait for the judgement or to file a counter case against your wife under S 153(4) CrPC. Meanwhile you can also apply for an anticipatory bail.","The primary legal issue involves defending against charges of dowry harassment, sexual abuse, and domestic violence. Under the Protection of Women from Domestic Violence Act, 2005, and Section 498A of the Indian Penal Code, these are serious allegations that require immediate legal action. 

First, gather all evidence that can refute the claims, such as communications, witnesses, and financial records. File a counter-complaint if there is evidence of false accusations or harassment. Consider applying for anticipatory bail to prevent arrest, especially given the age of your father. Consult with a criminal defense attorney to strategize your defense and potentially negotiate a settlement or mediation.",1.0702,48.4164,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",SMA_13 → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → PROC_DIVORCE_CONTESTED,"SMA_13 → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → PROC_DIVORCE_CONTESTED → Special Marriage Act, 1954 → divorce → PROC_DIVORCE_MUTUAL_CONSENT → Q_631","My wife don't live with me for 4 year( Nagpur, Maharashtra )","Can daughters claim rights of fathers property in orissa state.( Mumbai, Maharashtra )","Can we get Protection from police before marriage. As we want to get married but our family is against us as we belong to interfaith community.( Mumbai, Maharashtra )","Dear Client,The Cast certificate document in India can be taken online or from the Revenue Departmentâs local office or the SDM office. A local inquiry is conducted when the caste certificate is issued for the first time to a particular family. The documents to be kept handy are-  State residence proof for a specific period, Specified court stamp fee and, An affidavit in support of the caste. This caste certificate is to be uploaded in the very prescribed format of the respective institute where it should be submitted or uploaded.  To obtain Caste Certificate in India , you must have some documents along with the application including- Application Form, Residence Proof, Copy of the Birth Certificate, Copy of the Ration card, Copy of income certificate, Copy of the Voter ID or electoral roll, Aadhar Card and Photograph. We hope that our response is helpful to you.","Applying for a caste certificate in Andhra Pradesh involves specific procedures governed by the Andhra Pradesh government regulations. Legally, an individual can apply for a caste certificate through the MeeSeva portal or at the local MeeSeva center. The applicant must provide necessary documents such as proof of identity, address, and a declaration of caste.

To proceed, visit the MeeSeva portal and fill out the online application form for a caste certificate, uploading the required documents. Alternatively, visit a nearby MeeSeva center with the documents to apply in person. Ensure all information is accurate to avoid delays in processing.",1.5888,74.4147,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",CCS_54 → DP_3 → INDRA_SARMA_2013 → PROC_CHILD_CUSTODY,"CCS_54 → DP_3 → INDRA_SARMA_2013 → PROC_CHILD_CUSTODY → DVA_18 → domestic_violence → CCS (Pension) Rules, 1972 → PROC_DOMESTIC_VIOLENCE_COMPLAINT","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )",Yes. But it is not required strictly as far as as it is not going to  be challenged on one ground or the other. Thanks,"The most important legal point is that a No Objection Certificate (NOC) from your aunt can be a useful supporting document but is not legally required if the gift deed is validly executed by your grandparents. Under the Transfer of Property Act, 1882, once a gift deed is executed and registered, the donor relinquishes all rights to the property, and the donee becomes the absolute owner. If your grandparents were the sole owners of the property and the gift deed is properly registered, your aunt's consent is not necessary for future transactions.

To proceed, have your aunt sign the NOC, clearly stating her lack of objection to the gift deed, and ensure it is notarized for authenticity. Keep this document for your records to mitigate any potential disputes in the future.",0.9863,3.1875,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )",HMA_24 → HMA_25 → CRPC_125 → CRPC_128,"HMA_24 → HMA_25 → CRPC_125 → CRPC_128 → maintenance → Hindu Marriage Act, 1955 → PROC_MAINTENANCE_CLAIM → Code of Criminal Procedure, 1973","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","In case, if my mom file complaint to claim for maintenance through crpc 125 and dv act to the magistrate. Just becoz my father has married and settled somewhere with another lady and doesn't look after me and my two lilâ sisters. Then how long does this case run actually and how much expenses will we have in this case? How much of my father salary will we have if he's not dependent?( Maharajganj, Uttar Pradesh )","Dear ClientAs per the Section 125 of Cr.P.C. only a minor child can ask for maintenance from the father or a major child who suffers from some disability.Even under the Hindu Adoption and Maintenance Act, 1956, Section 20 only a minor child can ask for maintenance.","Under Section 125 of the Code of Criminal Procedure, 1973, a child can claim maintenance from a parent if they are unable to maintain themselves. Although you have turned 18, if you are unable to support yourself due to education or other valid reasons, you may still be eligible for maintenance. However, if you are a male child and not suffering from any physical or mental abnormality or injury, the claim might be challenging post-18.

File an application for maintenance under Section 125 CrPC in the local family court. Gather evidence of your financial dependency and your father's ability to pay.",3.4161,74.708,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )",property_rights → SRA_5 → IPC_420 → MWPSC_23,"property_rights → SRA_5 → IPC_420 → MWPSC_23 → inheritance → PROC_INHERITANCE_SUCCESSION → cheating → Specific Relief Act, 1963","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Sir,During the lifetime of father no one has any right over his property.","Under the Hindu Succession Act, a father has the right to distribute his self-acquired property as he wishes during his lifetime, including giving an extra portion to one son. The other sons cannot legally challenge this distribution unless they can prove undue influence, coercion, or lack of mental capacity. If the property is ancestral, the sons may have a claim to equal distribution.

To address this situation, the sons can first determine if the property is self-acquired or ancestral. If there are concerns about the validity of the distribution, they may consider filing a suit challenging the transfer based on the grounds mentioned above.",0.5624,44.76,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",ART_21 → BNS_63 → SENIOR_CITIZENS_MAINTENANCE_RULES_2009 → PROC_MAINTENANCE_CLAIM,ART_21 → BNS_63 → SENIOR_CITIZENS_MAINTENANCE_RULES_2009 → PROC_MAINTENANCE_CLAIM → HAMA_20 → child_custody → DVA_18 → domestic_violence,"I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","My Aunty is a widow ,she was having two sons , one was unmarried and expired in an railway accident, another son got married 3 years back and got expired last year in COVID ( after 3 years of marriage). We supporting aunty from may years as she became widow when her kids were small, we also supported her for job of her younger son and his marriage. My auntys daughter in law was pregnant when her younger son expired so she took my aunt along with her to her mother's place saying that both will leave together there, after going to her mother's place she aborted her child saying that it was dead, ( she was 3&1/2 month pregnant) . Then she came to their house at Mumbai and took all originals documents of her husband, ration card, property documents , scooty which was on her husband's name and all other valuable assets like his laptop, gold along with her. Through net banking she withdrawn all investments of her husband. She is saying that she put fd in bank with her name and her mother in law is nominee their... After she aborted her child , my aunty felt uncomfortable there so she went to her sister's place. Here I want to mention that my aunty is 62 years old, she is handicap from birth, her right hand is not moving so she needs help of any one to do her activities... Now few days back we came to know that their Building at Mumbai is going for redevelopment, for which we need the documents of property, since she use to visit my aunt's brother in law's place we told her to carry all original documents with her and gold of my aunty, she brought half gold which was of my aunty, all gold of her, her husband & gold received in a gift she kept with her also she has not bring the original documents and was avoiding our request of original documents.... now here since the building was going for redevelopment builder told her to vacant her house, we consulted brother in law of aunty where to shift the  her house holds , they told us you ask her ( my aunty) that where does she wants to stay if she is comfortable in staying with her sister you can shift her house hold items there.. then we took one room on rent near her sister to keep her house holds. When her daughter in law came to know about this she abused us over a call and told us who said you to touch her articles... Also we told her to bring all originals and you can take your articles , but she is not ready to listen and asking us to come to her mother's place to collect the documents, aunty's brother in law's supports us but no one is ready to go to her daughter in law's place to collect the documents.. now they are calling us and saying that they wants their articles otherwise they will do police complain against us... Request your help us to understand whether my aunty can take any action against her ,can it be happen without going to court as she is already  disturbed with her son's death and we don't want her to take more tensions..( Thane, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,"Under Indian law, a boy must be at least 21 years old to legally marry, as per the Hindu Marriage Act, 1955. Since the boy is below this age, they cannot marry legally at present. However, as the girl is above 18, she is legally an adult and can make her own decisions regarding her life and liberty. If the girl's parents file complaints such as rape or kidnapping, the boy should seek anticipatory bail under Section 438 of the Criminal Procedure Code to avoid arrest. It is advisable for both to document any threats to the girl's life and liberty and consider filing a writ petition for protection in the High Court under Article 21 of the Constitution of India, which guarantees the right to life and personal liberty.",0.9101,52.3842,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",marriage → PROC_BIGAMY_COMPLAINT → property_rights → PROC_DIVORCE_MUTUAL_CONSENT,marriage → PROC_BIGAMY_COMPLAINT → property_rights → PROC_DIVORCE_MUTUAL_CONSENT → Q_403 → HSA_10 → inheritance → PROC_INHERITANCE_SUCCESSION,"I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Hi,If you are alive the husband has no right over your self acquired property or ancestral property. After the death the husband has right over your property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property.If you like my answer, please give a good review.","Under Indian law, a second husband does not automatically have rights to a wife's property acquired before the marriage. According to the Hindu Succession Act, 1956, property owned by a woman prior to her marriage remains her self-acquired property, and she has full rights to manage or dispose of it as she wishes. To ensure protection, consider drafting a will specifying the distribution of your property or creating a trust for your daughters. It is advisable to consult with a legal expert to draft these documents to ensure they are legally sound and enforceable.",1.8886,59.9885,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",HMA_13 → HMA_13B → HMA_14 → CRPC_362,"HMA_13 → HMA_13B → HMA_14 → CRPC_362 → divorce → PROC_DIVORCE_MUTUAL_CONSENT → Hindu Marriage Act, 1955 → Code of Criminal Procedure, 1973","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","I'm sai from andhrapradesh my age 27 I'm loving a girl age 25 she is form Tamilnadu. For my side my parents accept. But her parents or not at all listening what we are telling  and her parents are torturing that girl.We are now without any problem from her parents How to marry please help me sir( Guntur, Andhra Pradesh )","hi,since the marriage took place without her consent, she can file for divorce in Indonesia.having said that  you getting her pregnant will end up landing the future baby into an illegitimate child and have complications in getting divorce too.","It is illegal to bring someone to India with the intent of getting them pregnant to facilitate a divorce. Under the Hindu Marriage Act, 1955, and similar laws applicable to other religions, a marriage can only be dissolved through legal proceedings, not by extramarital pregnancy. Additionally, such actions may constitute abduction or illegal immigration under Indian law, which can lead to severe legal consequences.

Instead, your girlfriend should pursue a legal divorce in Indonesia if her marriage was indeed forced and against her will. Consulting with a legal expert in Indonesia to explore options for annulment or divorce based on coercion would be a more appropriate and lawful course of action.",1.7406,84.7042,20.0517,3.7497,17.7251,20.6681,2.8987,23.13,4.759,1.5286,0.8745,20.8967,55.0659,58.4555,84.1259
