epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0115,0.8015,0.758,9.99e-05,2.0
2,-0.0099,0.8386,0.7304,9.961e-05,1.98
3,-0.0089,0.8784,0.783,9.912e-05,1.959
4,-0.008,0.8687,0.7696,9.844e-05,1.939
5,-0.0073,0.8715,0.7821,9.758e-05,1.918
6,-0.0068,0.9014,0.7946,9.652e-05,1.898
7,-0.0065,0.8933,0.783,9.529e-05,1.878
8,-0.0063,0.8909,0.8062,9.388e-05,1.857
9,-0.0061,0.9072,0.8232,9.229e-05,1.837
10,-0.0059,0.9041,0.7929,9.055e-05,1.816
11,-0.0058,0.9141,0.7536,8.864e-05,1.796
12,-0.0058,0.9063,0.7804,8.658e-05,1.776
13,-0.0055,0.901,0.7893,8.439e-05,1.755
14,-0.0055,0.908,0.7714,8.205e-05,1.735
15,-0.0054,0.9113,0.7911,7.96e-05,1.714
16,-0.0054,0.9135,0.7687,7.702e-05,1.694
17,-0.0054,0.9039,0.7732,7.435e-05,1.673
18,-0.0053,0.9058,0.6964,7.158e-05,1.653
19,-0.0051,0.9105,0.7741,6.872e-05,1.633
20,-0.005,0.9143,0.8196,6.58e-05,1.612
21,-0.0051,0.9044,0.7625,6.281e-05,1.592
22,-0.0051,0.922,0.767,5.978e-05,1.571
23,-0.0049,0.9148,0.7714,5.67e-05,1.551
24,-0.005,0.9093,0.7714,5.361e-05,1.531
25,-0.0048,0.907,0.7884,5.05e-05,1.51
26,-0.0047,0.9251,0.7661,4.739e-05,1.49
27,-0.0045,0.9108,0.7964,4.43e-05,1.469
28,-0.0046,0.9179,0.7714,4.122e-05,1.449
29,-0.0048,0.9349,0.7696,3.819e-05,1.429
30,-0.0047,0.9313,0.7732,3.52e-05,1.408
31,-0.0047,0.9253,0.7902,3.228e-05,1.388
32,-0.0047,0.9413,0.8107,2.942e-05,1.367
33,-0.0048,0.9235,0.7866,2.665e-05,1.347
34,-0.0047,0.9321,0.7848,2.398e-05,1.327
35,-0.0047,0.9294,0.7875,2.14e-05,1.306
36,-0.0047,0.928,0.7679,1.895e-05,1.286
37,-0.0047,0.9208,0.8143,1.661e-05,1.265
38,-0.0047,0.9288,0.7875,1.442e-05,1.245
39,-0.0046,0.9371,0.7607,1.236e-05,1.224
40,-0.0045,0.9202,0.7911,1.045e-05,1.204
41,-0.0045,0.921,0.7937,8.71e-06,1.184
42,-0.0045,0.923,0.7929,7.12e-06,1.163
43,-0.0046,0.9402,0.7589,5.71e-06,1.143
44,-0.0047,0.9194,0.7804,4.48e-06,1.122
45,-0.0047,0.9308,0.7661,3.42e-06,1.102
46,-0.0047,0.9401,0.7937,2.56e-06,1.082
47,-0.0046,0.9272,0.7848,1.88e-06,1.061
48,-0.0046,0.9331,0.8045,1.39e-06,1.041
49,-0.0047,0.9291,0.7991,1.1e-06,1.02
50,-0.0046,0.9194,0.7679,1e-06,1.0
