sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",CCS_54 → PROC_INHERITANCE_SUCCESSION → PROC_DIVORCE_CONTESTED → DP_3,"CCS_54 → PROC_INHERITANCE_SUCCESSION → PROC_DIVORCE_CONTESTED → DP_3 → PROC_DOWRY_HARASSMENT → dowry_harassment → family_pension → CCS (Pension) Rules, 1972","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","My father bought a house in year 2004. The registry was done under two name first my fathers and second my brothers. 

My father died in 2013. Since then my brother and his wife have started feeling that the house has become theirs. They have stopped respecting my mother aged 76 years. 

I am divorcee with a daughter. my mother keeps my child as i am working professional. Now my brother and his wife threatens and uses abusive language and does not want my daughter also to visit that house. 

Kindly advice if i have a legal right on the house or not and advice my step on it. 

Also my brothers wife is in a government job so she thinks that nobody can harm her.( West Delhi, Delhi )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,Whatever may be did . But she's legal hair . She having such property right,"Under the Hindu Succession Act, 1956, daughters have equal rights to inherit their parent's property, which was affirmed by the Supreme Court in the case of *Vineeta Sharma v. Rakesh Sharma* (2020). Your sister has a legal right to claim her share of the agricultural land, regardless of the renovations you made. However, any improvements you have made to the property may be considered in determining the value of her share.

Legally, you cannot deny her claim to the property, but you can negotiate a settlement or partition the property to resolve the dispute. Consider initiating a family settlement agreement or filing a suit for partition to formally divide the property. Consulting with a property lawyer in Karnataka for specific advice on local procedures would be beneficial.",0.674,39.8557,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",HSA_8 → HSA_10 → MWPSC_23 → ISA_37,"HSA_8 → HSA_10 → MWPSC_23 → ISA_37 → PROC_INHERITANCE_SUCCESSION → inheritance → Indian Succession Act, 1925 → Hindu Succession Act, 1956","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","In case, if my mom file complaint to claim for maintenance through crpc 125 and dv act to the magistrate. Just becoz my father has married and settled somewhere with another lady and doesn't look after me and my two lilâ sisters. Then how long does this case run actually and how much expenses will we have in this case? How much of my father salary will we have if he's not dependent?( Maharajganj, Uttar Pradesh )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","DearTo facilitate the transfer of the property to the names of the grandchildren, it may be necessary to go through a legal process that involves obtaining a succession certificate or a letter of administration from the court. This process helps establish the rightful heirs and their respective shares in the property.","Under the Hindu Succession Act, 1956, when a Hindu male dies intestate, his property is divided among his legal heirs as per the rules of succession. Since all of your grandfather's children have also passed away, the property will be divided among the grandchildren as per the principle of representation. Each branch of the family (i.e., each deceased child of your grandfather) will inherit an equal share, which will then be further divided among that child's own heirs.

To transfer the property to the grandchildren's names, a legal heir certificate or succession certificate may be required. This can be obtained by filing an application in the appropriate civil court. It is advisable to consult with a local attorney to assist with the application process and ensure all legal formalities are properly completed.",3.7248,67.3496,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",DP_3 → DVA_12 → DVA_17 → DVA_18,DP_3 → DVA_12 → DVA_17 → DVA_18 → domestic_violence → PROC_DOMESTIC_VIOLENCE_COMPLAINT → PROC_LEGAL_AID_ACCESS → dowry_harassment,"I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Sir,It is casual not to worry. You may go to High Court and get the charge is stayed then quashed by hiring a reputed advocate.","Under the Protection of Women from Domestic Violence Act, 2005, and the Dowry Prohibition Act, 1961, the charges against you and your family are serious. Immediate steps should include securing legal representation to challenge these allegations. You can file for anticipatory bail under Section 438 of the Criminal Procedure Code to prevent arrest, especially considering your father's age. Additionally, gather evidence and witnesses that may refute the claims, and consider filing a counter-complaint if false allegations can be proven. Engage with a local attorney to explore mediation or settlement options if appropriate.",1.0316,49.9847,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",SMA_13 → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → PROC_DIVORCE_CONTESTED,"SMA_13 → PROC_INHERITANCE_SUCCESSION → PROC_PARENTS_SENIOR_CITIZENS_MAINTENANCE → PROC_DIVORCE_CONTESTED → Special Marriage Act, 1954 → divorce → PROC_DIVORCE_MUTUAL_CONSENT → Q_631","My wife don't live with me for 4 year( Nagpur, Maharashtra )","Can daughters claim rights of fathers property in orissa state.( Mumbai, Maharashtra )","Can we get Protection from police before marriage. As we want to get married but our family is against us as we belong to interfaith community.( Mumbai, Maharashtra )",Dear ClientTo apply for the caste certificate you will have to submit an application to the panchayat or block depending on where you reside. You may also get the same from the local councilor if you live in a city.,"To apply for a caste certificate in Andhra Pradesh, the applicant must approach the local MeeSeva center or apply online through the official MeeSeva portal. The key legal requirement is to provide proof of residence and documents supporting the caste claim, such as a school certificate or a parent's caste certificate. 

Legally, the applicant cannot obtain a caste certificate without sufficient documentation proving their caste status. The next steps involve gathering the necessary documents, such as an Aadhaar card, proof of residence, and any previous caste certificates, and then submitting them through the MeeSeva portal or at a local center. Ensure all documents are accurate and complete to avoid delays in processing.",1.3939,72.2488,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",CCS_54 → DP_3 → INDRA_SARMA_2013 → PROC_CHILD_CUSTODY,CCS_54 → DP_3 → INDRA_SARMA_2013 → PROC_CHILD_CUSTODY → PROC_INHERITANCE_SUCCESSION → dowry_harassment → PROC_DOWRY_HARASSMENT → DVA_12,"I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","Dear Sir,Now, it cannot happen.","The most important legal point is that a No Objection Certificate (NOC) from your aunt can be a useful supporting document but is not legally required for the validity of a gift deed. Under the Transfer of Property Act, 1882, a gift deed executed by the donor (your grandparents) in favor of the donee (you) does not require consent from other legal heirs if it was executed properly and registered. However, obtaining an NOC can help prevent future disputes. 

You can prepare a draft NOC, have it signed by your aunt, and courier it back to you. Ensure the NOC is notarized to strengthen its validity.",0.415,11.7519,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )",HMA_24 → HMA_25 → CRPC_125 → CRPC_128,"HMA_24 → HMA_25 → CRPC_125 → CRPC_128 → maintenance → PROC_LEGAL_AID_ACCESS → PROC_MAINTENANCE_CLAIM → Hindu Marriage Act, 1955","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Dear ClientAs per the Section 125 of Cr.P.C. only a minor child can ask for maintenance from the father or a major child who suffers from some disability.Even under the Hindu Adoption and Maintenance Act, 1956, Section 20 only a minor child can ask for maintenance.","Under Section 125 of the Criminal Procedure Code (CrPC), a child can claim maintenance from a parent if they are unable to maintain themselves. However, once a child turns 18, they are generally not entitled to maintenance unless they are unable to support themselves due to physical or mental incapacity. Since you are over 18 and do not mention any such incapacity, you may not be entitled to maintenance under this section.

You can explore filing a civil suit for financial support if there are other grounds, such as a family agreement or trust that provides for your support. Consider consulting with a local attorney to explore any potential claims based on specific family circumstances or agreements.",2.1062,72.2477,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )",property_rights → SRA_5 → IPC_420 → MWPSC_23,"property_rights → SRA_5 → IPC_420 → MWPSC_23 → PROC_INHERITANCE_SUCCESSION → inheritance → cheating → Specific Relief Act, 1963","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )",NO.,"Under the Hindu Succession Act, 1956, a father has the right to distribute his self-acquired property as he wishes, including giving an extra portion to one son. However, if the property is ancestral, all sons have an equal right to it, and any unequal distribution can be challenged in court. If the property is self-acquired and the father has made a will or gift deed favoring one son, the other sons generally cannot contest this distribution.

To address this situation, determine if the property is ancestral or self-acquired. If ancestral, consider filing a partition suit to claim an equal share. If self-acquired and a will or gift deed exists, legal recourse may be limited unless there is evidence of coercion or fraud.",0.259,-0.3686,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",ART_21 → BNS_63 → SENIOR_CITIZENS_MAINTENANCE_RULES_2009 → PROC_MAINTENANCE_CLAIM,"ART_21 → BNS_63 → SENIOR_CITIZENS_MAINTENANCE_RULES_2009 → PROC_MAINTENANCE_CLAIM → HAMA_20 → Hindu Adoption and Maintenance Act, 1956 → DVA_18 → PROC_DOMESTIC_VIOLENCE_COMPLAINT","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","My Aunty is a widow ,she was having two sons , one was unmarried and expired in an railway accident, another son got married 3 years back and got expired last year in COVID ( after 3 years of marriage). We supporting aunty from may years as she became widow when her kids were small, we also supported her for job of her younger son and his marriage. My auntys daughter in law was pregnant when her younger son expired so she took my aunt along with her to her mother's place saying that both will leave together there, after going to her mother's place she aborted her child saying that it was dead, ( she was 3&1/2 month pregnant) . Then she came to their house at Mumbai and took all originals documents of her husband, ration card, property documents , scooty which was on her husband's name and all other valuable assets like his laptop, gold along with her. Through net banking she withdrawn all investments of her husband. She is saying that she put fd in bank with her name and her mother in law is nominee their... After she aborted her child , my aunty felt uncomfortable there so she went to her sister's place. Here I want to mention that my aunty is 62 years old, she is handicap from birth, her right hand is not moving so she needs help of any one to do her activities... Now few days back we came to know that their Building at Mumbai is going for redevelopment, for which we need the documents of property, since she use to visit my aunt's brother in law's place we told her to carry all original documents with her and gold of my aunty, she brought half gold which was of my aunty, all gold of her, her husband & gold received in a gift she kept with her also she has not bring the original documents and was avoiding our request of original documents.... now here since the building was going for redevelopment builder told her to vacant her house, we consulted brother in law of aunty where to shift the  her house holds , they told us you ask her ( my aunty) that where does she wants to stay if she is comfortable in staying with her sister you can shift her house hold items there.. then we took one room on rent near her sister to keep her house holds. When her daughter in law came to know about this she abused us over a call and told us who said you to touch her articles... Also we told her to bring all originals and you can take your articles , but she is not ready to listen and asking us to come to her mother's place to collect the documents, aunty's brother in law's supports us but no one is ready to go to her daughter in law's place to collect the documents.. now they are calling us and saying that they wants their articles otherwise they will do police complain against us... Request your help us to understand whether my aunty can take any action against her ,can it be happen without going to court as she is already  disturbed with her son's death and we don't want her to take more tensions..( Thane, Maharashtra )",Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,"Under the Indian Penal Code, if the girl is above 18, she is legally an adult and can consent to the relationship. However, since the boy is under 21, they cannot legally marry under the Hindu Marriage Act, 1955. The boy cannot be charged with rape if the relationship is consensual and the girl is above 18, but the threat of charges like kidnapping or abduction under Sections 361 and 363 IPC remains if her parents file a complaint. 

The couple should consider seeking legal protection by filing a writ petition for protection of life and liberty in the High Court, citing the threat to the girl's safety. Additionally, they should gather evidence of any threats or coercion from the girl's parents to support their case.",0.5631,57.6401,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",marriage → PROC_BIGAMY_COMPLAINT → property_rights → PROC_DIVORCE_MUTUAL_CONSENT,"marriage → PROC_BIGAMY_COMPLAINT → property_rights → PROC_DIVORCE_MUTUAL_CONSENT → HMA_12 → Hindu Marriage Act, 1955 → nullity_of_marriage → Q_63","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","Can we send legal notice reg 'No future engagements will be done by both parties' reg marriage from both sides after future engagements were called off on phone from our side? Please suggest as it is being considered as a necessary document by the new family ( be it a formality) and for me to move on in life.( South West Delhi, Delhi )","In case, if my mom file complaint to claim for maintenance through crpc 125 and dv act to the magistrate. Just becoz my father has married and settled somewhere with another lady and doesn't look after me and my two lilâ sisters. Then how long does this case run actually and how much expenses will we have in this case? How much of my father salary will we have if he's not dependent?( Maharajganj, Uttar Pradesh )","Hi,While the wife is alive the husband has no right over her self acquired property or ancestral property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property. Therefore, if you wish to protect your property from him, make a will in the name of your children with first husband.If you like my answer, please give a good review.","Under the Hindu Marriage Act, 1955, marriage does not automatically confer property rights to a spouse. Your second husband will not have rights to your property solely by virtue of marriage. To protect your property, consider creating a will explicitly stating your intentions regarding property distribution. Additionally, you may execute a prenuptial agreement to clarify property rights and obligations. Consulting with a local attorney to draft these documents will ensure they comply with Karnataka's legal requirements.",3.0759,59.0224,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",HMA_13 → HMA_13B → HMA_14 → CRPC_362,"HMA_13 → HMA_13B → HMA_14 → CRPC_362 → Code of Criminal Procedure, 1973 → PROC_DIVORCE_MUTUAL_CONSENT → divorce → Hindu Marriage Act, 1955","I just want to ask that is it possible that marriage between girl and  father's sisiter son.. having same Grand Mother and Grand Father . 
                  G.M & G.F 
                        / \
     Wife &Son.    Daughter & Husband 
                 |.                   |
         Girl                    Boy 
 I am Hindu ..
Is it come under sapinda relationship  ? 
Can we get marriage certificate in this case ?? 
In Future any problems?( Amrawati, Maharashtra )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","My Aunty is a widow ,she was having two sons , one was unmarried and expired in an railway accident, another son got married 3 years back and got expired last year in COVID ( after 3 years of marriage). We supporting aunty from may years as she became widow when her kids were small, we also supported her for job of her younger son and his marriage. My auntys daughter in law was pregnant when her younger son expired so she took my aunt along with her to her mother's place saying that both will leave together there, after going to her mother's place she aborted her child saying that it was dead, ( she was 3&1/2 month pregnant) . Then she came to their house at Mumbai and took all originals documents of her husband, ration card, property documents , scooty which was on her husband's name and all other valuable assets like his laptop, gold along with her. Through net banking she withdrawn all investments of her husband. She is saying that she put fd in bank with her name and her mother in law is nominee their... After she aborted her child , my aunty felt uncomfortable there so she went to her sister's place. Here I want to mention that my aunty is 62 years old, she is handicap from birth, her right hand is not moving so she needs help of any one to do her activities... Now few days back we came to know that their Building at Mumbai is going for redevelopment, for which we need the documents of property, since she use to visit my aunt's brother in law's place we told her to carry all original documents with her and gold of my aunty, she brought half gold which was of my aunty, all gold of her, her husband & gold received in a gift she kept with her also she has not bring the original documents and was avoiding our request of original documents.... now here since the building was going for redevelopment builder told her to vacant her house, we consulted brother in law of aunty where to shift the  her house holds , they told us you ask her ( my aunty) that where does she wants to stay if she is comfortable in staying with her sister you can shift her house hold items there.. then we took one room on rent near her sister to keep her house holds. When her daughter in law came to know about this she abused us over a call and told us who said you to touch her articles... Also we told her to bring all originals and you can take your articles , but she is not ready to listen and asking us to come to her mother's place to collect the documents, aunty's brother in law's supports us but no one is ready to go to her daughter in law's place to collect the documents.. now they are calling us and saying that they wants their articles otherwise they will do police complain against us... Request your help us to understand whether my aunty can take any action against her ,can it be happen without going to court as she is already  disturbed with her son's death and we don't want her to take more tensions..( Thane, Maharashtra )","Hi,she can file for divorce in Indonesia.she can send her spouse a legal notice and later claim that the marriage happened without her consent and was forcefully done.","The most important legal point is that inducing someone to commit adultery or engaging in actions that could be seen as encouraging a breach of marriage can have serious legal consequences. Under Indian law, specifically Section 497 of the Indian Penal Code (prior to its decriminalization in 2018), adultery was a criminal offense, but it is now only a ground for divorce and not a criminal act. However, the plan to bring your girlfriend to India and get her pregnant to facilitate a divorce could still lead to legal complications, especially if her husband or family pursues legal action for any reason.

Legally, your girlfriend must seek a divorce through the appropriate legal channels in Indonesia, as her marriage is governed by Indonesian law. It is advisable to consult with a legal expert in Indonesia to explore legitimate ways to dissolve her marriage. Engaging in any plan that involves deception or could be perceived as coercive may have unintended legal repercussions.",0.9237,75.8984,18.2752,3.5193,16.4545,20.0023,2.7434,18.3883,3.9393,1.3194,1.0,23.5538,50.0805,53.6866,84.0772
