sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"I am working in H&amp;FW deptt of Delhi more than 10 years on contract basis.
My appointment was 5 years contract basis on regular pay scale after completing 5years I m getting yearly extentionà¥¤ I am also getting childeren education allowance, DGEHS health card, EPF and other facility. Can I go for regularisation in the court. What is the merit of my case? Please adviseà¥¤( North East Delhi, Delhi )",PC::Appointment on Contract Basis → PC::Employee Engaged on Contract Basis → PC::Employees Engaged on Contract Basis → PC::Appellant Appointed on Contract Basis,"PC::Appointment on Contract Basis → PC::Employee Engaged on Contract Basis → PC::Employees Engaged on Contract Basis → PC::Appellant Appointed on Contract Basis → PC::Vacancies Available for Multipurpose Health Assistant → PC::Services Terminated by Appellant → PC::Section 10(1) of the Contract Labour Regulation and Abolition Act, 1970 → PC::Public Interest Consideration in Reinstatement","Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )",Dear ClientI think you have a valid case to ask for regularization but then to be very specific you need to share the contract and service rule book with us so that I can then provide you the more specific or exact answer on that. But as said prima-facie you have a case.,"Under the Contract Labour (Regulation and Abolition) Act, 1970, and relevant case law, employees on contract basis may seek regularization if their employment conditions resemble those of permanent employees and if there is an indication of continuous and permanent work. Given your long tenure and benefits similar to permanent employees, you may have a case for regularization. The Supreme Court in cases like *Secretary, State of Karnataka v. Umadevi* (2006) has set guidelines for regularization, emphasizing the need for a fair process and the absence of a sanctioned post.

You can file a writ petition in the Delhi High Court seeking regularization based on your continuous service and the nature of your employment benefits. Gather evidence of your employment terms, including pay scales, benefits, and any communications regarding your contract extensions, to support your case.",1.6173,55.2715,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
2,"Can I file a writ on fradulent selection of anganwadi worker throgh the interview process with political interfearence( Prakasam, Andhra Pradesh )",PC::Interview Process for Patwaris Conducted → PC::Andhra Pradesh High Court Rules → PC::Andhra Pradesh Ministerial Service Rules → PC::Andhra Pradesh Municipalities Act,"PC::Interview Process for Patwaris Conducted → PC::Andhra Pradesh High Court Rules → PC::Andhra Pradesh Ministerial Service Rules → PC::Andhra Pradesh Municipalities Act → PC::Ashok Yadav v. State of Haryana, 1985 Supp. 1 SCR 657 → PC::Grievance Raised by Unsuccessful Candidates → PC::Classification Based on Retirement Age Found Valid → PC::Article 16 of the Constitution of India","Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","A.Dear Sir,Yes, you can file but success rate is very low and remote.","Under Article 226 of the Constitution of India, a writ petition can be filed in the High Court challenging the selection process of an Anganwadi worker if there is evidence of fraud or political interference. The key legal issue is whether the selection process violated principles of fairness and transparency as mandated by law. The Andhra Pradesh High Court Rules and relevant service rules must be examined to determine if the process adhered to legal standards.

To proceed, gather evidence of the alleged fraudulent activities and political interference in the selection process. File a writ petition in the Andhra Pradesh High Court, presenting this evidence and arguing that the selection violated Article 16, which ensures equality of opportunity in public employment.",0.4476,26.8132,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
3,"My company is refusing to pay any amount and giving reason that I have informed for leave immediately not before 3 month.
I applied for leave on 3q March 2023 and delivered on 18 April 2023.
Please let me know how can I get benefits?( Noida, Uttar Pradesh )",HKG::FA_79 → HKG::MBA_5,HKG::FA_79 → HKG::MBA_5 → HKG::maternity → HKG::Maternity Benefit Act 1961 → HKG::Factories Act 1948 → HKG::PROC_MATERNITY_CLAIM,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,In India, the Maternity Benefit Act, 1961, governs maternity benefits for women employees. According to the Act, you are entitled to maternity leave if you have worked for your employer for at least 80 days in the 12 months immediately preceding your expected date of delivery. The Act does not specify a requirement for providing notice three months in advance. It's more about the duration of your employment before the expected delivery date. Go through your employment contract and your company's HR policies to understand the terms and conditions regarding maternity leave.","Under the Maternity Benefit Act, 1961, an employee is entitled to maternity leave and benefits if she has worked for at least 80 days in the 12 months preceding her expected delivery date. The Act does not mandate a 3-month notice period for applying for maternity leave; rather, it requires a notice in writing, which can be given as soon as possible. Since you applied for leave on 3rd March 2023 and delivered on 18th April 2023, you are entitled to maternity benefits.

To proceed, send a formal legal notice to your employer demanding the maternity benefits as per the Maternity Benefit Act, 1961. If the company fails to comply, file a complaint with the Labour Commissioner’s Office in Noida for non-payment of statutory benefits.",21.1242,81.721,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
4,"If a labour dies of a strok while working in a factory will there be claim any compensation from ESIC ?( Kolkata, West Bengal )",HKG::ESI_2 → HKG::ESI_40 → HKG::ESI_46 → HKG::ESI_51,HKG::ESI_2 → HKG::ESI_40 → HKG::ESI_46 → HKG::ESI_51 → HKG::esi → HKG::compensation → HKG::Employees State Insurance Act 1948 → HKG::PROC_ESI_CLAIM,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","Dear Client,Yes, you may. The eligible dependents benefit in favour of the injured/deceased in accordance with law within a period of four weeks. Kindly consult a lawyer. Check out the case Room No.9 vs Sub-Regional Office.Thank you!","Under the Employees' State Insurance Act, 1948, if a worker dies due to an employment injury, which includes a stroke occurring during work, the dependents are entitled to claim compensation. The relevant provisions under the Act provide for dependents' benefits, which include periodic payments to the family of the deceased insured person. 

The family should immediately notify the employer and the local ESIC branch office about the death. They should then file a claim for dependents' benefits using the appropriate forms provided by the ESIC. Ensure to gather all necessary documents, including medical reports and death certificate, to support the claim.",1.2481,63.0959,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
5,"The company fired me without any reason and paid me only 6 days extra over and above the number of days I worked( Patna, Bihar )",HKG::IDA_25F → HKG::IDA_25H → HKG::IDA_25N → HKG::IDA_2A,HKG::IDA_25F → HKG::IDA_25H → HKG::IDA_25N → HKG::IDA_2A → HKG::Industrial Disputes Act 1947 → HKG::wrongful_termination → HKG::PROC_RETRENCHMENT_CLAIM → HKG::PROC_WRONGFUL_TERMINATION,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,If you have been terminated from your company without any reason and have received only 6 days' extra pay beyond the days you worked, you may have grounds for legal action under Indian labor laws. The Industrial Disputes Act, 1947, protects employees from unfair dismissal and ensures that employers provide a valid reason for termination. Additionally, under the Payment of Wages Act, 1936, employees are entitled to receive full and timely payment of their due wages. You should send a formal written complaint to your employer detailing your grievance and request the full payment you are owed. If the issue is not resolved, you can file a complaint with the labor commissioner or seek legal counsel to take the matter to the labor court to claim your rightful dues and any additional compensation for wrongful termination.","Under the Industrial Disputes Act, 1947, an employee is entitled to a notice period or compensation in lieu of notice if terminated without cause. If the company did not provide adequate notice or compensation, you may have a claim for wrongful termination. You can file a complaint with the Labour Commissioner’s Office in Patna to seek mediation and potentially recover compensation for the notice period and any other dues. Collect all relevant employment documents, including any termination notice, salary slips, and employment contract, to support your claim.",11.5173,70.4966,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
6,"I am doing 4 year regular btech.I will be graduating next month.In my final year(7th sem) I needed some money.So I joined a private bpo company(Oct,2023).But I resigned next month.Overall i was there for a month.I have the offer letter and relieving letter both.

Now my question is should I write this 1 month job experience in ssc cgl(govt job exam) attestation form under previous employment?? Will there be any problem as I am in regular degree?? Or if don't mention will it get terminated on suppression of information?? I have uan with my adhar for working 1 month??( North 24 Parganas, West Bengal )",PC::Suppression of Information in Attestation Form → HKG::relieving_letter → PC::Court Found Salary Accrued Month by Month → PC::Claim for Absorption in Regular Cadre,"PC::Suppression of Information in Attestation Form → HKG::relieving_letter → PC::Court Found Salary Accrued Month by Month → PC::Claim for Absorption in Regular Cadre → PC::Andhra Pradesh State Higher Judicial Service Special Rules for Ad Hoc Appointments, 2001 → PC::Claim for Salary Beyond Limitation Period Barred → PC::Previous Service Considered for Pension Benefits → PC::Criminal Case Pending Against Respondent","Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Dear Client,Given your situation, it is advisable to mention your one-month job experience in the SSC CGL attestation form under previous employment. Suppressing information, especially when you have documents like the offer letter, relieving letter, and UAN linked with your Aadhaar, can lead to complications later, including potential termination for not disclosing accurate information. According to Indian employment laws and the guidelines for SSC CGL, honesty in disclosing employment history is crucial. Since your work period was brief and you have documented proof, it should not negatively impact your application, and full disclosure ensures that there are no accusations of hiding relevant information.","The most important legal point is that any suppression of previous employment information in a government job application, such as the SSC CGL attestation form, can lead to termination or disqualification based on the principle of full disclosure. Under the Central Civil Services (Conduct) Rules, 1964, candidates are required to provide accurate information regarding their employment history. Since you have a UAN linked with your Aadhaar, your previous employment can be easily verified.

You must disclose your one-month employment at the BPO in the attestation form to avoid any allegations of suppression of information. As a next step, ensure that you accurately fill out the employment section in the SSC CGL attestation form, including the details of your short-term employment.",13.5292,86.0566,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
7,"I had worked in company for 12 years, i was terminated , my details are as under
1 Designation : Deputy Manager Accounts
2 Salary          :  60,000.00 Monthly
They have paid some amount but not clear and even they didn't given me any account of the same. I didn't get my do dues certificate and other documents and due to this i am not able to  apply in any other company.
Need your kind advice on the above.( Raipur, Chhattisgarh )",HKG::ICA_73,HKG::ICA_73 → HKG::wages → HKG::Indian Contract Act 1872 → HKG::employment_bond → HKG::Q_820,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )",If not provided then make written application to them for it or take oc from them . After that approach to the court,"Under the Industrial Disputes Act, 1947, you are entitled to a notice period or compensation in lieu of notice upon termination. Additionally, under the Payment of Gratuity Act, 1972, having worked for 12 years, you are eligible for gratuity. You are also entitled to receive a detailed account of any payments made, including any dues such as unpaid salary, leave encashment, or provident fund contributions.

To address this, send a formal legal notice to your former employer demanding a detailed account of your dues, including gratuity and any other pending payments. If the employer fails to respond or settle the dues, consider filing a complaint with the Labour Commissioner in Raipur for mediation or take the matter to the Labour Court for resolution.",0.8587,30.208,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
8,"I was doing the data entry  job today morning they called and told me to pay â¹2050 immediately i paid them now they r telling system time over again if u don't pay ur life will be spoiled they will upload your details in social media and arrest ur family members, please someone help me( Bangalore, Karnataka )",PC::Dispute Over Will Validity → PC::Subletting to Family Members Disputed → PC::Data Entry Operators Created Separate Cadre → PC::Family Members Involved in Company Management,PC::Dispute Over Will Validity → PC::Subletting to Family Members Disputed → PC::Data Entry Operators Created Separate Cadre → PC::Family Members Involved in Company Management → PC::Promotion Opportunities Differed Between Cadres → PC::Judgment in Kailasbhai Shukaram Tiwari Vs. Jostna Laxmidas Pujara Anr. → PC::No Written Consent for Subletting Obtained → PC::Judgment in Duli Chand Dead by Lrs. Vs. Jagminder Dass,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","my father was an employee of a company and was entitled under EPF scheme. He dies in Jan,2008. My mother received his PF benefit in 2011, but my mother fell in Cancer disease in 2011 and repeatedly suffered many years, due to this we could not submit Pension Claim in 10D form to EPFO as on date. My father had no UAN no then. My question is that will my mother is eligible to submit 10D to get Family Pension from EPFO now. because now we are in very much financial  crisis.( Murshidabad, West Bengal )","Hello,As per the information you have given firstly please state the facts clearly and secondly you need not to worry of any sactions that is to be implicated by te company unless and until you have not done anything against the law instead you can file a FIR to piolice for harassment.","The situation described appears to be a scam involving extortion and threats, which is a criminal offense under the Indian Penal Code (IPC). Specifically, Section 383 of the IPC defines extortion as intentionally putting a person in fear of injury to induce them to deliver property or valuable security. The threats to upload personal details and arrest family members are illegal and constitute criminal intimidation under Section 503 of the IPC.

Legally, the user is not obligated to pay any further amounts and should not comply with the demands. The user should immediately report the matter to the local police station in Bangalore, providing all evidence of communication and payments made. Additionally, consider contacting a cybercrime unit as this involves potential online fraud and threats.",0.8845,47.3532,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
9,"I am working in a LLP Software Company in which minimum wages of employees as a fresher/experienced up to 2 years are between 10K to 15K.

The company all of a sudden is asking for account details (although company have it) and it has been said that the company will deposit an amount of 50,000 or more to all the employees accounts.

All the employees will have to transfer this amount to some other account specified by company HR.

The company is saying that this is just for the taxation purpose and it is safe.

What are the minimum wages criteria as per the law?

Is it really safe for me to allow company depositing such large amount in my account?

Is it to restrict employees leaving from Job without/with notice period as our employment bond is too strict (asking employees to oay compensation amount whichever is higher while leaving job with a notice period) and is completely in favour of company?

Please suggest.( Mumbai suburban, Maharashtra )",HKG::ICA_73 → HKG::ICA_74 → HKG::SRA_14 → HKG::SRA_16,HKG::ICA_73 → HKG::ICA_74 → HKG::SRA_14 → HKG::SRA_16 → HKG::employment_bond → HKG::wages → HKG::PROC_EMPLOYMENT_BOND → HKG::Indian Contract Act 1872,"Sir 
My father worked in a co-op housing society as a guard  from the last 9-10 years.
In august month my father was on approved leave with application . but 3-4 days late due to illnesses . so society is not ready to continue to keep him on job as before .
Housing society terminates my father without notice and the secretary is saying you're not eligible for any gratuity  notice salary .
How will I get the full and final amount from This housing society?( Mumbai, Maharashtra )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","I study in an engineering college and now I am in my second year going to start 3rd year in september my college has not given any holidays after semester end examinations and starts the new semester right the next day. This has happened for 4 continuous semesters now . In the academic calendar 1 month holiday is given but now they are going back on their words . Many of my classmates are depressed especially people from hostels who have not gone home.and I don't know what action to take ,pls tell me( Mysore, Karnataka )","Any unaccounted money being deposited to your bank account can cause trouble later on. There two aspects to it.1. If your employer is depositing money then tomorrow or later if the tax authorities check your bank account then they will charge with tax evasion as it will be considered as your income.2. Suppose the company is raided by tax authorities for tax evasion then you will also be considered as partner in crime for allowing your account to be used for it.So, need to be careful.","The company's request to deposit and then transfer money for ""taxation purposes"" is suspicious and could potentially involve illegal activities, such as money laundering. Under the Indian Contract Act, 1872, any contract or agreement that involves illegal activities is void. Employees should not comply with this request without further clarification and assurance of legality.

Employees should demand a written explanation from the company detailing the purpose and legality of this transaction. Additionally, consult with a financial or legal expert to ensure compliance with tax laws and avoid potential legal repercussions. If the company insists without providing a legitimate explanation, consider reporting the matter to the relevant labor authorities or seek legal counsel to protect your rights.",1.3991,57.5666,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
10,"Hi ,
I recently joined an MNC. Right from day two i started facing many challenges in terms of workplace 1) bullying and 2) discrimination. I realised when i would have a query, the answer  given was different from what others would be given in front of every one. People could say unfriendly things and this would not be stopped by the lead.
Secondly, at the time of salary negotiation i opted for a lesser package for lesser work load because i needed work for sustenance and not career. However, later they changed the work skill and put us all in a more engaging work. This change in work profile was never conveyed in writing. We have learned the salary would get changed because work profile has changed. However,  salary is still pending to be discussed.  It has been two months since we have joined. We are made to do a lot of OT.Further, people we granted leaves even during no leave period, where as i am not being granted leave even if i am planning it in advance.",HKG::FA_79 → HKG::ICA_73,HKG::FA_79 → HKG::ICA_73 → HKG::employment_bond → HKG::Factories Act 1948 → HKG::wages → HKG::Indian Contract Act 1872,"Namaste sir ,
I durgaprasad working as a grade 4 permanent govt employee in state government of andhrapradesh which is a non gazetted ... Sir iam b.tech graduate with good percentage and I cracked gate 2023 with 457 score ...I have a lot of chance in NIT college to pursue Mtech in my engineering stream ....
For that I asked my head of the department to permit to study.. and he said as per the cca and subordinate rules I have not permitted to study because  iam non gazetted post .. and also requested them to sanction loss of pay of my service for about 2year..for that they told me ,, u have no such option except the government allows to u to study with special G.O ,, that is a huge process and may not be my favour ...and now iam thinking to study my mtech and success in my career I would abscond from service without intimating them ...sir is it a good move?? Or else you please give suggestions how to study my mtech without losing my current govt job with loss of my pay ... Pls provide the suggestions..  is my contact number ..sir iam from poor family with big dreams to study and my job is very lower cadre even I have chances to go mtech my family problems strucking me  I don't want to loose my hard earned job for m tech and also I don't want to loose my hard earned prestigious Gate rank for IIT and NIts  for my low cadre job .I need both for safety purposes
Kindly provide best suggestion which is even favourable infront of courts also I mean as per legally correct one ..
Thank you sir and pls do needful( Srikakulam, Andhra Pradesh )","I study in an engineering college and now I am in my second year going to start 3rd year in september my college has not given any holidays after semester end examinations and starts the new semester right the next day. This has happened for 4 continuous semesters now . In the academic calendar 1 month holiday is given but now they are going back on their words . Many of my classmates are depressed especially people from hostels who have not gone home.and I don't know what action to take ,pls tell me( Mysore, Karnataka )","My father worked as driver in KPTCL on 1994  he worked 5 days only then he will not reported to duty because of    he is suffering from health issue and then one year back 29/05/2018 my father is died  so that  we are eligible for taking job from compassionate ground or not . my father no given to resignation letter to department( Shimoga, Karnataka )","You have to cope with the new environment initially, you also should know your own contribution to the management as everything is in record,better to avoid any antagonization, as regards salary & benefits you have to keep in record but not make an issue as you can claim any time,if need consult with a professional Employment & labour and Service matter expert lawyer to guide & help you quickly.","The primary legal issue here involves workplace discrimination and potential breach of employment contract. Under the Indian Contract Act, 1872, any change in work profile and conditions should be mutually agreed upon, and the employer cannot unilaterally alter the terms without consent. For workplace bullying and discrimination, the Industrial Employment (Standing Orders) Act, 1946, and the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, provide protection and mechanisms for redress.

You can file a formal complaint with your HR department detailing the instances of bullying and discrimination. Additionally, review your employment contract and any related documents to verify the terms of employment and approach your employer for a discussion about the change in work profile and pending salary adjustments. If these steps do not resolve the issue, consider filing a complaint with the labor commissioner or seeking legal redress for breach of contract and discrimination.",0.7811,40.8973,20.4737,4.2822,18.095,20.9223,3.5525,25.3113,5.5134,1.5993,1.0,25.5809,52.8961,53.4217,84.2664
