epoch,loss,train_reward,val_reward,lr,temperature
1,-0.011,0.1311,0.1761,9.99e-05,2.0
2,-0.0107,0.1393,0.1845,9.961e-05,1.98
3,-0.0098,0.1457,0.2092,9.912e-05,1.959
4,-0.0089,0.1614,0.2218,9.844e-05,1.939
5,-0.0093,0.1525,0.2007,9.758e-05,1.918
6,-0.0083,0.1583,0.219,9.652e-05,1.898
7,-0.0072,0.1567,0.2232,9.529e-05,1.878
8,-0.0066,0.1635,0.2303,9.388e-05,1.857
9,-0.0068,0.1688,0.212,9.229e-05,1.837
10,-0.0074,0.1653,0.2275,9.055e-05,1.816
11,-0.0065,0.1668,0.2373,8.864e-05,1.796
12,-0.0063,0.1686,0.2169,8.658e-05,1.776
13,-0.0059,0.1678,0.2176,8.439e-05,1.755
14,-0.0064,0.1633,0.2176,8.205e-05,1.735
15,-0.006,0.1652,0.2148,7.96e-05,1.714
16,-0.006,0.1648,0.2204,7.702e-05,1.694
17,-0.0055,0.1614,0.2197,7.435e-05,1.673
18,-0.0054,0.1665,0.2261,7.158e-05,1.653
19,-0.005,0.1663,0.2092,6.872e-05,1.633
20,-0.0046,0.1616,0.2324,6.58e-05,1.612
21,-0.0046,0.162,0.2282,6.281e-05,1.592
22,-0.0047,0.1665,0.2141,5.978e-05,1.571
23,-0.005,0.1656,0.2218,5.67e-05,1.551
24,-0.005,0.1625,0.2085,5.361e-05,1.531
25,-0.0051,0.1628,0.2162,5.05e-05,1.51
26,-0.0051,0.1629,0.1972,4.739e-05,1.49
27,-0.0053,0.1617,0.1937,4.43e-05,1.469
28,-0.0054,0.1603,0.2127,4.122e-05,1.449
29,-0.0052,0.1607,0.2282,3.819e-05,1.429
30,-0.0057,0.1653,0.2169,3.52e-05,1.408
31,-0.0052,0.1672,0.1986,3.228e-05,1.388
32,-0.0053,0.169,0.2063,2.942e-05,1.367
33,-0.0056,0.161,0.2035,2.665e-05,1.347
34,-0.0053,0.1654,0.2148,2.398e-05,1.327
35,-0.0056,0.1646,0.212,2.14e-05,1.306
36,-0.0054,0.1652,0.2035,1.895e-05,1.286
37,-0.0055,0.1678,0.2056,1.661e-05,1.265
38,-0.0056,0.1626,0.2056,1.442e-05,1.245
39,-0.0058,0.1682,0.2176,1.236e-05,1.224
40,-0.0056,0.1682,0.2183,1.045e-05,1.204
41,-0.0058,0.1622,0.2085,8.71e-06,1.184
42,-0.0059,0.1696,0.1986,7.12e-06,1.163
43,-0.0057,0.1667,0.1972,5.71e-06,1.143
44,-0.0057,0.1642,0.2127,4.48e-06,1.122
45,-0.0054,0.1621,0.2148,3.42e-06,1.102
46,-0.0057,0.1657,0.1923,2.56e-06,1.082
47,-0.0057,0.1647,0.2099,1.88e-06,1.061
48,-0.0064,0.1649,0.2085,1.39e-06,1.041
49,-0.0059,0.1671,0.1986,1.1e-06,1.02
50,-0.0055,0.1681,0.2056,1e-06,1.0
