epoch,train_loss,val_acc,lr
1,1.3267,0.9192,5e-05
2,1.1746,0.9842,0.0001
3,1.1493,0.9965,0.00015
4,1.1366,0.9965,0.0002
5,1.137,0.9965,0.00025
6,1.1321,0.9982,0.0003
7,1.1334,1.0,0.00029975
8,1.1313,0.9965,0.00029899
9,1.1307,0.9965,0.00029772
10,1.1294,0.9947,0.00029596
11,1.1396,0.9965,0.0002937
12,1.1327,0.9982,0.00029095
13,1.1299,1.0,0.00028773
14,1.1361,1.0,0.00028404
15,1.1315,1.0,0.0002799
16,1.1301,0.9982,0.00027532
17,1.1295,1.0,0.00027032
18,1.128,1.0,0.00026491
19,1.1317,1.0,0.00025911
20,1.1269,1.0,0.00025294
21,1.1388,0.9965,0.00024642
22,1.1361,0.9947,0.00023957
23,1.1311,0.9947,0.00023243
24,1.1304,0.9965,0.000225
25,1.1256,0.993,0.00021732
26,1.1266,0.9965,0.00020941
27,1.1302,0.9965,0.0002013
28,1.1286,1.0,0.00019302
29,1.1297,1.0,0.00018459
30,1.1292,1.0,0.00017605
31,1.1292,0.9982,0.00016741
32,1.1275,0.9982,0.00015872
33,1.1279,0.9982,0.00015
34,1.1253,0.9982,0.00014128
35,1.1289,0.9982,0.00013259
36,1.1274,0.9982,0.00012395
37,1.1297,0.9982,0.00011541
38,1.1294,0.9982,0.00010698
39,1.1254,0.9982,9.87e-05
40,1.1284,0.9982,9.059e-05
41,1.1253,1.0,8.268e-05
42,1.1241,1.0,7.5e-05
43,1.1206,1.0,6.757e-05
44,1.12,1.0,6.043e-05
45,1.1237,1.0,5.358e-05
46,1.1211,1.0,4.706e-05
47,1.1246,1.0,4.089e-05
48,1.1239,1.0,3.509e-05
49,1.1248,1.0,2.968e-05
50,1.1198,1.0,2.468e-05
51,1.1295,1.0,2.01e-05
52,1.1261,1.0,1.596e-05
53,1.1275,1.0,1.227e-05
54,1.1263,1.0,9.05e-06
55,1.1262,1.0,6.3e-06
56,1.1277,1.0,4.04e-06
57,1.1296,1.0,2.28e-06
58,1.1279,1.0,1.01e-06
59,1.1294,1.0,2.5e-07
60,1.129,1.0,0.0
