epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0114,0.1597,0.1549,9.99e-05,2.0
2,-0.011,0.1577,0.1549,9.961e-05,1.98
3,-0.0094,0.1672,0.1915,9.912e-05,1.959
4,-0.0089,0.1806,0.1775,9.844e-05,1.939
5,-0.0091,0.1863,0.1718,9.758e-05,1.918
6,-0.0078,0.1827,0.1908,9.652e-05,1.898
7,-0.0071,0.194,0.1887,9.529e-05,1.878
8,-0.0062,0.1891,0.2,9.388e-05,1.857
9,-0.006,0.1933,0.1986,9.229e-05,1.837
10,-0.0063,0.1902,0.1866,9.055e-05,1.816
11,-0.0054,0.1888,0.1915,8.864e-05,1.796
12,-0.0049,0.182,0.1958,8.658e-05,1.776
13,-0.0045,0.1887,0.1951,8.439e-05,1.755
14,-0.0043,0.1906,0.1986,8.205e-05,1.735
15,-0.0045,0.1874,0.2063,7.96e-05,1.714
16,-0.0044,0.187,0.1951,7.702e-05,1.694
17,-0.0045,0.1892,0.2092,7.435e-05,1.673
18,-0.0044,0.1909,0.1908,7.158e-05,1.653
19,-0.0044,0.1884,0.1951,6.872e-05,1.633
20,-0.0045,0.1896,0.2092,6.58e-05,1.612
21,-0.0048,0.1869,0.1972,6.281e-05,1.592
22,-0.0046,0.198,0.2204,5.978e-05,1.571
23,-0.0049,0.1967,0.1979,5.67e-05,1.551
24,-0.0051,0.1901,0.1859,5.361e-05,1.531
25,-0.0047,0.1896,0.2092,5.05e-05,1.51
26,-0.0047,0.1891,0.2106,4.739e-05,1.49
27,-0.0047,0.1923,0.2,4.43e-05,1.469
28,-0.0046,0.1952,0.2,4.122e-05,1.449
29,-0.0048,0.196,0.2183,3.819e-05,1.429
30,-0.0053,0.1989,0.212,3.52e-05,1.408
31,-0.0051,0.1916,0.212,3.228e-05,1.388
32,-0.0048,0.197,0.2141,2.942e-05,1.367
33,-0.0049,0.1963,0.2092,2.665e-05,1.347
34,-0.0051,0.1956,0.2232,2.398e-05,1.327
35,-0.0047,0.1941,0.2021,2.14e-05,1.306
36,-0.0047,0.1937,0.2183,1.895e-05,1.286
37,-0.0046,0.1901,0.1979,1.661e-05,1.265
38,-0.0049,0.1936,0.2092,1.442e-05,1.245
39,-0.0049,0.1958,0.193,1.236e-05,1.224
40,-0.0051,0.1937,0.2092,1.045e-05,1.204
41,-0.0048,0.1918,0.2,8.71e-06,1.184
42,-0.0049,0.2008,0.2092,7.12e-06,1.163
43,-0.0049,0.1936,0.1979,5.71e-06,1.143
44,-0.0047,0.1927,0.1972,4.48e-06,1.122
45,-0.0047,0.1927,0.2155,3.42e-06,1.102
46,-0.0048,0.1934,0.2042,2.56e-06,1.082
47,-0.0048,0.1915,0.2021,1.88e-06,1.061
48,-0.0055,0.1934,0.207,1.39e-06,1.041
49,-0.0048,0.1938,0.2021,1.1e-06,1.02
50,-0.0048,0.197,0.2049,1e-06,1.0
