node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::Employee Dismissed from Service,CaseFact,Employee Dismissed from Service,PC_Labour,pc,Employee Dismissed from Service,,,,,,,,
PC::Charge-sheet Issued for Misconduct,CaseFact,Charge-sheet Issued for Misconduct,PC_Labour,pc,Charge-sheet Issued for Misconduct,,,,,,,,
PC::Inquiry into Charges Delayed,CaseFact,Inquiry into Charges Delayed,PC_Labour,pc,Inquiry into Charges Delayed,,,,,,,,
PC::High Court Found Inquiry Cannot Continue,CaseFact,High Court Found Inquiry Cannot Continue,PC_Labour,pc,High Court Found Inquiry Cannot Continue,,,,,,,,
"PC::All India Services Discipline and Appeal Rules, 1969",LegalProvision,"All India Services Discipline and Appeal Rules, 1969",PC_Labour,pc,"All India Services Discipline and Appeal Rules, 1969",,,,,,,,
PC::Selection Process Extended Beyond Initial Deadline,CaseFact,Selection Process Extended Beyond Initial Deadline,PC_Labour,pc,Selection Process Extended Beyond Initial Deadline,,,,,,,,
PC::Recognition of Degrees Delayed,CaseFact,Recognition of Degrees Delayed,PC_Labour,pc,Recognition of Degrees Delayed,,,,,,,,
PC::Claim for Compensation Filed,CaseFact,Claim for Compensation Filed,PC_Labour,pc,Claim for Compensation Filed,,,,,,,,
PC::Delay in Receiving Compensation,CaseFact,Delay in Receiving Compensation,PC_Labour,pc,Delay in Receiving Compensation,,,,,,,,
PC::High Court Modified Compensation Award,CaseFact,High Court Modified Compensation Award,PC_Labour,pc,High Court Modified Compensation Award,,,,,,,,
PC::Legal Precedent Cited for Interest Calculation,CaseFact,Legal Precedent Cited for Interest Calculation,PC_Labour,pc,Legal Precedent Cited for Interest Calculation,,,,,,,,
PC::Workmen Represented by Selected Individuals,CaseFact,Workmen Represented by Selected Individuals,PC_Labour,pc,Workmen Represented by Selected Individuals,,,,,,,,
PC::Management Challenged Representation of Workmen,CaseFact,Management Challenged Representation of Workmen,PC_Labour,pc,Management Challenged Representation of Workmen,,,,,,,,
PC::Dispute Transferred to Industrial Tribunal,CaseFact,Dispute Transferred to Industrial Tribunal,PC_Labour,pc,Dispute Transferred to Industrial Tribunal,,,,,,,,
PC::High Court Allowed Workmen to Choose Representatives,CaseFact,High Court Allowed Workmen to Choose Representatives,PC_Labour,pc,High Court Allowed Workmen to Choose Representatives,,,,,,,,
PC::Workmen Agreed on Representation Method,CaseFact,Workmen Agreed on Representation Method,PC_Labour,pc,Workmen Agreed on Representation Method,,,,,,,,
PC::Rule 40 of U.P. Industrial Disputes Rules,LegalProvision,Rule 40 of U.P. Industrial Disputes Rules,PC_Labour,pc,Rule 40 of U.P. Industrial Disputes Rules,,,,,,,,
PC::High Court Struck Down Validation Act,LegalProvision,High Court Struck Down Validation Act,PC_Labour,pc,High Court Struck Down Validation Act,,,,,,,,
PC::Discrimination Among Ad Hoc Assistant Engineers,CaseFact,Discrimination Among Ad Hoc Assistant Engineers,PC_Labour,pc,Discrimination Among Ad Hoc Assistant Engineers,,,,,,,,
PC::Articles 14 and 16 of the Constitution,LegalProvision,Articles 14 and 16 of the Constitution,PC_Labour,pc,Articles 14 and 16 of the Constitution,,,,,,,,
PC::Part-time Employees Seeking Regularization,CaseFact,Part-time Employees Seeking Regularization,PC_Labour,pc,Part-time Employees Seeking Regularization,,,,,,,,
PC::High Court Allowed Regularization of Services,CaseFact,High Court Allowed Regularization of Services,PC_Labour,pc,High Court Allowed Regularization of Services,,,,,,,,
PC::Claim for Equal Treatment with Regular Employees,CaseFact,Claim for Equal Treatment with Regular Employees,PC_Labour,pc,Claim for Equal Treatment with Regular Employees,,,,,,,,
PC::Court Found No Right to Regularization for Part-time Employees,CaseFact,Court Found No Right to Regularization for Part-time Employees,PC_Labour,pc,Court Found No Right to Regularization for Part-time Employees,,,,,,,,
PC::Absorption of Employees as Junior Helpers,CaseFact,Absorption of Employees as Junior Helpers,PC_Labour,pc,Absorption of Employees as Junior Helpers,,,,,,,,
PC::High Court Directed Absorption of Employees,CaseFact,High Court Directed Absorption of Employees,PC_Labour,pc,High Court Directed Absorption of Employees,,,,,,,,
PC::Absorption as Marine Assistant Radio Operators Sought,CaseFact,Absorption as Marine Assistant Radio Operators Sought,PC_Labour,pc,Absorption as Marine Assistant Radio Operators Sought,,,,,,,,
PC::Operational Needs of Corporation Justified Non-creation of Posts,CaseFact,Operational Needs of Corporation Justified Non-creation of Posts,PC_Labour,pc,Operational Needs of Corporation Justified Non-creation of Posts,,,,,,,,
PC::Contempt Proceedings Initiated for Non-implementation,CaseFact,Contempt Proceedings Initiated for Non-implementation,PC_Labour,pc,Contempt Proceedings Initiated for Non-implementation,,,,,,,,
PC::Employee Challenged Suspension,CaseFact,Employee Challenged Suspension,PC_Labour,pc,Employee Challenged Suspension,,,,,,,,
PC::Suspension Quashed by Tribunal,CaseFact,Suspension Quashed by Tribunal,PC_Labour,pc,Suspension Quashed by Tribunal,,,,,,,,
PC::Petitioner Entitled to Back Wages,CaseFact,Petitioner Entitled to Back Wages,PC_Labour,pc,Petitioner Entitled to Back Wages,,,,,,,,
PC::Promotion Consideration Disputed,CaseFact,Promotion Consideration Disputed,PC_Labour,pc,Promotion Consideration Disputed,,,,,,,,
PC::Petitioner Reinstated in Service,CaseFact,Petitioner Reinstated in Service,PC_Labour,pc,Petitioner Reinstated in Service,,,,,,,,
PC::Employees Opted for Voluntary Retirement,CaseFact,Employees Opted for Voluntary Retirement,PC_Labour,pc,Employees Opted for Voluntary Retirement,,,,,,,,
PC::Claim for Pension Under Pension Scheme,CaseFact,Claim for Pension Under Pension Scheme,PC_Labour,pc,Claim for Pension Under Pension Scheme,,,,,,,,
PC::High Court Found Employees Entitled to Pension,CaseFact,High Court Found Employees Entitled to Pension,PC_Labour,pc,High Court Found Employees Entitled to Pension,,,,,,,,
PC::Eligibility Criteria for Pension Stipulated,CaseFact,Eligibility Criteria for Pension Stipulated,PC_Labour,pc,Eligibility Criteria for Pension Stipulated,,,,,,,,
PC::Minimum Service Requirement for Pension Established,CaseFact,Minimum Service Requirement for Pension Established,PC_Labour,pc,Minimum Service Requirement for Pension Established,,,,,,,,
PC::Para 14 of the Pension Scheme 1995,CaseFact,Para 14 of the Pension Scheme 1995,PC_Labour,pc,Para 14 of the Pension Scheme 1995,,,,,,,,
PC::Para 6 of SVRS of 2004,CaseFact,Para 6 of SVRS of 2004,PC_Labour,pc,Para 6 of SVRS of 2004,,,,,,,,
PC::Ad Hoc Appointments Made for Administrative Work,CaseFact,Ad Hoc Appointments Made for Administrative Work,PC_Labour,pc,Ad Hoc Appointments Made for Administrative Work,,,,,,,,
PC::Employees Regularized After Passing Test,CaseFact,Employees Regularized After Passing Test,PC_Labour,pc,Employees Regularized After Passing Test,,,,,,,,
PC::Writ Petitions Filed Challenging Increment Denial,CaseFact,Writ Petitions Filed Challenging Increment Denial,PC_Labour,pc,Writ Petitions Filed Challenging Increment Denial,,,,,,,,
PC::Court Found Employees Entitled to Increments,CaseFact,Court Found Employees Entitled to Increments,PC_Labour,pc,Court Found Employees Entitled to Increments,,,,,,,,
