epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0108,0.1336,0.1225,9.99e-05,2.0
2,-0.0094,0.1273,0.1444,9.961e-05,1.98
3,-0.0084,0.1265,0.1472,9.912e-05,1.959
4,-0.0078,0.1347,0.1458,9.844e-05,1.939
5,-0.0085,0.1281,0.1479,9.758e-05,1.918
6,-0.0074,0.1319,0.1514,9.652e-05,1.898
7,-0.0069,0.1308,0.1479,9.529e-05,1.878
8,-0.0063,0.1294,0.1472,9.388e-05,1.857
9,-0.0064,0.124,0.1437,9.229e-05,1.837
10,-0.0067,0.1286,0.1338,9.055e-05,1.816
11,-0.0062,0.1324,0.1387,8.864e-05,1.796
12,-0.0055,0.123,0.1655,8.658e-05,1.776
13,-0.0049,0.1238,0.1401,8.439e-05,1.755
14,-0.0046,0.122,0.1514,8.205e-05,1.735
15,-0.0047,0.1249,0.1472,7.96e-05,1.714
16,-0.0046,0.123,0.1493,7.702e-05,1.694
17,-0.0045,0.1201,0.1514,7.435e-05,1.673
18,-0.0047,0.1212,0.1408,7.158e-05,1.653
19,-0.0043,0.1225,0.1401,6.872e-05,1.633
20,-0.0044,0.1211,0.1465,6.58e-05,1.612
21,-0.0042,0.1258,0.1444,6.281e-05,1.592
22,-0.0045,0.1285,0.1401,5.978e-05,1.571
23,-0.0045,0.1226,0.1401,5.67e-05,1.551
24,-0.005,0.1258,0.1444,5.361e-05,1.531
25,-0.0047,0.1207,0.1465,5.05e-05,1.51
26,-0.0045,0.1184,0.1535,4.739e-05,1.49
27,-0.0047,0.119,0.1465,4.43e-05,1.469
28,-0.0048,0.1193,0.1514,4.122e-05,1.449
29,-0.0048,0.12,0.1556,3.819e-05,1.429
30,-0.0049,0.121,0.1493,3.52e-05,1.408
31,-0.0045,0.1215,0.1373,3.228e-05,1.388
32,-0.0044,0.1287,0.1627,2.942e-05,1.367
33,-0.0045,0.1272,0.1408,2.665e-05,1.347
34,-0.0047,0.1242,0.138,2.398e-05,1.327
35,-0.0046,0.1233,0.1465,2.14e-05,1.306
36,-0.0045,0.1223,0.1486,1.895e-05,1.286
37,-0.0048,0.1276,0.1493,1.661e-05,1.265
38,-0.0049,0.1247,0.15,1.442e-05,1.245
39,-0.005,0.1224,0.1514,1.236e-05,1.224
40,-0.0047,0.1274,0.15,1.045e-05,1.204
41,-0.0048,0.1263,0.1282,8.71e-06,1.184
42,-0.0047,0.1277,0.1423,7.12e-06,1.163
43,-0.0048,0.1284,0.1423,5.71e-06,1.143
44,-0.0048,0.1286,0.1472,4.48e-06,1.122
45,-0.0046,0.126,0.1535,3.42e-06,1.102
46,-0.0047,0.1287,0.1401,2.56e-06,1.082
47,-0.0046,0.1306,0.143,1.88e-06,1.061
48,-0.0054,0.1294,0.1387,1.39e-06,1.041
49,-0.0047,0.1276,0.1507,1.1e-06,1.02
50,-0.0047,0.1283,0.1338,1e-06,1.0
