node_id,type,label,source_graph,level,original_id,text,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
PC::Selection Procedure Challenged,CaseFact,Selection Procedure Challenged,PC_Criminal,pc,Selection Procedure Challenged,,,,,,,,
PC::Natural Justice Principles Violated,CaseFact,Natural Justice Principles Violated,PC_Criminal,pc,Natural Justice Principles Violated,,,,,,,,
PC::Writ Petition Defective Due to Non-joinder,CaseFact,Writ Petition Defective Due to Non-joinder,PC_Criminal,pc,Writ Petition Defective Due to Non-joinder,,,,,,,,
PC::Article 14 of the Constitution of India,LegalProvision,Article 14 of the Constitution of India,PC_Criminal,pc,Article 14 of the Constitution of India,,,,,,,,
PC::Article 16(1) of the Constitution of India,LegalProvision,Article 16(1) of the Constitution of India,PC_Criminal,pc,Article 16(1) of the Constitution of India,,,,,,,,
PC::Search Procedure Challenged,CaseFact,Search Procedure Challenged,PC_Criminal,pc,Search Procedure Challenged,,,,,,,,
PC::Joint Communication of Rights Found Insufficient,CaseFact,Joint Communication of Rights Found Insufficient,PC_Criminal,pc,Joint Communication of Rights Found Insufficient,,,,,,,,
PC::Conviction Based on Bag Search,CaseFact,Conviction Based on Bag Search,PC_Criminal,pc,Conviction Based on Bag Search,,,,,,,,
PC::Section 50 of the NDPS Act,LegalProvision,Section 50 of the NDPS Act,PC_Criminal,pc,Section 50 of the NDPS Act,,,,,,,,
PC::Arbitration Agreement Clauses Analyzed,LegalProvision,Arbitration Agreement Clauses Analyzed,PC_Criminal,pc,Arbitration Agreement Clauses Analyzed,,,,,,,,
PC::Appellant Participated in Arbitration Proceedings,CaseFact,Appellant Participated in Arbitration Proceedings,PC_Criminal,pc,Appellant Participated in Arbitration Proceedings,,,,,,,,
PC::Jurisdiction Objection Waived by Appellant,CaseFact,Jurisdiction Objection Waived by Appellant,PC_Criminal,pc,Jurisdiction Objection Waived by Appellant,,,,,,,,
"PC::Section 4 of the Arbitration and Conciliation Act, 1996",LegalProvision,"Section 4 of the Arbitration and Conciliation Act, 1996",PC_Criminal,pc,"Section 4 of the Arbitration and Conciliation Act, 1996",,,,,,,,
"PC::Section 16 of the Arbitration and Conciliation Act, 1996",LegalProvision,"Section 16 of the Arbitration and Conciliation Act, 1996",PC_Criminal,pc,"Section 16 of the Arbitration and Conciliation Act, 1996",,,,,,,,
PC::Complaint Case Filed Against Accused,CaseFact,Complaint Case Filed Against Accused,PC_Criminal,pc,Complaint Case Filed Against Accused,,,,,,,,
PC::High Court Set Aside Clubbing of Cases,CaseFact,High Court Set Aside Clubbing of Cases,PC_Criminal,pc,High Court Set Aside Clubbing of Cases,,,,,,,,
PC::Learned Magistrate Refused Process Against Appellants,CaseFact,Learned Magistrate Refused Process Against Appellants,PC_Criminal,pc,Learned Magistrate Refused Process Against Appellants,,,,,,,,
PC::High Court Directed Commitment to Sessions Court,CaseFact,High Court Directed Commitment to Sessions Court,PC_Criminal,pc,High Court Directed Commitment to Sessions Court,,,,,,,,
PC::Order Issued Without Jurisdiction,LegalProvision,Order Issued Without Jurisdiction,PC_Criminal,pc,Order Issued Without Jurisdiction,,,,,,,,
PC::Trial Court Directed to Proceed Expeditiously,CaseFact,Trial Court Directed to Proceed Expeditiously,PC_Criminal,pc,Trial Court Directed to Proceed Expeditiously,,,,,,,,
PC::Appellants Convicted for Murder,CaseFact,Appellants Convicted for Murder,PC_Criminal,pc,Appellants Convicted for Murder,,,,,,,,
PC::No Individual Role Ascribed to Appellants,CaseFact,No Individual Role Ascribed to Appellants,PC_Criminal,pc,No Individual Role Ascribed to Appellants,,,,,,,,
PC::Trivial Incident Led to Murder,CaseFact,Trivial Incident Led to Murder,PC_Criminal,pc,Trivial Incident Led to Murder,,,,,,,,
PC::Community Background Considered in Sentencing,CaseFact,Community Background Considered in Sentencing,PC_Criminal,pc,Community Background Considered in Sentencing,,,,,,,,
PC::Prosecution Witnesses Supported Case,CaseFact,Prosecution Witnesses Supported Case,PC_Criminal,pc,Prosecution Witnesses Supported Case,,,,,,,,
PC::Assault Resulted in Death of Deceased,CaseFact,Assault Resulted in Death of Deceased,PC_Criminal,pc,Assault Resulted in Death of Deceased,,,,,,,,
PC::Section 302 of the IPC,LegalProvision,Section 302 of the IPC,PC_Criminal,pc,Section 302 of the IPC,,,,,,,,
PC::Section 304 Part II of the IPC,LegalProvision,Section 304 Part II of the IPC,PC_Criminal,pc,Section 304 Part II of the IPC,,,,,,,,
PC::Accused Residing Beyond Jurisdiction,CaseFact,Accused Residing Beyond Jurisdiction,PC_Criminal,pc,Accused Residing Beyond Jurisdiction,,,,,,,,
PC::Inquiry Under Section 202 CrPC Mandatory,LegalProvision,Inquiry Under Section 202 CrPC Mandatory,PC_Criminal,pc,Inquiry Under Section 202 CrPC Mandatory,,,,,,,,
PC::Summons Issued Without Inquiry,CaseFact,Summons Issued Without Inquiry,PC_Criminal,pc,Summons Issued Without Inquiry,,,,,,,,
PC::Complaint Filed Against Accused,CaseFact,Complaint Filed Against Accused,PC_Criminal,pc,Complaint Filed Against Accused,,,,,,,,
PC::Appellant Convicted for Grievous Hurt,CaseFact,Appellant Convicted for Grievous Hurt,PC_Criminal,pc,Appellant Convicted for Grievous Hurt,,,,,,,,
PC::Settlement Between Parties Confirmed,CaseFact,Settlement Between Parties Confirmed,PC_Criminal,pc,Settlement Between Parties Confirmed,,,,,,,,
PC::Evidence of Weapon Used Disputed,CaseFact,Evidence of Weapon Used Disputed,PC_Criminal,pc,Evidence of Weapon Used Disputed,,,,,,,,
PC::Conviction Converted to Lesser Offence,CaseFact,Conviction Converted to Lesser Offence,PC_Criminal,pc,Conviction Converted to Lesser Offence,,,,,,,,
PC::Section 325 of the IPC,LegalProvision,Section 325 of the IPC,PC_Criminal,pc,Section 325 of the IPC,,,,,,,,
PC::Section 320 of the Code of Criminal Procedure,LegalProvision,Section 320 of the Code of Criminal Procedure,PC_Criminal,pc,Section 320 of the Code of Criminal Procedure,,,,,,,,
PC::Article 142 of the Constitution of India,LegalProvision,Article 142 of the Constitution of India,PC_Criminal,pc,Article 142 of the Constitution of India,,,,,,,,
PC::Appellant Convicted for Contempt,CaseFact,Appellant Convicted for Contempt,PC_Criminal,pc,Appellant Convicted for Contempt,,,,,,,,
PC::Appellant Tendered Unconditional Apology,CaseFact,Appellant Tendered Unconditional Apology,PC_Criminal,pc,Appellant Tendered Unconditional Apology,,,,,,,,
PC::Serious Allegations Against Judges,CaseFact,Serious Allegations Against Judges,PC_Criminal,pc,Serious Allegations Against Judges,,,,,,,,
PC::Fine Imposed Exceeds Statutory Limit,CaseFact,Fine Imposed Exceeds Statutory Limit,PC_Criminal,pc,Fine Imposed Exceeds Statutory Limit,,,,,,,,
"PC::Section 12 of the Contempt of Courts Act, 1971",LegalProvision,"Section 12 of the Contempt of Courts Act, 1971",PC_Criminal,pc,"Section 12 of the Contempt of Courts Act, 1971",,,,,,,,
PC::Claimants Filed for Compensation,CaseFact,Claimants Filed for Compensation,PC_Criminal,pc,Claimants Filed for Compensation,,,,,,,,
PC::Deceased Died in Road Accident,CaseFact,Deceased Died in Road Accident,PC_Criminal,pc,Deceased Died in Road Accident,,,,,,,,
PC::High Court Reduced Compensation Amount,CaseFact,High Court Reduced Compensation Amount,PC_Criminal,pc,High Court Reduced Compensation Amount,,,,,,,,
PC::Potential Earning Capacity of Deceased Considered,CaseFact,Potential Earning Capacity of Deceased Considered,PC_Criminal,pc,Potential Earning Capacity of Deceased Considered,,,,,,,,
PC::Future Prospects of Deceased Ignored by High Court,CaseFact,Future Prospects of Deceased Ignored by High Court,PC_Criminal,pc,Future Prospects of Deceased Ignored by High Court,,,,,,,,
PC::Contempt Petition Filed for Disobedience,CaseFact,Contempt Petition Filed for Disobedience,PC_Criminal,pc,Contempt Petition Filed for Disobedience,,,,,,,,
PC::High Court Issued Directions to Union of India,CaseFact,High Court Issued Directions to Union of India,PC_Criminal,pc,High Court Issued Directions to Union of India,,,,,,,,
PC::Civil Appeal Dismissed by Supreme Court,CaseFact,Civil Appeal Dismissed by Supreme Court,PC_Criminal,pc,Civil Appeal Dismissed by Supreme Court,,,,,,,,
PC::Petitioner Claims Willful Disobedience of Court Orders,CaseFact,Petitioner Claims Willful Disobedience of Court Orders,PC_Criminal,pc,Petitioner Claims Willful Disobedience of Court Orders,,,,,,,,
PC::Article 129 of the Constitution of India,LegalProvision,Article 129 of the Constitution of India,PC_Criminal,pc,Article 129 of the Constitution of India,,,,,,,,
PC::Jurisdiction of Supreme Court to Entertain Petition Discussed,CaseFact,Jurisdiction of Supreme Court to Entertain Petition Discussed,PC_Criminal,pc,Jurisdiction of Supreme Court to Entertain Petition Discussed,,,,,,,,
PC::Accused Convicted for Bribery,CaseFact,Accused Convicted for Bribery,PC_Criminal,pc,Accused Convicted for Bribery,,,,,,,,
PC::Long Delay in Legal Proceedings Considered,CaseFact,Long Delay in Legal Proceedings Considered,PC_Criminal,pc,Long Delay in Legal Proceedings Considered,,,,,,,,
