source,target,attributes
PC::Selection Procedure Challenged,PC::Natural Justice Principles Violated,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Selection Procedure Challenged,HKG::EC_RULES_17,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Selection Procedure Challenged,HKG::LIM_118,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Selection Procedure Challenged,HKG::SOC_REG_22,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Natural Justice Principles Violated,"PC::Section 55 of the Gold Control Act, 1968","{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Natural Justice Principles Violated,HKG::MEPS_27,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Writ Petition Defective Due to Non-joinder,PC::Natural Justice Principles Violated,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Writ Petition Defective Due to Non-joinder,PC::Article 14 of the Constitution of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Writ Petition Defective Due to Non-joinder,PC::Article 16(1) of the Constitution of India,"{'type': 'Complies With', 'source_graph': 'PC_Criminal'}"
PC::Search Procedure Challenged,PC::Joint Communication of Rights Found Insufficient,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Search Procedure Challenged,HKG::EC_RULES_17,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Search Procedure Challenged,HKG::LIM_118,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Search Procedure Challenged,HKG::SOC_REG_22,"{'type': 'REFERENCES_STATUTE', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Joint Communication of Rights Found Insufficient,PC::Conviction Based on Bag Search,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Conviction Based on Bag Search,PC::Section 50 of the NDPS Act,"{'type': 'Violates', 'source_graph': 'PC_Criminal'}"
PC::Arbitration Agreement Clauses Analyzed,PC::Appellant Participated in Arbitration Proceedings,"{'type': 'Depends On', 'source_graph': 'PC_Criminal'}"
PC::Arbitration Agreement Clauses Analyzed,HKG::EC_RULES_75,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Arbitration Agreement Clauses Analyzed,HKG::FIN_A_39,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
PC::Arbitration Agreement Clauses Analyzed,HKG::FIN_A_40,"{'type': 'SAME_PROVISION', 'source_graph': 'BRIDGE', 'weight': 1.0, 'via': 'direct_match'}"
