epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0085,0.0784,0.0721,9.99e-05,2.0
2,-0.0081,0.0894,0.074,9.961e-05,1.98
3,-0.0076,0.0847,0.0846,9.912e-05,1.959
4,-0.0074,0.088,0.0808,9.844e-05,1.939
5,-0.007,0.0865,0.0731,9.758e-05,1.918
6,-0.0066,0.0858,0.074,9.652e-05,1.898
7,-0.0065,0.0916,0.0837,9.529e-05,1.878
8,-0.0066,0.0984,0.0923,9.388e-05,1.857
9,-0.0065,0.0888,0.0933,9.229e-05,1.837
10,-0.0063,0.089,0.0875,9.055e-05,1.816
11,-0.0063,0.0892,0.1,8.864e-05,1.796
12,-0.0061,0.0968,0.0894,8.658e-05,1.776
13,-0.0059,0.0979,0.0933,8.439e-05,1.755
14,-0.0057,0.0942,0.0962,8.205e-05,1.735
15,-0.0057,0.0963,0.0865,7.96e-05,1.714
16,-0.0056,0.0996,0.075,7.702e-05,1.694
17,-0.0056,0.111,0.0808,7.435e-05,1.673
18,-0.0056,0.088,0.0865,7.158e-05,1.653
19,-0.0053,0.1046,0.0865,6.872e-05,1.633
20,-0.0053,0.1005,0.1,6.58e-05,1.612
21,-0.0052,0.1004,0.0769,6.281e-05,1.592
22,-0.0052,0.0949,0.0644,5.978e-05,1.571
23,-0.0052,0.1014,0.0644,5.67e-05,1.551
24,-0.0053,0.1005,0.0875,5.361e-05,1.531
25,-0.0052,0.0989,0.1019,5.05e-05,1.51
26,-0.0054,0.1036,0.0875,4.739e-05,1.49
27,-0.0053,0.0967,0.0769,4.43e-05,1.469
28,-0.0053,0.0946,0.0769,4.122e-05,1.449
29,-0.0052,0.1118,0.0712,3.819e-05,1.429
30,-0.0052,0.106,0.0817,3.52e-05,1.408
31,-0.0053,0.1044,0.0933,3.228e-05,1.388
32,-0.0053,0.1033,0.0798,2.942e-05,1.367
33,-0.0055,0.0974,0.0683,2.665e-05,1.347
34,-0.0055,0.098,0.0837,2.398e-05,1.327
35,-0.0057,0.1072,0.0683,2.14e-05,1.306
36,-0.0056,0.1062,0.0683,1.895e-05,1.286
37,-0.0056,0.0993,0.0644,1.661e-05,1.265
38,-0.0056,0.107,0.0769,1.442e-05,1.245
39,-0.0056,0.1044,0.0625,1.236e-05,1.224
40,-0.0056,0.1066,0.0644,1.045e-05,1.204
41,-0.0057,0.1102,0.0644,8.71e-06,1.184
42,-0.0057,0.0993,0.0702,7.12e-06,1.163
43,-0.0056,0.1048,0.0808,5.71e-06,1.143
44,-0.0057,0.1087,0.0683,4.48e-06,1.122
45,-0.0056,0.1077,0.0683,3.42e-06,1.102
46,-0.0057,0.1049,0.074,2.56e-06,1.082
47,-0.0056,0.1009,0.0731,1.88e-06,1.061
48,-0.0057,0.103,0.0769,1.39e-06,1.041
49,-0.0055,0.1073,0.0712,1.1e-06,1.02
50,-0.0055,0.1011,0.0654,1e-06,1.0
