epoch,train_loss,val_acc,lr
1,1.3421,0.9329,4.828e-05
2,1.1802,0.9712,9.655e-05
3,1.1551,0.9856,0.00014483
4,1.1475,0.9928,0.0001931
5,1.144,0.9976,0.00024138
6,1.142,0.9976,0.00028966
7,1.1418,1.0,0.00029985
8,1.1387,1.0,0.00029925
9,1.1389,0.9976,0.00029817
10,1.1406,0.9976,0.00029662
11,1.1398,0.9976,0.00029461
12,1.1391,0.9976,0.00029215
13,1.1382,0.9976,0.00028923
14,1.1406,0.9976,0.00028588
15,1.1399,0.9952,0.0002821
16,1.1421,0.9952,0.0002779
17,1.1365,0.9976,0.0002733
18,1.1378,0.9952,0.00026831
19,1.1376,0.9952,0.00026295
20,1.1383,0.9976,0.00025723
21,1.1439,1.0,0.00025117
22,1.1403,1.0,0.0002448
23,1.1406,1.0,0.00023812
24,1.1405,1.0,0.00023117
25,1.1384,1.0,0.00022396
26,1.1392,1.0,0.00021651
27,1.1384,1.0,0.00020886
28,1.14,1.0,0.00020102
29,1.1399,1.0,0.00019302
30,1.1408,1.0,0.00018489
31,1.1438,0.9976,0.00017664
32,1.1396,0.9976,0.00016831
33,1.1373,0.9976,0.00015992
34,1.1375,0.9976,0.0001515
35,1.1389,0.9976,0.00014308
36,1.1391,0.9976,0.00013468
37,1.1385,0.9976,0.00012633
38,1.1385,0.9976,0.00011805
39,1.1384,0.9976,0.00010987
40,1.138,0.9976,0.00010182
41,1.1437,0.9976,9.392e-05
42,1.1381,1.0,8.62e-05
43,1.1396,1.0,7.868e-05
44,1.1403,1.0,7.138e-05
45,1.1401,1.0,6.433e-05
46,1.1389,1.0,5.756e-05
47,1.1391,1.0,5.107e-05
48,1.1397,1.0,4.49e-05
49,1.1406,1.0,3.905e-05
50,1.1369,1.0,3.356e-05
51,1.1413,1.0,2.844e-05
52,1.1426,1.0,2.369e-05
53,1.1405,1.0,1.935e-05
54,1.1388,1.0,1.542e-05
55,1.1421,1.0,1.191e-05
56,1.1396,1.0,8.84e-06
57,1.1413,1.0,6.22e-06
58,1.1407,1.0,4.04e-06
59,1.1413,1.0,2.33e-06
60,1.1425,1.0,1.09e-06
