epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0085,0.0763,0.0529,9.99e-05,2.0
2,-0.0083,0.0846,0.0625,9.961e-05,1.98
3,-0.008,0.0773,0.0481,9.912e-05,1.959
4,-0.0078,0.0792,0.05,9.844e-05,1.939
5,-0.0076,0.0806,0.0606,9.758e-05,1.918
6,-0.0072,0.0848,0.051,9.652e-05,1.898
7,-0.0067,0.0881,0.051,9.529e-05,1.878
8,-0.0067,0.0869,0.0481,9.388e-05,1.857
9,-0.0068,0.084,0.0644,9.229e-05,1.837
10,-0.0065,0.0833,0.0712,9.055e-05,1.816
11,-0.0063,0.0845,0.0577,8.864e-05,1.796
12,-0.006,0.0848,0.0606,8.658e-05,1.776
13,-0.0058,0.0894,0.0615,8.439e-05,1.755
14,-0.0056,0.0918,0.0712,8.205e-05,1.735
15,-0.0056,0.0981,0.0644,7.96e-05,1.714
16,-0.0056,0.089,0.051,7.702e-05,1.694
17,-0.0055,0.0897,0.0375,7.435e-05,1.673
18,-0.0053,0.0879,0.0673,7.158e-05,1.653
19,-0.0051,0.0885,0.0577,6.872e-05,1.633
20,-0.0051,0.0891,0.0413,6.58e-05,1.612
21,-0.0051,0.0986,0.0596,6.281e-05,1.592
22,-0.0052,0.0901,0.051,5.978e-05,1.571
23,-0.005,0.0914,0.0683,5.67e-05,1.551
24,-0.0049,0.0993,0.0375,5.361e-05,1.531
25,-0.0048,0.0897,0.0625,5.05e-05,1.51
26,-0.005,0.0982,0.0442,4.739e-05,1.49
27,-0.0048,0.094,0.051,4.43e-05,1.469
28,-0.0048,0.0921,0.0529,4.122e-05,1.449
29,-0.0048,0.096,0.051,3.819e-05,1.429
30,-0.0049,0.0981,0.0538,3.52e-05,1.408
31,-0.0049,0.0956,0.0442,3.228e-05,1.388
32,-0.0048,0.0989,0.0413,2.942e-05,1.367
33,-0.0049,0.0966,0.051,2.665e-05,1.347
34,-0.0049,0.1001,0.0548,2.398e-05,1.327
35,-0.005,0.0944,0.0721,2.14e-05,1.306
36,-0.0051,0.0974,0.0567,1.895e-05,1.286
37,-0.0051,0.0951,0.0471,1.661e-05,1.265
38,-0.0051,0.1029,0.05,1.442e-05,1.245
39,-0.005,0.1007,0.0548,1.236e-05,1.224
40,-0.0051,0.096,0.0442,1.045e-05,1.204
41,-0.0051,0.0965,0.0346,8.71e-06,1.184
42,-0.0051,0.0991,0.0452,7.12e-06,1.163
43,-0.0051,0.1064,0.0567,5.71e-06,1.143
44,-0.0052,0.0968,0.0375,4.48e-06,1.122
45,-0.0052,0.0963,0.0452,3.42e-06,1.102
46,-0.0053,0.0974,0.051,2.56e-06,1.082
47,-0.0052,0.0973,0.049,1.88e-06,1.061
48,-0.0052,0.0974,0.0375,1.39e-06,1.041
49,-0.0051,0.0996,0.0471,1.1e-06,1.02
50,-0.0051,0.0998,0.0625,1e-06,1.0
