epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0085,0.1608,0.1286,9.99e-05,2.0
2,-0.0077,0.1624,0.1411,9.961e-05,1.98
3,-0.0073,0.1633,0.1643,9.912e-05,1.959
4,-0.0069,0.17,0.1679,9.844e-05,1.939
5,-0.0063,0.1698,0.167,9.758e-05,1.918
6,-0.0061,0.1707,0.1643,9.652e-05,1.898
7,-0.006,0.1575,0.1196,9.529e-05,1.878
8,-0.0059,0.1623,0.1438,9.388e-05,1.857
9,-0.0057,0.1573,0.1411,9.229e-05,1.837
10,-0.0054,0.1647,0.1527,9.055e-05,1.816
11,-0.0054,0.173,0.1714,8.864e-05,1.796
12,-0.0053,0.1627,0.1563,8.658e-05,1.776
13,-0.005,0.1653,0.1491,8.439e-05,1.755
14,-0.005,0.1583,0.1348,8.205e-05,1.735
15,-0.0051,0.1627,0.1348,7.96e-05,1.714
16,-0.0051,0.1582,0.1384,7.702e-05,1.694
17,-0.0051,0.1579,0.1295,7.435e-05,1.673
18,-0.005,0.1612,0.1616,7.158e-05,1.653
19,-0.0048,0.1563,0.1259,6.872e-05,1.633
20,-0.0046,0.1543,0.1563,6.58e-05,1.612
21,-0.0044,0.155,0.15,6.281e-05,1.592
22,-0.0044,0.1538,0.1527,5.978e-05,1.571
23,-0.0044,0.1586,0.1464,5.67e-05,1.551
24,-0.0045,0.1484,0.1491,5.361e-05,1.531
25,-0.0045,0.1563,0.1438,5.05e-05,1.51
26,-0.0045,0.1596,0.1464,4.739e-05,1.49
27,-0.0045,0.1606,0.1554,4.43e-05,1.469
28,-0.0043,0.15,0.1375,4.122e-05,1.449
29,-0.0043,0.1562,0.1384,3.819e-05,1.429
30,-0.0044,0.1532,0.158,3.52e-05,1.408
31,-0.0044,0.162,0.1402,3.228e-05,1.388
32,-0.0044,0.1534,0.1491,2.942e-05,1.367
33,-0.0043,0.1625,0.1643,2.665e-05,1.347
34,-0.0043,0.1537,0.1491,2.398e-05,1.327
35,-0.0043,0.1484,0.1554,2.14e-05,1.306
36,-0.0042,0.1518,0.1464,1.895e-05,1.286
37,-0.0043,0.145,0.1527,1.661e-05,1.265
38,-0.0043,0.1536,0.1464,1.442e-05,1.245
39,-0.0043,0.1496,0.158,1.236e-05,1.224
40,-0.0044,0.1448,0.15,1.045e-05,1.204
41,-0.0043,0.1534,0.1527,8.71e-06,1.184
42,-0.0043,0.1489,0.1402,7.12e-06,1.163
43,-0.0043,0.1453,0.1554,5.71e-06,1.143
44,-0.0043,0.1483,0.1464,4.48e-06,1.122
45,-0.0044,0.1469,0.1554,3.42e-06,1.102
46,-0.0043,0.1468,0.1438,2.56e-06,1.082
47,-0.0044,0.1482,0.1696,1.88e-06,1.061
48,-0.0043,0.1435,0.1554,1.39e-06,1.041
49,-0.0043,0.1522,0.1527,1.1e-06,1.02
50,-0.0044,0.1549,0.1616,1e-06,1.0
