epoch,train_loss,val_acc,lr
1,1.3425,0.9263,4.787e-05
2,1.1893,0.971,9.574e-05
3,1.1571,0.9933,0.00014362
4,1.1421,1.0,0.00019149
5,1.139,1.0,0.00023936
6,1.1376,1.0,0.00028723
7,1.1381,1.0,0.00029988
8,1.1379,1.0,0.00029931
9,1.1371,1.0,0.00029829
10,1.137,1.0,0.00029681
11,1.138,1.0,0.00029488
12,1.14,1.0,0.0002925
13,1.1381,1.0,0.00028969
14,1.1379,1.0,0.00028646
15,1.1366,0.9978,0.0002828
16,1.1383,1.0,0.00027873
17,1.1372,1.0,0.00027428
18,1.1372,0.9978,0.00026944
19,1.1375,1.0,0.00026423
20,1.1361,1.0,0.00025868
21,1.1395,0.9978,0.00025279
22,1.1378,0.9978,0.00024658
23,1.1363,0.9978,0.00024008
24,1.1358,0.9978,0.00023331
25,1.1361,0.9978,0.00022628
26,1.1387,0.9978,0.00021901
27,1.1363,0.9955,0.00021153
28,1.1376,0.9978,0.00020387
29,1.1352,0.9978,0.00019604
30,1.1354,1.0,0.00018806
31,1.1368,0.9978,0.00017998
32,1.1359,1.0,0.0001718
33,1.1358,1.0,0.00016355
34,1.1357,0.9978,0.00015526
35,1.1365,1.0,0.00014695
36,1.1344,1.0,0.00013866
37,1.135,1.0,0.0001304
38,1.1352,1.0,0.0001222
39,1.1363,1.0,0.00011408
40,1.1346,1.0,0.00010608
41,1.137,1.0,9.821e-05
42,1.1371,1.0,9.049e-05
43,1.1369,1.0,8.296e-05
44,1.1371,1.0,7.564e-05
45,1.1369,1.0,6.854e-05
46,1.137,1.0,6.17e-05
47,1.1367,1.0,5.512e-05
48,1.1366,1.0,4.884e-05
49,1.1368,1.0,4.286e-05
50,1.1369,1.0,3.722e-05
51,1.1352,1.0,3.192e-05
52,1.1343,1.0,2.698e-05
53,1.1327,1.0,2.242e-05
54,1.1338,1.0,1.825e-05
55,1.1318,1.0,1.448e-05
56,1.1326,1.0,1.113e-05
57,1.1318,1.0,8.2e-06
58,1.1321,1.0,5.71e-06
59,1.1324,1.0,3.66e-06
60,1.133,1.0,2.07e-06
