epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0086,0.183,0.1384,9.99e-05,2.0
2,-0.0077,0.1961,0.15,9.961e-05,1.98
3,-0.0074,0.2021,0.1527,9.912e-05,1.959
4,-0.007,0.201,0.1411,9.844e-05,1.939
5,-0.0064,0.1995,0.1795,9.758e-05,1.918
6,-0.006,0.2042,0.1554,9.652e-05,1.898
7,-0.0059,0.1934,0.1313,9.529e-05,1.878
8,-0.0055,0.202,0.1438,9.388e-05,1.857
9,-0.0053,0.1992,0.1464,9.229e-05,1.837
10,-0.0054,0.2072,0.1268,9.055e-05,1.816
11,-0.0054,0.2146,0.1473,8.864e-05,1.796
12,-0.0053,0.2029,0.1295,8.658e-05,1.776
13,-0.0051,0.2199,0.1321,8.439e-05,1.755
14,-0.0049,0.212,0.1616,8.205e-05,1.735
15,-0.0047,0.2169,0.1491,7.96e-05,1.714
16,-0.0048,0.2103,0.1411,7.702e-05,1.694
17,-0.0048,0.2068,0.1438,7.435e-05,1.673
18,-0.0047,0.2125,0.1348,7.158e-05,1.653
19,-0.0046,0.2123,0.1375,6.872e-05,1.633
20,-0.0047,0.2074,0.1464,6.58e-05,1.612
21,-0.0047,0.2179,0.1348,6.281e-05,1.592
22,-0.0048,0.2119,0.1321,5.978e-05,1.571
23,-0.0047,0.2048,0.1268,5.67e-05,1.551
24,-0.0046,0.2081,0.1491,5.361e-05,1.531
25,-0.0045,0.21,0.158,5.05e-05,1.51
26,-0.0045,0.2206,0.1438,4.739e-05,1.49
27,-0.0045,0.2184,0.1643,4.43e-05,1.469
28,-0.0044,0.2197,0.1411,4.122e-05,1.449
29,-0.0044,0.2134,0.1554,3.819e-05,1.429
30,-0.0043,0.2122,0.1375,3.52e-05,1.408
31,-0.0042,0.2121,0.158,3.228e-05,1.388
32,-0.0043,0.2159,0.1589,2.942e-05,1.367
33,-0.0042,0.2167,0.167,2.665e-05,1.347
34,-0.0042,0.2142,0.1554,2.398e-05,1.327
35,-0.0042,0.2128,0.167,2.14e-05,1.306
36,-0.0043,0.2171,0.158,1.895e-05,1.286
37,-0.0043,0.2209,0.167,1.661e-05,1.265
38,-0.0043,0.2146,0.1491,1.442e-05,1.245
39,-0.0043,0.2146,0.1554,1.236e-05,1.224
40,-0.0043,0.2188,0.1527,1.045e-05,1.204
41,-0.0043,0.2248,0.1643,8.71e-06,1.184
42,-0.0044,0.2144,0.1545,7.12e-06,1.163
43,-0.0043,0.2201,0.1607,5.71e-06,1.143
44,-0.0044,0.2176,0.1545,4.48e-06,1.122
45,-0.0044,0.2135,0.1607,3.42e-06,1.102
46,-0.0043,0.2182,0.1438,2.56e-06,1.082
47,-0.0044,0.2134,0.1607,1.88e-06,1.061
48,-0.0044,0.2222,0.1705,1.39e-06,1.041
49,-0.0043,0.2234,0.1643,1.1e-06,1.02
50,-0.0044,0.2187,0.1616,1e-06,1.0
