epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0086,0.1598,0.1446,9.99e-05,2.0
2,-0.0079,0.16,0.1482,9.961e-05,1.98
3,-0.0068,0.1692,0.1518,9.912e-05,1.959
4,-0.0063,0.1649,0.1545,9.844e-05,1.939
5,-0.0059,0.1649,0.1661,9.758e-05,1.918
6,-0.0056,0.1692,0.1482,9.652e-05,1.898
7,-0.0056,0.1637,0.1455,9.529e-05,1.878
8,-0.0052,0.1646,0.1313,9.388e-05,1.857
9,-0.005,0.1609,0.1339,9.229e-05,1.837
10,-0.0049,0.1641,0.133,9.055e-05,1.816
11,-0.0048,0.1583,0.1366,8.864e-05,1.796
12,-0.0046,0.1756,0.1634,8.658e-05,1.776
13,-0.0044,0.1578,0.1482,8.439e-05,1.755
14,-0.0044,0.1662,0.1455,8.205e-05,1.735
15,-0.0043,0.1578,0.133,7.96e-05,1.714
16,-0.0042,0.1584,0.1304,7.702e-05,1.694
17,-0.0042,0.1581,0.1277,7.435e-05,1.673
18,-0.0043,0.1647,0.133,7.158e-05,1.653
19,-0.0044,0.1651,0.1393,6.872e-05,1.633
20,-0.0043,0.16,0.142,6.58e-05,1.612
21,-0.0045,0.151,0.133,6.281e-05,1.592
22,-0.0046,0.1577,0.1393,5.978e-05,1.571
23,-0.0044,0.1539,0.1339,5.67e-05,1.551
24,-0.0044,0.1543,0.1455,5.361e-05,1.531
25,-0.0043,0.162,0.1393,5.05e-05,1.51
26,-0.0041,0.1587,0.142,4.739e-05,1.49
27,-0.004,0.1577,0.1571,4.43e-05,1.469
28,-0.0038,0.1554,0.1482,4.122e-05,1.449
29,-0.0038,0.1593,0.1482,3.819e-05,1.429
30,-0.0038,0.1702,0.1598,3.52e-05,1.408
31,-0.0038,0.1629,0.1571,3.228e-05,1.388
32,-0.0038,0.1654,0.1598,2.942e-05,1.367
33,-0.0038,0.1629,0.1598,2.665e-05,1.347
34,-0.0038,0.164,0.1571,2.398e-05,1.327
35,-0.0038,0.1621,0.142,2.14e-05,1.306
36,-0.0038,0.1562,0.1509,1.895e-05,1.286
37,-0.0038,0.158,0.1393,1.661e-05,1.265
38,-0.0039,0.1627,0.1482,1.442e-05,1.245
39,-0.0038,0.1615,0.1393,1.236e-05,1.224
40,-0.0038,0.1613,0.1482,1.045e-05,1.204
41,-0.0038,0.1576,0.1366,8.71e-06,1.184
42,-0.0039,0.1612,0.1482,7.12e-06,1.163
43,-0.0039,0.154,0.1339,5.71e-06,1.143
44,-0.0039,0.1584,0.1366,4.48e-06,1.122
45,-0.0039,0.1602,0.1455,3.42e-06,1.102
46,-0.0038,0.1596,0.1482,2.56e-06,1.082
47,-0.0039,0.1619,0.1545,1.88e-06,1.061
48,-0.0039,0.1558,0.1509,1.39e-06,1.041
49,-0.0039,0.1597,0.1482,1.1e-06,1.02
50,-0.0038,0.1543,0.1455,1e-06,1.0
