epoch,train_loss,val_acc,lr
1,1.4696,0.8981,5e-05
2,1.3234,0.9649,0.0001
3,1.2746,0.9789,0.00015
4,1.2556,0.9877,0.0002
5,1.2456,0.9877,0.00025
6,1.2474,0.9912,0.0003
7,1.2479,0.9877,0.00029975
8,1.2494,0.993,0.00029899
9,1.2469,0.9947,0.00029772
10,1.2421,0.993,0.00029596
11,1.2541,0.9965,0.0002937
12,1.2472,0.9947,0.00029095
13,1.246,0.9912,0.00028773
14,1.2475,0.9965,0.00028404
15,1.2497,0.9982,0.0002799
16,1.2439,0.9965,0.00027532
17,1.2421,0.9965,0.00027032
18,1.2437,0.9982,0.00026491
19,1.2452,0.9947,0.00025911
20,1.2414,0.9965,0.00025294
21,1.2547,0.9947,0.00024642
22,1.2467,0.9965,0.00023957
23,1.2422,0.9965,0.00023243
24,1.2523,0.9965,0.000225
25,1.2517,0.993,0.00021732
26,1.251,0.9965,0.00020941
27,1.2484,0.9965,0.0002013
28,1.2439,0.9965,0.00019302
29,1.2447,0.9965,0.00018459
30,1.2485,0.9965,0.00017605
31,1.2496,0.9965,0.00016741
32,1.2408,0.9982,0.00015872
33,1.2409,0.9982,0.00015
34,1.2463,0.9965,0.00014128
35,1.2455,1.0,0.00013259
36,1.2438,1.0,0.00012395
37,1.2442,1.0,0.00011541
38,1.2412,1.0,0.00010698
39,1.2383,1.0,9.87e-05
40,1.2457,1.0,9.059e-05
41,1.2388,0.9947,8.268e-05
42,1.2385,0.9947,7.5e-05
43,1.2321,0.9947,6.757e-05
44,1.2333,0.9947,6.043e-05
45,1.2319,0.9947,5.358e-05
46,1.2342,0.9947,4.706e-05
47,1.2282,0.9947,4.089e-05
48,1.2384,0.9947,3.509e-05
49,1.2366,0.9947,2.968e-05
50,1.2352,0.9947,2.468e-05
51,1.2421,0.9965,2.01e-05
52,1.2464,0.9965,1.596e-05
53,1.2426,0.9982,1.227e-05
54,1.2411,0.9982,9.05e-06
55,1.242,0.9982,6.3e-06
56,1.2377,0.9982,4.04e-06
57,1.2426,0.9982,2.28e-06
58,1.2392,0.9982,1.01e-06
59,1.2436,0.9982,2.5e-07
60,1.2396,0.9982,0.0
