epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0116,0.4724,0.4211,9.998e-05,2.0
2,-0.0095,0.4992,0.5021,9.99e-05,1.99
3,-0.0084,0.524,0.462,9.978e-05,1.98
4,-0.0072,0.5222,0.4599,9.961e-05,1.97
5,-0.0065,0.5321,0.4556,9.939e-05,1.96
6,-0.0059,0.5274,0.4761,9.912e-05,1.949
7,-0.0052,0.5254,0.4824,9.881e-05,1.939
8,-0.0041,0.5313,0.4845,9.844e-05,1.929
9,-0.0038,0.5342,0.4556,9.803e-05,1.919
10,-0.0032,0.5268,0.4472,9.758e-05,1.909
11,-0.0031,0.5192,0.4338,9.707e-05,1.899
12,-0.0034,0.5259,0.4338,9.652e-05,1.889
13,-0.0041,0.5283,0.45,9.593e-05,1.879
14,-0.0028,0.5217,0.4317,9.529e-05,1.869
15,-0.0031,0.5215,0.4127,9.46e-05,1.859
16,-0.0027,0.53,0.4613,9.388e-05,1.848
17,-0.0028,0.5286,0.462,9.311e-05,1.838
18,-0.0028,0.5388,0.4486,9.229e-05,1.828
19,-0.0035,0.5345,0.4599,9.144e-05,1.818
20,-0.0025,0.5366,0.4739,9.055e-05,1.808
21,-0.0031,0.5449,0.4613,8.961e-05,1.798
22,-0.0025,0.5378,0.4852,8.864e-05,1.788
23,-0.0027,0.5352,0.4641,8.763e-05,1.778
24,-0.0027,0.5301,0.4676,8.658e-05,1.768
25,-0.0024,0.5348,0.4472,8.55e-05,1.758
26,-0.0023,0.5279,0.4535,8.439e-05,1.747
27,-0.0024,0.5358,0.4761,8.323e-05,1.737
28,-0.0025,0.5315,0.4711,8.205e-05,1.727
29,-0.0024,0.5269,0.4641,8.084e-05,1.717
30,-0.0029,0.5308,0.4655,7.96e-05,1.707
31,-0.0027,0.5354,0.4648,7.832e-05,1.697
32,-0.0026,0.5327,0.4458,7.702e-05,1.687
33,-0.0027,0.5349,0.4289,7.57e-05,1.677
34,-0.0027,0.5312,0.4704,7.435e-05,1.667
35,-0.0024,0.5304,0.4514,7.297e-05,1.657
36,-0.0026,0.5367,0.4549,7.158e-05,1.646
37,-0.0028,0.5319,0.4592,7.016e-05,1.636
38,-0.0028,0.5248,0.4296,6.872e-05,1.626
39,-0.0025,0.5265,0.4225,6.727e-05,1.616
40,-0.0023,0.5212,0.4324,6.58e-05,1.606
41,-0.0021,0.5254,0.4408,6.431e-05,1.596
42,-0.0021,0.5262,0.4486,6.281e-05,1.586
43,-0.0023,0.5257,0.4458,6.13e-05,1.576
44,-0.0031,0.5336,0.4606,5.978e-05,1.566
45,-0.0021,0.5297,0.4521,5.824e-05,1.556
46,-0.0024,0.5315,0.4894,5.67e-05,1.545
47,-0.0025,0.5323,0.4458,5.516e-05,1.535
48,-0.0027,0.5297,0.4542,5.361e-05,1.525
49,-0.0025,0.5325,0.4725,5.205e-05,1.515
50,-0.0021,0.5391,0.469,5.05e-05,1.505
51,-0.0024,0.5326,0.4542,4.895e-05,1.495
52,-0.0022,0.5354,0.457,4.739e-05,1.485
53,-0.0023,0.5277,0.4648,4.584e-05,1.475
54,-0.0023,0.5232,0.431,4.43e-05,1.465
55,-0.0027,0.5265,0.4394,4.276e-05,1.455
56,-0.0021,0.5246,0.4472,4.122e-05,1.444
57,-0.0024,0.5298,0.4394,3.97e-05,1.434
58,-0.0022,0.5279,0.4345,3.819e-05,1.424
59,-0.0024,0.5305,0.4415,3.669e-05,1.414
60,-0.0025,0.5315,0.4486,3.52e-05,1.404
61,-0.0022,0.5307,0.462,3.373e-05,1.394
62,-0.0023,0.5347,0.4451,3.228e-05,1.384
63,-0.0021,0.533,0.457,3.084e-05,1.374
64,-0.0026,0.5335,0.45,2.942e-05,1.364
65,-0.0025,0.534,0.4563,2.803e-05,1.354
66,-0.0028,0.5344,0.4401,2.665e-05,1.343
67,-0.0025,0.5275,0.4486,2.53e-05,1.333
68,-0.0023,0.5308,0.4549,2.398e-05,1.323
69,-0.0021,0.5346,0.4606,2.268e-05,1.313
70,-0.0023,0.5342,0.4465,2.14e-05,1.303
71,-0.0032,0.5296,0.4528,2.016e-05,1.293
72,-0.0027,0.5292,0.4606,1.895e-05,1.283
73,-0.0026,0.528,0.4521,1.777e-05,1.273
74,-0.0025,0.5322,0.4549,1.661e-05,1.263
75,-0.0026,0.5347,0.4451,1.55e-05,1.253
76,-0.0025,0.534,0.438,1.442e-05,1.242
77,-0.0025,0.5344,0.45,1.337e-05,1.232
78,-0.0028,0.5327,0.4514,1.236e-05,1.222
79,-0.0025,0.5332,0.4655,1.139e-05,1.212
80,-0.0022,0.5345,0.4465,1.045e-05,1.202
81,-0.0022,0.5311,0.469,9.56e-06,1.192
82,-0.0026,0.5396,0.4634,8.71e-06,1.182
83,-0.0027,0.5302,0.4627,7.89e-06,1.172
84,-0.0027,0.5399,0.4465,7.12e-06,1.162
85,-0.0026,0.5426,0.462,6.4e-06,1.152
86,-0.0028,0.5343,0.4352,5.71e-06,1.141
87,-0.0027,0.5326,0.4585,5.07e-06,1.131
88,-0.0027,0.5354,0.4535,4.48e-06,1.121
89,-0.0023,0.5351,0.457,3.93e-06,1.111
90,-0.0025,0.5363,0.4493,3.42e-06,1.101
91,-0.0023,0.5359,0.4373,2.97e-06,1.091
92,-0.0025,0.537,0.4493,2.56e-06,1.081
93,-0.0028,0.5342,0.4669,2.19e-06,1.071
94,-0.0023,0.5382,0.4303,1.88e-06,1.061
95,-0.0027,0.5335,0.4655,1.61e-06,1.051
96,-0.0027,0.5361,0.4739,1.39e-06,1.04
97,-0.0028,0.5378,0.4577,1.22e-06,1.03
98,-0.0026,0.5353,0.4437,1.1e-06,1.02
99,-0.0027,0.5379,0.4345,1.02e-06,1.01
100,-0.0025,0.5354,0.4556,1e-06,1.0
