source,target,attributes
ART_14,IDA_2A,{'type': 'UPHOLDS'}
ART_21_LABOUR,IDA_25F,{'type': 'UPHOLDS'}
ART_21_LABOUR,ESI_51,{'type': 'UPHOLDS'}
ART_21_LABOUR,ESI_73,{'type': 'UPHOLDS'}
ART_23,CLA_10,{'type': 'UPHOLDS'}
ART_42,MBA_5,{'type': 'UPHOLDS'}
ART_42,FA_79,{'type': 'UPHOLDS'}
ART_42,ESI_46,{'type': 'UPHOLDS'}
IDA_2A,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_2A,wrongful_termination,{'type': 'DEFINES'}
IDA_2A,PROC_WRONGFUL_TERMINATION,{'type': 'LEADS_TO'}
IDA_9,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_9A,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_12,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_12,dispute_resolution,{'type': 'DEFINES'}
IDA_17B,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_17B,wages,{'type': 'DEFINES'}
IDA_25C,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_25F,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_25F,retrenchment,{'type': 'DEFINES'}
IDA_25F,PROC_RETRENCHMENT_CLAIM,{'type': 'LEADS_TO'}
IDA_25F,EPF_6,"{'type': 'CROSS_REF', 'note': 'EPF contribution continues during retrenchment notice'}"
IDA_25F,PGA_4,"{'type': 'CROSS_REF', 'note': 'Gratuity payable on retrenchment if 5 yrs served'}"
IDA_25H,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_25H,retrenchment,{'type': 'DEFINES'}
IDA_25H,PROC_RETRENCHMENT_CLAIM,{'type': 'LEADS_TO'}
IDA_25M,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_25N,Industrial Disputes Act 1947,{'type': 'BELONGS_TO'}
IDA_25N,retrenchment,{'type': 'DEFINES'}
IESO_13,IESO,{'type': 'BELONGS_TO'}
MWA_14,Minimum Wages Act 1948,{'type': 'BELONGS_TO'}
MWA_14,overtime,{'type': 'DEFINES'}
PGA_4,Payment of Gratuity Act 1972,{'type': 'BELONGS_TO'}
PGA_4,gratuity,{'type': 'DEFINES'}
PGA_4,PROC_GRATUITY_CLAIM,{'type': 'LEADS_TO'}
PGA_7,Payment of Gratuity Act 1972,{'type': 'BELONGS_TO'}
PGA_7,gratuity,{'type': 'DEFINES'}
PGA_7,labour_court,{'type': 'DEFINES'}
PGA_7,PROC_GRATUITY_CLAIM,{'type': 'LEADS_TO'}
PBA_10,PBA,{'type': 'BELONGS_TO'}
PBA_11,PBA,{'type': 'BELONGS_TO'}
PBA_8,PBA,{'type': 'BELONGS_TO'}
MBA_5,Maternity Benefit Act 1961,{'type': 'BELONGS_TO'}
MBA_5,maternity,{'type': 'DEFINES'}
MBA_5,PROC_MATERNITY_CLAIM,{'type': 'LEADS_TO'}
MBA_10,Maternity Benefit Act 1961,{'type': 'BELONGS_TO'}
MBA_10,leave,{'type': 'DEFINES'}
MB_AMD_1,MB_AMD,{'type': 'BELONGS_TO'}
MB_AMD_1,maternity,{'type': 'DEFINES'}
MB_AMD_2,MB_AMD,{'type': 'BELONGS_TO'}
MB_AMD_3,MB_AMD,{'type': 'BELONGS_TO'}
MB_AMD_3,maternity,{'type': 'DEFINES'}
ERA_1,ERA,{'type': 'BELONGS_TO'}
ERA_2,ERA,{'type': 'BELONGS_TO'}
ERA_3,ERA,{'type': 'BELONGS_TO'}
ERA_4,ERA,{'type': 'BELONGS_TO'}
ERA_5,ERA,{'type': 'BELONGS_TO'}
ERA_6,ERA,{'type': 'BELONGS_TO'}
ERA_7,ERA,{'type': 'BELONGS_TO'}
ERA_8,ERA,{'type': 'BELONGS_TO'}
ERA_9,ERA,{'type': 'BELONGS_TO'}
ERA_10,ERA,{'type': 'BELONGS_TO'}
ERA_11,ERA,{'type': 'BELONGS_TO'}
ERA_12,ERA,{'type': 'BELONGS_TO'}
ERA_13,ERA,{'type': 'BELONGS_TO'}
ERA_14,ERA,{'type': 'BELONGS_TO'}
ERA_15,ERA,{'type': 'BELONGS_TO'}
