epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0118,0.4797,0.4387,9.998e-05,2.0
2,-0.0096,0.5025,0.4359,9.99e-05,1.99
3,-0.0084,0.5178,0.4535,9.978e-05,1.98
4,-0.0074,0.5266,0.4437,9.961e-05,1.97
5,-0.0061,0.5229,0.4423,9.939e-05,1.96
6,-0.0075,0.5151,0.4387,9.912e-05,1.949
7,-0.0045,0.5155,0.4352,9.881e-05,1.939
8,-0.004,0.5253,0.4331,9.844e-05,1.929
9,-0.004,0.5222,0.4451,9.803e-05,1.919
10,-0.0034,0.529,0.4254,9.758e-05,1.909
11,-0.004,0.5231,0.4127,9.707e-05,1.899
12,-0.0033,0.5172,0.4218,9.652e-05,1.889
13,-0.0032,0.5244,0.4225,9.593e-05,1.879
14,-0.0031,0.5286,0.4106,9.529e-05,1.869
15,-0.0034,0.531,0.4423,9.46e-05,1.859
16,-0.0031,0.5316,0.443,9.388e-05,1.848
17,-0.0031,0.5283,0.4225,9.311e-05,1.838
18,-0.0029,0.535,0.4197,9.229e-05,1.828
19,-0.0037,0.5353,0.4521,9.144e-05,1.818
20,-0.0029,0.5303,0.4521,9.055e-05,1.808
21,-0.0027,0.5315,0.4606,8.961e-05,1.798
22,-0.0027,0.5319,0.4479,8.864e-05,1.788
23,-0.0028,0.5243,0.4373,8.763e-05,1.778
24,-0.0027,0.5346,0.4486,8.658e-05,1.768
25,-0.0034,0.5344,0.4415,8.55e-05,1.758
26,-0.0039,0.5346,0.438,8.439e-05,1.747
27,-0.0028,0.5328,0.4592,8.323e-05,1.737
28,-0.0031,0.5306,0.4514,8.205e-05,1.727
29,-0.0025,0.5312,0.4549,8.084e-05,1.717
30,-0.003,0.5312,0.4662,7.96e-05,1.707
31,-0.0031,0.5306,0.4542,7.832e-05,1.697
32,-0.0034,0.5319,0.4535,7.702e-05,1.687
33,-0.0033,0.5355,0.4528,7.57e-05,1.677
34,-0.0032,0.5308,0.4599,7.435e-05,1.667
35,-0.0029,0.5292,0.4754,7.297e-05,1.657
36,-0.0032,0.5338,0.4613,7.158e-05,1.646
37,-0.003,0.5346,0.4655,7.016e-05,1.636
38,-0.0026,0.5407,0.4528,6.872e-05,1.626
39,-0.0025,0.5353,0.4465,6.727e-05,1.616
40,-0.0029,0.5282,0.4563,6.58e-05,1.606
41,-0.0027,0.5333,0.4451,6.431e-05,1.596
42,-0.0028,0.5276,0.4296,6.281e-05,1.586
43,-0.0026,0.5305,0.4204,6.13e-05,1.576
44,-0.0029,0.5271,0.4331,5.978e-05,1.566
45,-0.0028,0.5222,0.4261,5.824e-05,1.556
46,-0.0032,0.5264,0.4472,5.67e-05,1.545
47,-0.0031,0.529,0.4197,5.516e-05,1.535
48,-0.0036,0.5279,0.4296,5.361e-05,1.525
49,-0.0028,0.5298,0.4296,5.205e-05,1.515
50,-0.0029,0.538,0.4268,5.05e-05,1.505
51,-0.0031,0.5344,0.4317,4.895e-05,1.495
52,-0.0029,0.5301,0.4599,4.739e-05,1.485
53,-0.0035,0.5257,0.4444,4.584e-05,1.475
54,-0.0033,0.5277,0.4556,4.43e-05,1.465
55,-0.0035,0.5328,0.4451,4.276e-05,1.455
56,-0.0029,0.5295,0.438,4.122e-05,1.444
57,-0.0032,0.5325,0.4556,3.97e-05,1.434
58,-0.0033,0.5294,0.4366,3.819e-05,1.424
59,-0.0033,0.5272,0.4528,3.669e-05,1.414
60,-0.0035,0.5293,0.4373,3.52e-05,1.404
61,-0.0029,0.53,0.4458,3.373e-05,1.394
62,-0.0031,0.5365,0.457,3.228e-05,1.384
63,-0.0033,0.5368,0.4606,3.084e-05,1.374
64,-0.0035,0.539,0.4507,2.942e-05,1.364
65,-0.0032,0.5298,0.4549,2.803e-05,1.354
66,-0.0031,0.5332,0.4451,2.665e-05,1.343
67,-0.0032,0.5316,0.4317,2.53e-05,1.333
68,-0.0033,0.5358,0.4444,2.398e-05,1.323
69,-0.0033,0.5336,0.4373,2.268e-05,1.313
70,-0.0034,0.5278,0.4246,2.14e-05,1.303
71,-0.0036,0.5345,0.412,2.016e-05,1.293
72,-0.0035,0.5299,0.4542,1.895e-05,1.283
73,-0.0031,0.5308,0.4556,1.777e-05,1.273
74,-0.0033,0.5274,0.4359,1.661e-05,1.263
75,-0.003,0.5258,0.4465,1.55e-05,1.253
76,-0.003,0.5253,0.4408,1.442e-05,1.242
77,-0.0034,0.527,0.4225,1.337e-05,1.232
78,-0.0033,0.5333,0.4063,1.236e-05,1.222
79,-0.0033,0.5321,0.431,1.139e-05,1.212
80,-0.0031,0.5322,0.4211,1.045e-05,1.202
81,-0.0033,0.5275,0.4535,9.56e-06,1.192
82,-0.0033,0.5315,0.4176,8.71e-06,1.182
83,-0.0033,0.5322,0.4373,7.89e-06,1.172
84,-0.0036,0.5272,0.4303,7.12e-06,1.162
85,-0.004,0.5329,0.4465,6.4e-06,1.152
86,-0.0036,0.5284,0.4275,5.71e-06,1.141
87,-0.0035,0.5283,0.4585,5.07e-06,1.131
88,-0.0039,0.5258,0.4359,4.48e-06,1.121
89,-0.0033,0.5302,0.4218,3.93e-06,1.111
90,-0.0034,0.5286,0.4465,3.42e-06,1.101
91,-0.0033,0.5298,0.4415,2.97e-06,1.091
92,-0.0033,0.5285,0.4338,2.56e-06,1.081
93,-0.0036,0.5297,0.4387,2.19e-06,1.071
94,-0.0033,0.5297,0.4296,1.88e-06,1.061
95,-0.0039,0.532,0.4423,1.61e-06,1.051
96,-0.0033,0.5296,0.4218,1.39e-06,1.04
97,-0.0036,0.5305,0.4465,1.22e-06,1.03
98,-0.0037,0.5305,0.4387,1.1e-06,1.02
99,-0.0035,0.534,0.4373,1.02e-06,1.01
100,-0.0038,0.5324,0.4451,1e-06,1.0
