epoch,train_loss,val_acc,lr
1,1.3774,0.8777,4.828e-05
2,1.2129,0.9544,9.655e-05
3,1.1666,0.9736,0.00014483
4,1.1417,0.9904,0.0001931
5,1.1343,0.9952,0.00024138
6,1.1337,0.9952,0.00028966
7,1.1313,0.9928,0.00029985
8,1.1305,0.9904,0.00029925
9,1.1324,0.9928,0.00029817
10,1.1296,0.9904,0.00029662
11,1.1397,0.9856,0.00029461
12,1.1362,0.988,0.00029215
13,1.1327,0.9904,0.00028923
14,1.1288,0.988,0.00028588
15,1.1308,0.988,0.0002821
16,1.1278,0.9856,0.0002779
17,1.1298,0.9952,0.0002733
18,1.1299,0.9904,0.00026831
19,1.1272,0.9904,0.00026295
20,1.1277,0.9928,0.00025723
21,1.1493,0.9952,0.00025117
22,1.1428,0.9976,0.0002448
23,1.1406,0.9952,0.00023812
24,1.1354,0.9928,0.00023117
25,1.1363,0.9952,0.00022396
26,1.1318,0.9928,0.00021651
27,1.1348,0.9976,0.00020886
28,1.1348,0.9976,0.00020102
29,1.1316,0.9952,0.00019302
30,1.1344,0.9952,0.00018489
31,1.1352,0.9976,0.00017664
32,1.1326,0.9976,0.00016831
33,1.1331,1.0,0.00015992
34,1.1334,0.9976,0.0001515
35,1.1294,0.9976,0.00014308
36,1.1312,0.9976,0.00013468
37,1.1324,0.9976,0.00012633
38,1.1293,0.9976,0.00011805
39,1.1284,0.9976,0.00010987
40,1.1301,0.9976,0.00010182
41,1.1295,1.0,9.392e-05
42,1.1285,1.0,8.62e-05
43,1.1262,1.0,7.868e-05
44,1.1278,1.0,7.138e-05
45,1.129,1.0,6.433e-05
46,1.1251,1.0,5.756e-05
47,1.1281,1.0,5.107e-05
48,1.1292,1.0,4.49e-05
49,1.1285,1.0,3.905e-05
50,1.1286,1.0,3.356e-05
51,1.1294,1.0,2.844e-05
52,1.1304,1.0,2.369e-05
53,1.129,1.0,1.935e-05
54,1.1277,1.0,1.542e-05
55,1.1289,1.0,1.191e-05
56,1.1276,1.0,8.84e-06
57,1.1278,1.0,6.22e-06
58,1.1277,1.0,4.04e-06
59,1.1289,1.0,2.33e-06
60,1.1276,1.0,1.09e-06
