epoch,loss,train_reward,val_reward,lr,temperature
1,-0.013,0.8424,0.6462,9.998e-05,2.0
2,-0.0114,0.88,0.6337,9.99e-05,1.99
3,-0.0101,0.8944,0.6221,9.978e-05,1.98
4,-0.0087,0.8906,0.6298,9.961e-05,1.97
5,-0.0071,0.8719,0.6865,9.939e-05,1.96
6,-0.0062,0.8733,0.5933,9.912e-05,1.949
7,-0.0056,0.8803,0.6221,9.881e-05,1.939
8,-0.0054,0.8706,0.6,9.844e-05,1.929
9,-0.0053,0.8389,0.626,9.803e-05,1.919
10,-0.0053,0.8523,0.6962,9.758e-05,1.909
11,-0.005,0.8634,0.7,9.707e-05,1.899
12,-0.0049,0.8578,0.5885,9.652e-05,1.889
13,-0.0049,0.8505,0.6385,9.593e-05,1.879
14,-0.0047,0.8592,0.6212,9.529e-05,1.869
15,-0.0042,0.8667,0.6596,9.46e-05,1.859
16,-0.004,0.8723,0.6192,9.388e-05,1.848
17,-0.0043,0.8658,0.6462,9.311e-05,1.838
18,-0.0042,0.8604,0.6202,9.229e-05,1.828
19,-0.0042,0.8584,0.625,9.144e-05,1.818
20,-0.004,0.8703,0.6548,9.055e-05,1.808
21,-0.0042,0.8575,0.6029,8.961e-05,1.798
22,-0.0044,0.8495,0.6221,8.864e-05,1.788
23,-0.0042,0.8453,0.6394,8.763e-05,1.778
24,-0.0042,0.8365,0.5971,8.658e-05,1.768
25,-0.0044,0.8444,0.626,8.55e-05,1.758
26,-0.0042,0.8567,0.6038,8.439e-05,1.747
27,-0.004,0.8316,0.601,8.323e-05,1.737
28,-0.004,0.867,0.6212,8.205e-05,1.727
29,-0.0043,0.8621,0.6692,8.084e-05,1.717
30,-0.0044,0.8723,0.6221,7.96e-05,1.707
31,-0.0043,0.8423,0.6202,7.832e-05,1.697
32,-0.0045,0.8539,0.6365,7.702e-05,1.687
33,-0.0046,0.8496,0.5615,7.57e-05,1.677
34,-0.0048,0.8603,0.5644,7.435e-05,1.667
35,-0.0049,0.8485,0.6106,7.297e-05,1.657
36,-0.0049,0.8523,0.6183,7.158e-05,1.646
37,-0.0047,0.8586,0.6529,7.016e-05,1.636
38,-0.0047,0.865,0.6615,6.872e-05,1.626
39,-0.0047,0.8605,0.6683,6.727e-05,1.616
40,-0.0049,0.8781,0.7067,6.58e-05,1.606
41,-0.0058,0.8971,0.6337,6.431e-05,1.596
42,-0.0051,0.872,0.6346,6.281e-05,1.586
43,-0.0043,0.8656,0.6212,6.13e-05,1.576
44,-0.0047,0.8557,0.6087,5.978e-05,1.566
45,-0.0048,0.8486,0.6212,5.824e-05,1.556
46,-0.0048,0.8577,0.6394,5.67e-05,1.545
47,-0.0052,0.8578,0.5817,5.516e-05,1.535
48,-0.0051,0.8646,0.6154,5.361e-05,1.525
49,-0.0053,0.8527,0.6096,5.205e-05,1.515
50,-0.0049,0.8556,0.6106,5.05e-05,1.505
51,-0.0043,0.8675,0.6067,4.895e-05,1.495
52,-0.0049,0.8698,0.6288,4.739e-05,1.485
53,-0.0056,0.8602,0.5798,4.584e-05,1.475
54,-0.0044,0.8603,0.6654,4.43e-05,1.465
55,-0.0043,0.8706,0.6596,4.276e-05,1.455
56,-0.0045,0.876,0.6577,4.122e-05,1.444
57,-0.0046,0.8738,0.6423,3.97e-05,1.434
58,-0.0052,0.8718,0.5942,3.819e-05,1.424
59,-0.0054,0.8815,0.6673,3.669e-05,1.414
60,-0.0053,0.8704,0.6125,3.52e-05,1.404
61,-0.0052,0.8685,0.624,3.373e-05,1.394
62,-0.005,0.8682,0.6183,3.228e-05,1.384
63,-0.005,0.8798,0.6663,3.084e-05,1.374
64,-0.0052,0.887,0.5683,2.942e-05,1.364
65,-0.0052,0.8852,0.6173,2.803e-05,1.354
66,-0.0057,0.8717,0.6,2.665e-05,1.343
67,-0.006,0.8784,0.6231,2.53e-05,1.333
68,-0.0056,0.8647,0.6087,2.398e-05,1.323
69,-0.0054,0.8753,0.6192,2.268e-05,1.313
70,-0.0049,0.8772,0.6519,2.14e-05,1.303
71,-0.0048,0.8902,0.6587,2.016e-05,1.293
72,-0.0054,0.8965,0.5827,1.895e-05,1.283
73,-0.0056,0.8934,0.6548,1.777e-05,1.273
74,-0.0057,0.8743,0.649,1.661e-05,1.263
75,-0.0057,0.8972,0.6308,1.55e-05,1.253
76,-0.0053,0.8812,0.6327,1.442e-05,1.242
77,-0.0055,0.8776,0.5635,1.337e-05,1.232
78,-0.0057,0.8947,0.7038,1.236e-05,1.222
79,-0.0055,0.8722,0.6298,1.139e-05,1.212
80,-0.0055,0.8702,0.6192,1.045e-05,1.202
81,-0.0054,0.8905,0.6577,9.56e-06,1.192
82,-0.0055,0.9049,0.6558,8.71e-06,1.182
83,-0.0057,0.899,0.6471,7.89e-06,1.172
84,-0.0057,0.8834,0.6144,7.12e-06,1.162
85,-0.0055,0.8909,0.6721,6.4e-06,1.152
86,-0.0054,0.893,0.6375,5.71e-06,1.141
87,-0.0053,0.8855,0.5808,5.07e-06,1.131
88,-0.0052,0.9055,0.6192,4.48e-06,1.121
89,-0.0052,0.8859,0.5817,3.93e-06,1.111
90,-0.0052,0.8985,0.6106,3.42e-06,1.101
91,-0.0051,0.9021,0.6721,2.97e-06,1.091
92,-0.0052,0.9035,0.6327,2.56e-06,1.081
93,-0.0052,0.8989,0.6654,2.19e-06,1.071
94,-0.0053,0.8965,0.6202,1.88e-06,1.061
95,-0.0052,0.9073,0.6029,1.61e-06,1.051
96,-0.0052,0.8974,0.6308,1.39e-06,1.04
97,-0.0051,0.9042,0.701,1.22e-06,1.03
98,-0.0053,0.8964,0.6279,1.1e-06,1.02
99,-0.0052,0.8931,0.6683,1.02e-06,1.01
100,-0.0052,0.8988,0.6654,1e-06,1.0
