epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0132,0.8475,0.6663,9.998e-05,2.0
2,-0.0118,0.8714,0.6413,9.99e-05,1.99
3,-0.0103,0.8983,0.6596,9.978e-05,1.98
4,-0.0089,0.938,0.6865,9.961e-05,1.97
5,-0.0075,0.9452,0.6087,9.939e-05,1.96
6,-0.0066,0.9397,0.5298,9.912e-05,1.949
7,-0.0061,0.9422,0.5635,9.881e-05,1.939
8,-0.0059,0.9612,0.576,9.844e-05,1.929
9,-0.0056,0.9571,0.6471,9.803e-05,1.919
10,-0.0055,0.9619,0.626,9.758e-05,1.909
11,-0.0052,0.9771,0.6048,9.707e-05,1.899
12,-0.0048,0.9507,0.5933,9.652e-05,1.889
13,-0.0045,0.9723,0.6337,9.593e-05,1.879
14,-0.0044,0.9751,0.5913,9.529e-05,1.869
15,-0.0042,0.9848,0.6644,9.46e-05,1.859
16,-0.0044,0.9799,0.6288,9.388e-05,1.848
17,-0.0044,0.9767,0.599,9.311e-05,1.838
18,-0.0044,0.9862,0.6163,9.229e-05,1.828
19,-0.0045,0.9719,0.5875,9.144e-05,1.818
20,-0.0045,0.9839,0.6096,9.055e-05,1.808
21,-0.0044,0.9732,0.6087,8.961e-05,1.798
22,-0.0046,1.0006,0.6865,8.864e-05,1.788
23,-0.0047,0.9819,0.6212,8.763e-05,1.778
24,-0.0046,0.9749,0.6154,8.658e-05,1.768
25,-0.0047,0.984,0.6288,8.55e-05,1.758
26,-0.0045,0.9976,0.5798,8.439e-05,1.747
27,-0.0045,0.983,0.6212,8.323e-05,1.737
28,-0.0046,0.9803,0.6029,8.205e-05,1.727
29,-0.0046,0.9818,0.6231,8.084e-05,1.717
30,-0.0046,0.9999,0.6029,7.96e-05,1.707
31,-0.0044,0.9855,0.6087,7.832e-05,1.697
32,-0.0043,0.9875,0.5798,7.702e-05,1.687
33,-0.0043,0.9957,0.6067,7.57e-05,1.677
34,-0.0044,0.9824,0.6587,7.435e-05,1.667
35,-0.0049,0.976,0.6865,7.297e-05,1.657
36,-0.0048,0.9816,0.6606,7.158e-05,1.646
37,-0.0048,0.9684,0.6048,7.016e-05,1.636
38,-0.0054,0.9852,0.5981,6.872e-05,1.626
39,-0.005,0.9891,0.6394,6.727e-05,1.616
40,-0.0047,0.9962,0.6135,6.58e-05,1.606
41,-0.0055,0.9856,0.5971,6.431e-05,1.596
42,-0.0053,0.99,0.6433,6.281e-05,1.586
43,-0.0053,0.9777,0.6394,6.13e-05,1.576
44,-0.0047,0.9942,0.6144,5.978e-05,1.566
45,-0.0049,0.9851,0.5913,5.824e-05,1.556
46,-0.0052,0.9719,0.6096,5.67e-05,1.545
47,-0.0055,0.9783,0.6163,5.516e-05,1.535
48,-0.0059,0.9927,0.6019,5.361e-05,1.525
49,-0.0052,0.9845,0.5865,5.205e-05,1.515
50,-0.0048,0.9954,0.5731,5.05e-05,1.505
51,-0.0045,0.9931,0.6048,4.895e-05,1.495
52,-0.0048,0.9832,0.5952,4.739e-05,1.485
53,-0.0051,0.9797,0.5885,4.584e-05,1.475
54,-0.0051,1.0061,0.6635,4.43e-05,1.465
55,-0.0051,0.9925,0.6192,4.276e-05,1.455
56,-0.0053,0.9887,0.651,4.122e-05,1.444
57,-0.005,0.9955,0.6654,3.97e-05,1.434
58,-0.0052,1.001,0.601,3.819e-05,1.424
59,-0.005,1.0109,0.6577,3.669e-05,1.414
60,-0.0052,0.997,0.6308,3.52e-05,1.404
61,-0.0048,1.0158,0.5894,3.373e-05,1.394
62,-0.0047,0.9927,0.599,3.228e-05,1.384
63,-0.0047,1.0013,0.5865,3.084e-05,1.374
64,-0.0051,1.0033,0.6481,2.942e-05,1.364
65,-0.0053,1.0034,0.6087,2.803e-05,1.354
66,-0.0053,0.9998,0.6356,2.665e-05,1.343
67,-0.005,0.9989,0.6077,2.53e-05,1.333
68,-0.0052,1.0225,0.5875,2.398e-05,1.323
69,-0.0053,1.0115,0.5952,2.268e-05,1.313
70,-0.0053,1.012,0.6308,2.14e-05,1.303
71,-0.0053,1.0011,0.6202,2.016e-05,1.293
72,-0.0054,0.9999,0.599,1.895e-05,1.283
73,-0.0052,1.0033,0.6135,1.777e-05,1.273
74,-0.0052,0.9991,0.5683,1.661e-05,1.263
75,-0.0051,1.0161,0.5933,1.55e-05,1.253
