epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0134,0.8101,0.524,9.998e-05,2.0
2,-0.012,0.8252,0.501,9.99e-05,1.99
3,-0.0115,0.8157,0.5269,9.978e-05,1.98
4,-0.0099,0.8179,0.5452,9.961e-05,1.97
5,-0.0083,0.8327,0.6154,9.939e-05,1.96
6,-0.0072,0.8235,0.5702,9.912e-05,1.949
7,-0.0062,0.8574,0.6808,9.881e-05,1.939
8,-0.0056,0.8652,0.6596,9.844e-05,1.929
9,-0.0057,0.8696,0.6106,9.803e-05,1.919
10,-0.0056,0.874,0.6529,9.758e-05,1.909
11,-0.0055,0.8755,0.5596,9.707e-05,1.899
12,-0.0055,0.8521,0.5519,9.652e-05,1.889
13,-0.0054,0.851,0.575,9.593e-05,1.879
14,-0.0054,0.8744,0.625,9.529e-05,1.869
15,-0.0052,0.8763,0.6154,9.46e-05,1.859
16,-0.0052,0.9036,0.7058,9.388e-05,1.848
17,-0.0049,0.9152,0.6625,9.311e-05,1.838
18,-0.005,0.8923,0.6356,9.229e-05,1.828
19,-0.0051,0.8979,0.6298,9.144e-05,1.818
20,-0.0053,0.8886,0.6644,9.055e-05,1.808
21,-0.0049,0.9165,0.675,8.961e-05,1.798
22,-0.0048,0.9145,0.676,8.864e-05,1.788
23,-0.0047,0.9186,0.6404,8.763e-05,1.778
24,-0.0046,0.911,0.7038,8.658e-05,1.768
25,-0.0045,0.9091,0.6471,8.55e-05,1.758
26,-0.0045,0.9144,0.6567,8.439e-05,1.747
27,-0.0046,0.9111,0.6087,8.323e-05,1.737
28,-0.0045,0.9066,0.6731,8.205e-05,1.727
29,-0.0044,0.9081,0.7269,8.084e-05,1.717
30,-0.0043,0.922,0.6837,7.96e-05,1.707
31,-0.0044,0.9095,0.6288,7.832e-05,1.697
32,-0.0048,0.9169,0.699,7.702e-05,1.687
33,-0.0046,0.9096,0.6894,7.57e-05,1.677
34,-0.0044,0.9134,0.6471,7.435e-05,1.667
35,-0.0044,0.9201,0.6856,7.297e-05,1.657
36,-0.0045,0.9135,0.6865,7.158e-05,1.646
37,-0.0048,0.9087,0.6923,7.016e-05,1.636
38,-0.0049,0.9157,0.7442,6.872e-05,1.626
39,-0.0048,0.9032,0.701,6.727e-05,1.616
40,-0.0051,0.8927,0.7019,6.58e-05,1.606
41,-0.0051,0.9145,0.6548,6.431e-05,1.596
42,-0.0051,0.9067,0.6663,6.281e-05,1.586
43,-0.0059,0.9071,0.6394,6.13e-05,1.576
44,-0.0062,0.9049,0.6519,5.978e-05,1.566
45,-0.0059,0.9201,0.6433,5.824e-05,1.556
46,-0.0055,0.906,0.7048,5.67e-05,1.545
47,-0.0055,0.912,0.6769,5.516e-05,1.535
48,-0.0059,0.9351,0.6346,5.361e-05,1.525
49,-0.0062,0.92,0.6644,5.205e-05,1.515
50,-0.0051,0.9247,0.6913,5.05e-05,1.505
51,-0.0051,0.9229,0.6942,4.895e-05,1.495
52,-0.0054,0.9063,0.6683,4.739e-05,1.485
53,-0.0056,0.9395,0.6923,4.584e-05,1.475
54,-0.0056,0.9234,0.6423,4.43e-05,1.465
