epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0117,0.9709,0.6821,9.998e-05,2.0
2,-0.0104,0.9944,0.7357,9.99e-05,1.99
3,-0.0096,1.0178,0.6839,9.978e-05,1.98
4,-0.0092,1.0247,0.7634,9.961e-05,1.97
5,-0.0087,1.0404,0.7196,9.939e-05,1.96
6,-0.0082,1.0544,0.7607,9.912e-05,1.949
7,-0.0076,1.0832,0.742,9.881e-05,1.939
8,-0.0074,1.0682,0.7509,9.844e-05,1.929
9,-0.0075,1.0825,0.7411,9.803e-05,1.919
10,-0.0073,1.0581,0.7375,9.758e-05,1.909
11,-0.0069,1.094,0.7893,9.707e-05,1.899
12,-0.007,1.0998,0.8089,9.652e-05,1.889
13,-0.0069,1.087,0.8027,9.593e-05,1.879
14,-0.0064,1.0832,0.8223,9.529e-05,1.869
15,-0.0062,1.0938,0.7321,9.46e-05,1.859
16,-0.006,1.0942,0.7857,9.388e-05,1.848
17,-0.0058,1.117,0.7679,9.311e-05,1.838
18,-0.006,1.1105,0.7473,9.229e-05,1.828
19,-0.0063,1.0876,0.7571,9.144e-05,1.818
20,-0.0058,1.1139,0.8027,9.055e-05,1.808
21,-0.0058,1.1078,0.7723,8.961e-05,1.798
22,-0.0064,1.1058,0.7812,8.864e-05,1.788
23,-0.0056,1.1206,0.8241,8.763e-05,1.778
24,-0.0052,1.1029,0.7955,8.658e-05,1.768
25,-0.0061,1.1148,0.6911,8.55e-05,1.758
26,-0.0068,1.1122,0.7804,8.439e-05,1.747
27,-0.0071,1.0938,0.708,8.323e-05,1.737
28,-0.0065,1.1019,0.7821,8.205e-05,1.727
29,-0.0067,1.0936,0.7518,8.084e-05,1.717
30,-0.007,1.1051,0.7562,7.96e-05,1.707
31,-0.0059,1.0992,0.7643,7.832e-05,1.697
32,-0.0058,1.1141,0.7321,7.702e-05,1.687
33,-0.0062,1.1125,0.7545,7.57e-05,1.677
34,-0.0068,1.0984,0.8161,7.435e-05,1.667
35,-0.0062,1.1035,0.7696,7.297e-05,1.657
36,-0.0061,1.1067,0.7786,7.158e-05,1.646
37,-0.0067,1.1008,0.7286,7.016e-05,1.636
38,-0.0067,1.1044,0.6804,6.872e-05,1.626
39,-0.0063,1.1168,0.7723,6.727e-05,1.616
40,-0.0069,1.0848,0.7312,6.58e-05,1.606
41,-0.0066,1.0815,0.7098,6.431e-05,1.596
42,-0.0053,1.1118,0.7268,6.281e-05,1.586
43,-0.006,1.1266,0.717,6.13e-05,1.576
44,-0.0063,1.1091,0.7429,5.978e-05,1.566
45,-0.0065,1.1015,0.7062,5.824e-05,1.556
46,-0.0064,1.103,0.6768,5.67e-05,1.545
47,-0.0069,1.0886,0.7777,5.516e-05,1.535
48,-0.0058,1.1134,0.7259,5.361e-05,1.525
49,-0.0058,1.1012,0.7375,5.205e-05,1.515
50,-0.006,1.1018,0.6911,5.05e-05,1.505
51,-0.0064,1.0972,0.725,4.895e-05,1.495
52,-0.0059,1.1011,0.7723,4.739e-05,1.485
53,-0.0069,1.0968,0.7089,4.584e-05,1.475
54,-0.0069,1.102,0.7375,4.43e-05,1.465
55,-0.0061,1.129,0.7295,4.276e-05,1.455
56,-0.0062,1.1214,0.7107,4.122e-05,1.444
57,-0.0067,1.1056,0.7491,3.97e-05,1.434
58,-0.006,1.1116,0.7714,3.819e-05,1.424
59,-0.006,1.1157,0.7259,3.669e-05,1.414
60,-0.0067,1.117,0.7518,3.52e-05,1.404
61,-0.0065,1.1205,0.733,3.373e-05,1.394
62,-0.0063,1.1254,0.7107,3.228e-05,1.384
63,-0.0066,1.1132,0.7384,3.084e-05,1.374
64,-0.0062,1.1151,0.7339,2.942e-05,1.364
65,-0.0063,1.1125,0.6786,2.803e-05,1.354
66,-0.0062,1.1254,0.6982,2.665e-05,1.343
67,-0.0058,1.1475,0.75,2.53e-05,1.333
68,-0.0054,1.127,0.7125,2.398e-05,1.323
69,-0.0058,1.1207,0.7187,2.268e-05,1.313
70,-0.0061,1.1364,0.7741,2.14e-05,1.303
71,-0.0054,1.1242,0.7312,2.016e-05,1.293
72,-0.0051,1.1291,0.7268,1.895e-05,1.283
73,-0.0053,1.1268,0.7661,1.777e-05,1.273
74,-0.0055,1.1313,0.7054,1.661e-05,1.263
75,-0.0053,1.1374,0.7571,1.55e-05,1.253
76,-0.0055,1.1254,0.7304,1.442e-05,1.242
77,-0.0055,1.1439,0.7687,1.337e-05,1.232
78,-0.0056,1.1422,0.7857,1.236e-05,1.222
79,-0.0061,1.1313,0.7125,1.139e-05,1.212
80,-0.0063,1.1305,0.6875,1.045e-05,1.202
81,-0.0066,1.1408,0.742,9.56e-06,1.192
82,-0.0064,1.1192,0.7205,8.71e-06,1.182
83,-0.0064,1.1271,0.7429,7.89e-06,1.172
84,-0.0061,1.1479,0.842,7.12e-06,1.162
85,-0.0058,1.1387,0.7554,6.4e-06,1.152
86,-0.0058,1.1433,0.8295,5.71e-06,1.141
87,-0.0056,1.1502,0.7491,5.07e-06,1.131
88,-0.0054,1.1425,0.7768,4.48e-06,1.121
89,-0.0054,1.1364,0.7875,3.93e-06,1.111
90,-0.0054,1.1337,0.7616,3.42e-06,1.101
91,-0.0055,1.1282,0.7348,2.97e-06,1.091
92,-0.0056,1.1375,0.7616,2.56e-06,1.081
93,-0.0057,1.155,0.8045,2.19e-06,1.071
94,-0.0057,1.1276,0.75,1.88e-06,1.061
95,-0.0057,1.1379,0.7214,1.61e-06,1.051
96,-0.0057,1.1344,0.7348,1.39e-06,1.04
97,-0.0057,1.1378,0.7196,1.22e-06,1.03
98,-0.0056,1.1293,0.8045,1.1e-06,1.02
99,-0.0056,1.1359,0.7536,1.02e-06,1.01
100,-0.0056,1.1297,0.7295,1e-06,1.0
