epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0118,0.7695,0.6482,9.99e-05,2.0
2,-0.0105,0.7958,0.6562,9.961e-05,1.98
3,-0.0095,0.8154,0.7714,9.912e-05,1.959
4,-0.0084,0.8224,0.7161,9.844e-05,1.939
5,-0.0078,0.8241,0.7536,9.758e-05,1.918
6,-0.0076,0.8355,0.7339,9.652e-05,1.898
7,-0.0069,0.8553,0.7509,9.529e-05,1.878
8,-0.0063,0.8692,0.733,9.388e-05,1.857
9,-0.0059,0.8503,0.7402,9.229e-05,1.837
10,-0.0054,0.8596,0.7366,9.055e-05,1.816
11,-0.0052,0.8687,0.7589,8.864e-05,1.796
12,-0.0053,0.8666,0.767,8.658e-05,1.776
13,-0.005,0.8616,0.7661,8.439e-05,1.755
14,-0.005,0.8578,0.7312,8.205e-05,1.735
15,-0.005,0.8462,0.8027,7.96e-05,1.714
16,-0.005,0.8721,0.7866,7.702e-05,1.694
17,-0.0049,0.8446,0.7625,7.435e-05,1.673
18,-0.0048,0.8905,0.7866,7.158e-05,1.653
19,-0.0048,0.8766,0.7616,6.872e-05,1.633
20,-0.0046,0.8742,0.7812,6.58e-05,1.612
21,-0.0046,0.8675,0.7634,6.281e-05,1.592
22,-0.0046,0.882,0.7598,5.978e-05,1.571
23,-0.0046,0.8788,0.7384,5.67e-05,1.551
24,-0.0047,0.8814,0.7375,5.361e-05,1.531
25,-0.0045,0.869,0.7375,5.05e-05,1.51
26,-0.0045,0.861,0.7455,4.739e-05,1.49
27,-0.0044,0.8621,0.7589,4.43e-05,1.469
28,-0.0045,0.8628,0.7589,4.122e-05,1.449
29,-0.0046,0.8635,0.7411,3.819e-05,1.429
30,-0.0044,0.8604,0.758,3.52e-05,1.408
31,-0.0044,0.8527,0.7714,3.228e-05,1.388
32,-0.0043,0.8733,0.7652,2.942e-05,1.367
33,-0.0043,0.862,0.7571,2.665e-05,1.347
34,-0.0042,0.8595,0.7473,2.398e-05,1.327
35,-0.0042,0.8615,0.7411,2.14e-05,1.306
36,-0.0043,0.8838,0.7384,1.895e-05,1.286
37,-0.0043,0.8697,0.733,1.661e-05,1.265
38,-0.0043,0.8781,0.7687,1.442e-05,1.245
39,-0.0044,0.8645,0.7357,1.236e-05,1.224
40,-0.0043,0.8835,0.7643,1.045e-05,1.204
41,-0.0043,0.8674,0.7929,8.71e-06,1.184
42,-0.0042,0.8659,0.7714,7.12e-06,1.163
43,-0.0043,0.8775,0.7437,5.71e-06,1.143
44,-0.0043,0.8816,0.7554,4.48e-06,1.122
45,-0.0043,0.8816,0.7036,3.42e-06,1.102
46,-0.0044,0.8824,0.7473,2.56e-06,1.082
47,-0.0043,0.8615,0.7482,1.88e-06,1.061
48,-0.0043,0.8646,0.7714,1.39e-06,1.041
49,-0.0043,0.8842,0.742,1.1e-06,1.02
50,-0.0043,0.8639,0.7768,1e-06,1.0
