node_id,type,text,level,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
ART_14,Constitutional,Article 14 — Right to Equality. The State shall not deny any person equality before law. Basis for challenging arbitrary dismissal and discriminatory employment practices.,h1,,,,,,,
ART_21_LABOUR,Constitutional,"Article 21 — Right to Life includes right to livelihood (Olga Tellis v. Bombay Municipal Corporation, 1985). Wrongful termination can be challenged as violation of Article 21.",h1,,,,,,,
ART_23,Constitutional,Article 23 — Prohibition of traffic in human beings and forced labour. Begar (forced/unpaid work) is a fundamental rights violation.,h1,,,,,,,
ART_24,Constitutional,"Article 24 — Prohibition of employment of children in factories. No child below 14 years shall work in any factory, mine or hazardous employment.",h1,,,,,,,
ART_39_D,Constitutional,"Article 39(d) — Directive Principle: Equal pay for equal work for both men and women. Though not directly enforceable, courts use this to interpret labour statutes.",h1,,,,,,,
ART_42,Constitutional,Article 42 — Directive Principle: The State shall make provision for securing just and humane conditions of work and maternity relief.,h1,,,,,,,
ART_43A,Constitutional,Article 43A — Directive Principle: The State shall take steps to secure the participation of workers in the management of undertakings.,h1,,,,,,,
IDA_2A,Section,"Dismissal, etc., of an individual workman to be deemed to be an industrial dispute. 
 
CHAPTER II 
AUTHORITIES UNDER THIS ACT",h2,2A,IDA,Deemed industrial dispute for individual dismissal,,,,
Industrial Disputes Act 1947,Act,,h2,,,,,,,
wrongful_termination,Concept,,,,,,,,,
IDA_9,Section,"Finality of orders constituting Boards, etc. 
 
CHAPTER IIA 
NOTICE OF CHANGE",h2,9,IDA,Auto-extracted: Industrial Disputes Act 1947 Section 9,,,,
IDA_9A,Section,Notice of change.,h2,9A,IDA,Auto-extracted: Industrial Disputes Act 1947 Section 9A,,,,
IDA_12,Section,Duties of conciliation officers.,h2,12,IDA,Auto-extracted: Industrial Disputes Act 1947 Section 12,,,,
dispute_resolution,Concept,,,,,,,,,
IDA_17B,Section,Payment of full wages to workman pending proceedings in higher courts.,h2,17B,IDA,Auto-extracted: Industrial Disputes Act 1947 Section 17B,,,,
wages,Concept,,,,,,,,,
IDA_25C,Section,Right of workmen laid-off for compensation.,h2,25C,IDA,Auto-extracted: Industrial Disputes Act 1947 Section 25C,,,,
IDA_25F,Section,"Conditions precedent to retrenchment of workmen. 
25FF. Compensation to workmen in case of transfer of undertakings. 
25FFA. Sixty days’ notice to be given of intention to close down any undertaking. 
25FFF. Compensation to workmen in case of closing down of undertakings.",h2,25F,IDA,Conditions precedent to retrenchment,,,,
retrenchment,Concept,,,,,,,,,
IDA_25H,Section,"Re-employment of retrenched workmen. 
25-I. [Repealed.]",h2,25H,IDA,Re-employment of retrenched workmen,,,,
IDA_25M,Section,Prohibition of lay-off.,h2,25M,IDA,Auto-extracted: Industrial Disputes Act 1947 Section 25M,,,,
IDA_25N,Section,"Conditions precedent to retrenchment of workmen. 
25-O. Procedure for closing down an undertaking.",h2,25N,IDA,Conditions precedent to retrenchment in larger establishments,,,,
IESO_13,Section,"Penalties and procedure 
 
13-A. Interpretation, etc., of standing orders 
 
 
13-B. Act not to apply to certain industrial establishments",h2,13,IESO,Auto-extracted: IESO Section 13,,,,
IESO,Act,,h2,,,,,,,
MWA_14,Section,Overtime.,h2,14,MWA,Auto-extracted: Minimum Wages Act 1948 Section 14,,,,
Minimum Wages Act 1948,Act,,h2,,,,,,,
overtime,Concept,,,,,,,,,
