node_id,type,text,level,number,act,desc,query_text,informative_answer,actionable_answer,readable_answer
ART_14,Constitutional,"Article 14 — Right to Equality. The State shall not deny any person equality before law or equal protection of laws within the territory of India. In family law, this guarantees equal treatment regardless of gender or religion in matters of maintenance, divorce, and property rights, and empowers courts to strike down discriminatory personal law provisions.",h1,,,,,,,
ART_21,Constitutional,"Article 21 — Right to Life and Personal Liberty. No person shall be deprived of life or personal liberty except according to procedure established by law. In family law, this encompasses the right to live free from domestic violence, the right to maintenance as part of dignified living, the right of a child to a home, and the right to a fair hearing in matrimonial proceedings.",h1,,,,,,,
ART_25,Constitutional,"Article 25 — Freedom of Conscience and Free Profession, Practice and Propagation of Religion. Subject to public order, morality, and health, all persons have the right to freely profess, practise, and propagate religion. In family law, this provision underpins the applicability of personal laws (Hindu, Muslim, Christian, Parsi) for marriage, divorce, and succession, while courts retain power to test personal law provisions against fundamental rights.",h1,,,,,,,
ART_226,Constitutional,"Article 226 — Power of High Courts to issue writs. Every High Court shall have the power, throughout the territories in relation to which it exercises jurisdiction, to issue directions, orders, or writs including habeas corpus, mandamus, prohibition, quo warranto, and certiorari. In family law, parties may approach the High Court under Article 226 for custody writs (habeas corpus), to quash illegal orders, or to transfer matrimonial cases.",h1,,,,,,,
ART_227,Constitutional,"Article 227 — Power of superintendence over all courts by the High Court. Every High Court has superintendence over all courts and tribunals within its jurisdiction. In family law, Article 227 petitions are used to challenge Family Court orders on jurisdictional grounds or correct patent illegalities, including orders on maintenance, custody, and divorce.",h1,,,,,,,
"Anand Marriage Act, 1909",Act,,h2,,,,,,,
"Prohibition of Child Marriage Act, 2006",Act,,h2,,,,,,,
"Transgender Persons (Protection of Rights) Act, 2019",Act,,h2,,,,,,,
"Indian Majority Act, 1875",Act,,h2,,,,,,,
"Mental Health Act, 1987",Act,,h2,,,,,,,
"Registration Act, 1908",Act,,h2,,,,,,,
"Income Tax Act, 1961",Act,,h2,,,,,,,
"Maternity Benefit Act, 1961",Act,,h2,,,,,,,
"Equal Remuneration Act, 1976",Act,,h2,,,,,,,
