epoch,train_loss,val_acc,lr
1,1.2458,0.9038,4.839e-05
2,1.0865,0.9776,9.677e-05
3,1.0375,0.9933,0.00014516
4,1.0177,0.9955,0.00019355
5,1.0111,0.9955,0.00024194
6,1.0093,0.9978,0.00029032
7,1.0087,0.9978,0.00029985
8,1.0087,0.9978,0.00029923
9,1.0075,1.0,0.00029814
10,1.0101,1.0,0.00029658
11,1.0143,1.0,0.00029456
12,1.0073,1.0,0.00029207
13,1.0082,1.0,0.00028914
14,1.0058,1.0,0.00028577
15,1.005,0.9978,0.00028196
16,1.0054,0.9978,0.00027774
17,1.0053,1.0,0.00027311
18,1.0057,0.9978,0.0002681
19,1.0034,1.0,0.00026271
20,1.0032,0.9978,0.00025696
21,1.0064,0.9978,0.00025087
22,1.0081,0.9933,0.00024446
23,1.0055,0.9933,0.00023776
24,1.003,0.9955,0.00023077
25,1.0055,0.9955,0.00022353
26,1.0036,0.9955,0.00021606
27,1.0018,0.9955,0.00020838
28,1.0018,0.9955,0.00020051
29,1.0036,0.9955,0.00019248
30,1.0018,0.9955,0.00018432
31,1.0048,0.9978,0.00017605
32,1.0051,0.9978,0.00016769
33,1.0029,0.9978,0.00015928
34,1.0048,0.9978,0.00015084
35,1.0032,0.9955,0.0001424
36,1.0042,0.9955,0.00013398
37,1.0026,0.9978,0.00012562
38,1.0028,0.9978,0.00011733
39,1.0025,0.9978,0.00010914
40,1.002,0.9978,0.00010108
41,1.0025,1.0,9.318e-05
42,1.0017,1.0,8.546e-05
43,1.0018,1.0,7.794e-05
44,1.003,1.0,7.066e-05
45,1.0015,1.0,6.362e-05
46,1.0017,1.0,5.685e-05
47,1.0017,1.0,5.039e-05
48,1.0023,1.0,4.423e-05
49,1.0014,1.0,3.842e-05
50,1.0006,1.0,3.295e-05
51,1.002,1.0,2.786e-05
52,1.0033,1.0,2.315e-05
53,1.0024,1.0,1.885e-05
54,1.0023,1.0,1.496e-05
55,1.0006,1.0,1.15e-05
56,1.0022,1.0,8.48e-06
57,1.0027,1.0,5.9e-06
58,1.0017,1.0,3.79e-06
59,1.0026,1.0,2.13e-06
60,1.0016,1.0,9.5e-07
