epoch,train_loss,train_reward,val_reward
1,7.1699,0.0712,0.0345
2,8.8752,0.0742,0.0275
3,8.2483,0.0747,0.05
4,8.1959,0.0789,0.0521
5,7.0001,0.0778,0.0345
6,6.2442,0.0756,0.043
7,5.5961,0.0673,0.0465
8,8.4086,0.0754,0.0324
9,7.3903,0.0747,0.0486
10,8.9336,0.082,0.0324
11,6.9101,0.0786,0.0359
12,5.9706,0.0765,0.038
13,6.3446,0.0792,0.038
14,6.0495,0.0792,0.0415
15,9.2988,0.0827,0.038
16,8.2173,0.0824,0.0521
17,8.1348,0.0857,0.031
18,7.5226,0.0914,0.0521
19,6.7588,0.0894,0.05
20,8.5747,0.0876,0.038
21,6.5261,0.0854,0.0451
22,6.2917,0.0813,0.0535
23,8.7763,0.0912,0.0556
24,6.2105,0.0867,0.038
25,5.1492,0.0856,0.0451
26,7.8921,0.0922,0.0451
27,5.304,0.0825,0.0415
28,5.4829,0.0858,0.031
29,4.9435,0.0854,0.038
30,6.1365,0.095,0.0345
31,7.0481,0.0984,0.0451
32,6.0672,0.0974,0.038
33,5.3883,0.0923,0.038
34,7.0335,0.0938,0.038
35,5.299,0.0979,0.0479
36,5.3218,0.0988,0.0451
37,5.1369,0.0984,0.0514
38,4.4621,0.1005,0.057
39,3.5819,0.1009,0.0535
40,4.4888,0.1037,0.0521
41,4.5436,0.1051,0.0556
42,3.6728,0.1063,0.057
43,3.9103,0.1041,0.057
44,3.5045,0.108,0.05
45,3.4211,0.1109,0.0535
46,2.9085,0.1021,0.05
47,2.2771,0.1105,0.057
48,4.8195,0.1112,0.0535
49,4.0438,0.1095,0.0521
50,2.9589,0.1111,0.0606
51,3.4751,0.1164,0.0676
52,3.8126,0.1092,0.057
53,2.5908,0.1116,0.0761
54,2.5241,0.118,0.057
55,2.8486,0.1184,0.057
56,3.5093,0.1197,0.0641
57,4.4295,0.1226,0.0549
58,2.2332,0.1262,0.0641
59,3.6146,0.1256,0.0725
60,2.4291,0.1248,0.0585
61,4.2462,0.1205,0.0585
62,2.5846,0.1215,0.069
63,2.8156,0.1137,0.0655
64,3.5951,0.117,0.0585
65,2.0794,0.118,0.062
66,2.9021,0.1177,0.0606
67,4.3385,0.1227,0.0655
68,1.7767,0.1146,0.062
69,2.5048,0.1181,0.0655
70,2.3605,0.1161,0.0655
71,2.866,0.1205,0.069
72,2.0376,0.1194,0.0655
73,2.1412,0.118,0.057
74,2.4679,0.1199,0.0725
75,1.6398,0.1209,0.0655
76,1.6393,0.1173,0.0585
77,1.9536,0.1202,0.069
78,1.0656,0.1181,0.069
79,1.629,0.1162,0.0655
80,2.1876,0.118,0.069
81,2.1094,0.1209,0.069
82,0.9392,0.1186,0.0655
83,1.6031,0.1194,0.0655
84,1.9356,0.1217,0.062
85,1.2476,0.1191,0.0585
86,1.065,0.1204,0.0585
87,0.7132,0.12,0.069
88,1.4322,0.1215,0.0585
89,0.5645,0.1193,0.0585
90,1.1365,0.1215,0.062
91,0.9294,0.1186,0.0585
92,1.47,0.1213,0.069
93,0.794,0.1205,0.062
94,2.0363,0.1207,0.069
95,1.0591,0.1219,0.062
96,0.4165,0.1205,0.069
97,0.422,0.1179,0.069
98,1.7868,0.1199,0.062
99,1.3821,0.1226,0.062
100,0.8491,0.1254,0.062
