epoch,train_loss,train_reward,val_reward
1,17.6087,0.1386,0.0965
2,19.9604,0.1421,0.0789
3,18.4581,0.1394,0.0739
4,17.5049,0.1365,0.088
5,14.6562,0.1308,0.0824
6,17.9315,0.1455,0.0859
7,17.0243,0.1459,0.0789
8,16.3431,0.146,0.0739
9,16.1945,0.1453,0.0739
10,18.2492,0.1445,0.0824
11,15.5843,0.1491,0.0775
12,17.1708,0.1564,0.1014
13,16.4741,0.1529,0.0718
14,12.4678,0.1424,0.0845
15,15.2243,0.1582,0.081
16,14.6088,0.1568,0.093
17,13.3928,0.1525,0.0859
18,11.1083,0.1524,0.0859
19,11.7687,0.1583,0.1035
20,14.6403,0.1628,0.0894
21,11.569,0.1518,0.093
22,12.3723,0.1609,0.0915
23,11.545,0.1655,0.0958
24,14.7784,0.1639,0.0908
25,10.6463,0.1636,0.1014
26,13.4675,0.18,0.0979
27,12.9418,0.1857,0.0951
28,11.1564,0.1783,0.0915
29,13.449,0.1828,0.1
30,10.6476,0.188,0.1049
31,11.9146,0.1887,0.1056
32,9.4616,0.1947,0.0915
33,10.4968,0.1881,0.107
34,9.5583,0.1962,0.0951
35,9.3535,0.1985,0.0979
36,8.2239,0.1988,0.0915
37,10.7628,0.2052,0.1
38,9.1246,0.2059,0.0951
39,8.6832,0.2029,0.0859
40,8.4991,0.1977,0.0986
41,8.5774,0.2052,0.0915
42,7.727,0.2075,0.1141
43,7.0055,0.1962,0.0951
44,5.5204,0.2072,0.0915
45,8.201,0.1949,0.1
46,6.7091,0.1956,0.093
47,6.9121,0.1974,0.0965
48,6.1292,0.1923,0.0986
49,5.9238,0.2006,0.1021
50,4.4172,0.1962,0.1056
51,4.6184,0.195,0.0986
52,7.1177,0.198,0.1035
53,4.4322,0.1912,0.0951
54,5.8022,0.1945,0.0986
55,6.3925,0.1984,0.1014
56,5.1388,0.1948,0.1035
57,5.0769,0.1943,0.1
58,5.5045,0.1973,0.0986
59,5.0633,0.2,0.1
60,5.8284,0.199,0.0986
61,4.8954,0.2019,0.1035
62,5.7019,0.1993,0.088
63,5.2822,0.1983,0.1021
64,5.9379,0.1983,0.0986
65,5.7751,0.2048,0.088
66,6.8147,0.2048,0.1056
67,5.4559,0.206,0.1021
68,5.3068,0.2062,0.0986
69,3.4677,0.1979,0.0986
70,3.9156,0.211,0.1056
71,3.1179,0.2073,0.1056
72,4.9881,0.2077,0.1021
73,3.1862,0.2109,0.0986
74,4.3609,0.2161,0.1127
75,3.4919,0.2074,0.1127
76,3.5597,0.2125,0.1162
77,3.2644,0.2103,0.1021
78,3.0772,0.208,0.1035
79,6.0002,0.2095,0.1035
80,3.1227,0.2155,0.1056
81,4.0674,0.2116,0.1056
82,3.4059,0.2069,0.1021
83,2.802,0.2133,0.0986
84,2.9178,0.2117,0.1056
85,3.3554,0.2131,0.0986
86,2.3307,0.2087,0.1021
87,2.1551,0.2127,0.1
88,2.9193,0.2122,0.1056
89,3.8598,0.2187,0.0986
90,2.9567,0.2137,0.0986
91,1.6066,0.2092,0.0986
92,2.2891,0.2126,0.1092
93,2.2267,0.2123,0.1
94,1.9113,0.2073,0.1021
95,2.883,0.2091,0.0986
96,1.1012,0.2116,0.0986
97,2.762,0.2105,0.0986
98,2.1554,0.2111,0.0986
99,2.2428,0.213,0.1021
100,1.5507,0.2112,0.1106
