epoch,train_loss,train_reward,val_reward
1,16.8288,0.1142,0.0669
2,15.4988,0.1084,0.0528
3,9.3292,0.1017,0.0528
4,14.2943,0.1099,0.0739
5,13.719,0.1073,0.0634
6,13.4974,0.106,0.0493
7,16.1784,0.1077,0.0528
8,9.4727,0.1025,0.0458
9,12.7793,0.1162,0.0634
10,14.937,0.1151,0.0528
11,11.5304,0.1098,0.0599
12,11.6996,0.1073,0.0669
13,10.4607,0.1125,0.0648
14,9.7798,0.1128,0.0577
15,14.8928,0.119,0.0599
16,11.5138,0.1231,0.0634
17,13.3067,0.1259,0.0739
18,12.3535,0.1312,0.0775
19,10.324,0.1361,0.0599
20,11.665,0.1436,0.0739
21,9.4239,0.1464,0.0669
22,9.1194,0.1466,0.0739
23,8.2882,0.1499,0.0754
24,9.0683,0.1482,0.0704
25,9.0514,0.1609,0.0775
26,8.2587,0.1558,0.0739
27,8.2376,0.1574,0.0824
28,8.3072,0.1646,0.081
29,7.1075,0.1527,0.081
30,5.3708,0.155,0.0669
31,6.7522,0.1655,0.081
32,4.3038,0.1556,0.081
33,7.4364,0.1599,0.081
34,5.116,0.1657,0.093
35,4.3889,0.1605,0.088
36,5.4266,0.1655,0.0669
37,4.0293,0.161,0.0704
38,4.5944,0.1603,0.0775
39,3.5625,0.1639,0.0775
40,4.1889,0.1665,0.081
41,3.1265,0.1618,0.0915
42,5.0478,0.1625,0.088
43,4.1208,0.1648,0.0915
44,4.9114,0.1673,0.0845
45,4.1736,0.1648,0.0845
46,2.5124,0.1649,0.088
47,2.5149,0.1638,0.0845
48,3.3507,0.1674,0.0845
49,3.0295,0.1642,0.0775
50,2.5597,0.1674,0.0775
51,2.9643,0.1646,0.0775
52,3.5402,0.1665,0.081
53,2.3627,0.1671,0.0845
54,4.2985,0.1694,0.088
55,2.0902,0.1724,0.088
56,2.407,0.1732,0.0845
57,2.4012,0.1712,0.0845
58,2.4627,0.1706,0.081
59,2.4789,0.1758,0.088
60,2.7909,0.1712,0.0775
61,2.5461,0.1739,0.0845
62,2.2242,0.1731,0.0775
63,2.6655,0.1743,0.0915
64,2.2219,0.1782,0.088
65,1.6069,0.1743,0.0775
66,2.2382,0.1774,0.0845
67,1.8178,0.177,0.081
68,2.0643,0.1799,0.081
69,2.5981,0.1799,0.0845
70,1.2706,0.1776,0.0775
71,1.7629,0.1778,0.0845
72,1.4677,0.1768,0.0845
73,2.1782,0.1799,0.0845
74,2.453,0.1795,0.088
75,1.5642,0.1788,0.088
76,1.6854,0.1803,0.088
77,2.1496,0.1792,0.088
78,1.2488,0.1756,0.0775
79,1.8653,0.1765,0.081
80,1.6203,0.1763,0.081
81,1.5251,0.1786,0.0775
82,3.3187,0.1813,0.0915
83,1.2067,0.1788,0.081
84,1.4014,0.1764,0.081
85,0.7842,0.1763,0.0845
86,1.2627,0.1802,0.081
87,0.6859,0.1774,0.0845
88,0.9006,0.1807,0.0775
89,0.8068,0.1788,0.0845
90,1.6177,0.1781,0.088
91,1.3534,0.1724,0.0845
92,1.0252,0.1753,0.0845
93,0.6055,0.1751,0.0845
94,0.4981,0.1781,0.0845
95,0.6784,0.1796,0.081
96,0.5324,0.1794,0.088
97,1.2797,0.1798,0.081
98,0.5241,0.1757,0.0951
99,0.5191,0.1793,0.081
100,1.0543,0.1795,0.0951
