epoch,train_loss,train_reward,val_reward
1,2.957,0.0249,0.0231
2,2.9842,0.0242,0.0135
3,2.2952,0.0295,0.0135
4,5.2239,0.0319,0.0135
5,6.4384,0.0292,0.0135
6,5.3038,0.0286,0.0135
7,2.9404,0.0226,0.0135
8,5.538,0.0268,0.0135
9,4.8728,0.029,0.0135
10,3.98,0.0268,0.0135
11,2.7615,0.0265,0.0135
12,2.683,0.0263,0.0231
13,5.0004,0.0317,0.0135
14,5.4332,0.0363,0.0135
15,4.4403,0.0313,0.0135
16,3.0671,0.0302,0.0135
17,3.4291,0.0313,0.0135
18,5.8531,0.0334,0.0183
19,2.4396,0.0313,0.0135
20,4.8456,0.0384,0.0135
21,3.3257,0.0324,0.0135
22,3.7704,0.039,0.0135
23,5.4779,0.042,0.0135
24,4.4619,0.0379,0.0183
25,4.4232,0.0379,0.0135
26,4.6801,0.0409,0.0135
27,2.9059,0.0374,0.0135
28,3.611,0.0395,0.0231
29,4.2343,0.043,0.0135
30,2.9695,0.04,0.0135
31,1.9507,0.0393,0.0135
32,2.836,0.0445,0.0135
33,5.0873,0.0472,0.0135
34,2.8801,0.0411,0.0135
35,2.5244,0.0459,0.0135
36,1.5756,0.0456,0.0135
37,2.5628,0.0474,0.0135
38,1.6275,0.0475,0.0135
39,1.4397,0.047,0.0135
40,2.7706,0.0476,0.0135
41,5.7484,0.0493,0.0135
42,1.5573,0.048,0.0135
43,2.4303,0.0482,0.0135
44,1.353,0.0474,0.0135
45,1.6886,0.0488,0.0135
46,2.0328,0.0488,0.0135
47,1.8874,0.0525,0.0135
48,2.0587,0.0501,0.0135
49,0.9145,0.0488,0.0135
50,0.8089,0.0517,0.0135
51,1.4502,0.052,0.0135
52,1.9017,0.053,0.0135
53,1.799,0.0511,0.0135
54,1.5134,0.0577,0.0135
55,2.2512,0.0556,0.0135
56,0.5804,0.0554,0.0135
57,0.5271,0.0577,0.0135
58,0.4765,0.0599,0.0135
59,0.4616,0.0588,0.0135
60,0.3669,0.0588,0.0135
61,1.3175,0.0604,0.0135
62,0.2577,0.062,0.0135
63,0.3132,0.0588,0.0135
64,0.3947,0.0609,0.0135
65,0.2866,0.0593,0.0135
66,0.1972,0.0593,0.0135
67,0.1802,0.0604,0.0135
68,0.179,0.0604,0.0135
69,0.2062,0.0604,0.0135
70,0.3622,0.0604,0.0135
71,0.1022,0.0604,0.0135
72,0.2513,0.0593,0.0135
73,0.0654,0.0604,0.0135
74,0.4929,0.063,0.0135
75,0.4029,0.0611,0.0135
76,0.0268,0.0604,0.0135
77,0.0103,0.0593,0.0135
78,0.1705,0.0609,0.0135
79,0.1034,0.062,0.0135
80,0.004,0.0599,0.0135
81,1.334,0.0609,0.0135
82,0.0196,0.0614,0.0135
83,0.0122,0.0609,0.0135
84,0.0072,0.0609,0.0135
85,0.0053,0.0609,0.0135
86,0.0036,0.0614,0.0135
87,0.0028,0.0622,0.0135
88,0.0023,0.0604,0.0135
89,0.002,0.0614,0.0135
90,0.0018,0.0609,0.0135
91,0.0017,0.0614,0.0135
92,0.9338,0.0627,0.0135
93,0.0014,0.0604,0.0135
94,0.0013,0.0599,0.0135
95,0.0013,0.0604,0.0135
96,0.0025,0.0617,0.0135
97,0.0012,0.0604,0.0135
98,0.0011,0.0604,0.0135
99,0.0011,0.0609,0.0135
100,0.001,0.0604,0.0135
