epoch,train_loss,train_reward,val_reward
1,4.4189,0.0291,0.024
2,5.4416,0.0323,0.0288
3,5.1114,0.0299,0.0288
4,6.3199,0.0289,0.024
5,4.2399,0.0299,0.024
6,4.9652,0.031,0.024
7,7.6482,0.0351,0.0356
8,4.1359,0.0289,0.0404
9,4.8411,0.0298,0.024
10,5.0669,0.0307,0.0288
11,6.7331,0.0391,0.024
12,6.5118,0.0353,0.0337
13,6.293,0.0344,0.0288
14,5.5761,0.0349,0.024
15,4.4852,0.0326,0.026
16,7.621,0.0376,0.0288
17,7.8598,0.0381,0.0337
18,6.2963,0.0381,0.0356
19,8.2773,0.0391,0.024
20,5.4799,0.0378,0.0308
21,11.4881,0.049,0.0308
22,6.5238,0.0405,0.0288
23,7.7396,0.0409,0.0192
24,7.6087,0.045,0.0385
25,6.1902,0.041,0.0404
26,8.3802,0.0461,0.0337
27,9.7056,0.0493,0.0337
28,6.1371,0.046,0.0433
29,8.9729,0.0537,0.024
30,7.5957,0.0536,0.0288
31,8.279,0.0555,0.0529
32,7.441,0.0587,0.0337
33,7.5257,0.0622,0.0337
34,6.7482,0.0646,0.0385
35,9.591,0.0706,0.05
36,4.8992,0.0637,0.0385
37,6.754,0.063,0.0385
38,6.6145,0.0688,0.0452
39,3.5876,0.0687,0.0337
40,6.2966,0.0675,0.0433
41,4.2466,0.0694,0.0337
42,4.9253,0.0728,0.0337
43,4.2623,0.0689,0.0385
44,2.5783,0.0691,0.0548
45,3.2967,0.0681,0.0385
46,3.5597,0.0723,0.0385
47,3.543,0.0744,0.0385
48,4.3128,0.0734,0.0337
49,4.6733,0.0757,0.0385
50,1.9589,0.0747,0.0337
51,2.9645,0.0739,0.0337
52,1.6956,0.0723,0.0433
53,3.9347,0.0764,0.0433
54,4.5107,0.0768,0.0481
55,3.5492,0.076,0.0385
56,2.1894,0.075,0.0337
57,2.6083,0.076,0.0452
58,1.3228,0.0734,0.0385
59,1.6271,0.076,0.0385
60,1.7177,0.0744,0.0385
61,1.9702,0.075,0.0337
62,1.4373,0.0776,0.0433
63,1.1619,0.0755,0.0385
64,1.8924,0.0744,0.0385
65,4.7243,0.0796,0.0385
66,1.6923,0.0755,0.0433
67,2.5139,0.0755,0.0337
68,0.3484,0.0766,0.0385
69,1.7132,0.0755,0.0337
70,1.4505,0.0755,0.0337
71,0.7085,0.0755,0.0452
72,1.5216,0.076,0.0385
73,0.4624,0.076,0.0385
74,0.6476,0.0771,0.0385
75,0.3557,0.0755,0.0337
76,1.2042,0.0776,0.0433
77,0.2456,0.076,0.0385
78,0.1759,0.0755,0.0385
79,1.6625,0.0755,0.0385
80,0.1813,0.0782,0.0404
81,0.7905,0.0776,0.0385
82,0.1279,0.0782,0.0452
83,0.0732,0.0771,0.0337
84,0.5515,0.0771,0.0452
85,0.862,0.0798,0.0385
86,0.1471,0.076,0.0433
87,0.6653,0.0773,0.0452
88,0.2504,0.076,0.0385
89,0.0283,0.0755,0.0452
90,0.5308,0.0782,0.0452
91,0.1177,0.0771,0.0385
92,0.186,0.0776,0.0337
93,0.1148,0.0776,0.0385
94,0.0549,0.0782,0.0337
95,0.03,0.0766,0.0385
96,0.0287,0.0792,0.0385
97,0.0284,0.0776,0.0452
98,0.0242,0.0787,0.0385
99,0.0198,0.0792,0.0385
100,0.0178,0.0784,0.0452
