epoch,train_loss,train_reward,val_reward
1,7.896,0.0366,0.0
2,6.3,0.034,0.0
3,5.0542,0.0332,0.0
4,8.1889,0.0407,0.0
5,7.986,0.0396,0.0
6,4.3959,0.0327,0.0048
7,5.0847,0.0332,0.0
8,4.0872,0.0327,0.0
9,4.4878,0.0327,0.0
10,4.646,0.038,0.0
11,4.2487,0.037,0.0
12,6.9432,0.0382,0.0
13,6.1383,0.0354,0.0
14,5.2804,0.0396,0.0
15,6.0946,0.0375,0.0
16,5.941,0.0417,0.0
17,4.1171,0.037,0.0
18,6.9618,0.0465,0.0
19,6.2917,0.0401,0.0
20,4.1687,0.0428,0.0
21,6.4696,0.0492,0.0
22,3.8536,0.0414,0.0
23,4.2769,0.0423,0.0
24,4.8535,0.0439,0.0
25,4.9708,0.0428,0.0
26,4.7311,0.0505,0.0
27,6.9174,0.0492,0.0
28,3.1492,0.0428,0.0
29,3.8489,0.0423,0.0048
30,3.1894,0.0449,0.0
31,6.6738,0.0545,0.0
32,4.5849,0.0476,0.0
33,3.01,0.046,0.0
34,3.8108,0.0457,0.0
35,1.8442,0.0481,0.0
36,6.6919,0.0537,0.0
37,3.7203,0.0492,0.0
38,3.6345,0.0519,0.0
39,2.9438,0.0535,0.0
40,3.6814,0.054,0.0
41,3.9153,0.0585,0.0
42,1.5849,0.054,0.0
43,2.6775,0.0551,0.0
44,2.7913,0.0535,0.0
45,2.7029,0.0537,0.0
46,2.4729,0.0561,0.0
47,1.854,0.0524,0.0
48,1.2772,0.0563,0.0
49,5.7031,0.0622,0.0
50,2.0459,0.0563,0.0
51,2.3612,0.0574,0.0
52,1.945,0.0558,0.0048
53,1.6266,0.0563,0.0
54,0.5594,0.0563,0.0
55,1.917,0.0601,0.0
56,1.2041,0.0574,0.0
57,0.4486,0.0563,0.0
58,2.4818,0.059,0.0
59,1.0837,0.059,0.0
60,0.7317,0.0558,0.0
61,0.1434,0.0579,0.0
62,0.667,0.0595,0.0
63,1.6886,0.0606,0.0
64,0.0732,0.0595,0.0
65,0.4431,0.0585,0.0
66,1.4035,0.0617,0.0
67,0.2931,0.0601,0.0
68,0.277,0.0604,0.0
69,0.1801,0.0611,0.0
70,0.2612,0.0611,0.0
71,0.2176,0.0611,0.0
72,0.4736,0.0633,0.0
73,0.2987,0.0627,0.0
74,0.1562,0.062,0.0
75,0.7709,0.0638,0.0
76,0.0597,0.0625,0.0
77,0.0711,0.0633,0.0
78,0.0605,0.0633,0.0
79,0.0517,0.0633,0.0
80,0.0435,0.0633,0.0
81,0.0343,0.0633,0.0
82,0.3878,0.0638,0.0048
83,0.2945,0.0649,0.0
84,0.2594,0.0638,0.0
85,0.0209,0.0622,0.0
86,0.0811,0.0633,0.0
87,0.0407,0.0638,0.0
88,1.0137,0.0643,0.0
89,0.0193,0.0643,0.0
90,0.5201,0.0654,0.0
91,0.0147,0.0627,0.0
92,0.6072,0.0649,0.0
93,0.1774,0.0654,0.0
94,0.0661,0.0654,0.0
95,0.1838,0.0654,0.0
96,3.3401,0.0659,0.0
97,0.0636,0.0654,0.0
98,0.0236,0.0643,0.0
99,0.0159,0.0643,0.0
100,0.0079,0.0654,0.0
