epoch,train_loss,train_reward,val_reward
1,6.9371,0.0734,0.0357
2,10.1095,0.0698,0.0268
3,10.226,0.0766,0.0268
4,13.5714,0.0783,0.0357
5,7.8731,0.0678,0.0268
6,9.3822,0.0718,0.0268
7,6.7629,0.0674,0.0268
8,9.3522,0.0775,0.0268
9,9.7394,0.0824,0.0268
10,7.3079,0.0716,0.0268
11,7.6058,0.0687,0.0268
12,8.7815,0.0787,0.0268
13,9.3732,0.0758,0.0268
14,7.4724,0.0779,0.0268
15,12.3133,0.0835,0.0268
16,8.8588,0.0837,0.0268
17,10.949,0.0844,0.033
18,10.0174,0.0858,0.033
19,11.0488,0.0821,0.0268
20,9.2917,0.0854,0.0268
21,5.6245,0.0833,0.0268
22,10.2994,0.0879,0.0268
23,8.5164,0.0842,0.0268
24,7.6978,0.0903,0.033
25,7.5362,0.0946,0.033
26,6.0364,0.0882,0.0357
27,8.4208,0.0984,0.033
28,9.8803,0.0965,0.0357
29,6.1977,0.0961,0.033
30,5.283,0.0977,0.033
31,7.9741,0.1029,0.033
32,4.3356,0.0948,0.033
33,4.2,0.1001,0.033
34,5.118,0.1068,0.033
35,4.9623,0.1009,0.0268
36,4.4945,0.1073,0.0268
37,5.208,0.1102,0.033
38,4.1863,0.1037,0.033
39,4.3982,0.1127,0.033
40,3.3778,0.1136,0.033
41,4.2563,0.1092,0.033
42,2.3482,0.1089,0.033
43,3.8984,0.1141,0.033
44,3.3929,0.1135,0.033
45,3.9465,0.1202,0.033
46,3.9564,0.1213,0.033
47,2.1651,0.1146,0.033
48,2.2366,0.1178,0.0393
49,2.5107,0.119,0.033
50,3.0608,0.1187,0.033
51,2.6725,0.1202,0.033
52,0.7287,0.1195,0.033
53,1.1839,0.121,0.033
54,1.8938,0.1221,0.033
55,1.3202,0.12,0.033
56,1.617,0.1193,0.033
57,1.4756,0.1209,0.033
58,1.3675,0.1204,0.033
59,0.4736,0.1202,0.042
60,0.6594,0.1197,0.033
61,3.0752,0.1279,0.033
62,0.7061,0.1202,0.033
63,0.4512,0.1232,0.033
64,1.5563,0.1214,0.033
65,0.6517,0.1227,0.033
66,1.3729,0.1259,0.033
67,0.7692,0.1232,0.033
68,1.7368,0.1264,0.033
69,1.8347,0.1239,0.033
70,0.8045,0.1284,0.033
71,2.9012,0.1291,0.033
72,1.5971,0.1278,0.033
73,1.4229,0.1296,0.042
74,0.2637,0.1261,0.033
75,0.3762,0.1263,0.033
76,0.1755,0.1264,0.033
77,1.234,0.1291,0.033
78,0.4807,0.1276,0.033
79,0.3043,0.1245,0.033
80,1.0074,0.1281,0.033
81,0.409,0.128,0.033
82,0.3163,0.1279,0.033
83,0.2436,0.129,0.033
84,0.2057,0.1257,0.033
85,0.8054,0.1291,0.033
86,0.1552,0.1247,0.033
87,1.348,0.1292,0.033
88,0.1204,0.1274,0.033
89,0.0883,0.1276,0.033
90,0.1154,0.1287,0.042
91,0.5706,0.1291,0.033
92,0.0648,0.1256,0.033
93,0.2536,0.1246,0.033
94,0.6687,0.1244,0.033
95,0.2583,0.1261,0.033
96,0.2074,0.1291,0.033
97,0.1173,0.1267,0.033
98,0.2802,0.1264,0.033
99,0.8336,0.1329,0.033
100,2.6916,0.1254,0.033
