epoch,train_loss,train_reward,val_reward
1,6.6036,0.0593,0.0152
2,8.7721,0.0597,0.0304
3,8.1956,0.0653,0.033
4,9.4911,0.0612,0.0152
5,7.1308,0.0636,0.0152
6,7.1598,0.0653,0.0152
7,8.9477,0.0603,0.0259
8,8.3793,0.0638,0.0241
9,7.9931,0.0688,0.0286
10,9.2302,0.0637,0.0241
11,6.2769,0.0638,0.0321
12,13.7013,0.0732,0.033
13,8.967,0.0647,0.0241
14,6.5414,0.0646,0.0152
15,6.4297,0.0702,0.0152
16,5.4919,0.0648,0.0152
17,11.5662,0.0742,0.0286
18,10.952,0.0818,0.0241
19,6.8224,0.0733,0.0241
20,10.1423,0.0735,0.0241
21,8.5899,0.0774,0.0152
22,10.3925,0.0775,0.0241
23,7.0011,0.0687,0.0152
24,11.7697,0.0806,0.0196
25,6.1471,0.0673,0.0152
26,9.3862,0.0743,0.0241
27,6.3848,0.0714,0.0304
28,8.8594,0.078,0.0214
29,5.7607,0.0755,0.0286
30,6.7942,0.0839,0.0241
31,6.9842,0.0727,0.0366
32,8.3766,0.0793,0.0277
33,5.3782,0.0759,0.0411
34,7.9092,0.0864,0.0321
35,4.3269,0.0862,0.0366
36,7.8459,0.0994,0.0366
37,4.9691,0.0861,0.0429
38,5.4355,0.1021,0.0455
39,4.2454,0.0939,0.0366
40,4.8791,0.0996,0.0411
41,2.9296,0.0948,0.0411
42,2.8628,0.0943,0.0411
43,4.8582,0.0958,0.0366
44,3.5777,0.0991,0.0411
45,1.5639,0.0907,0.0277
46,2.9483,0.0953,0.05
47,2.9426,0.0992,0.0366
48,2.4261,0.0984,0.0321
49,1.986,0.0967,0.0304
50,1.5962,0.0979,0.0366
51,1.962,0.1011,0.0366
52,2.4407,0.1053,0.0411
53,4.306,0.1047,0.0411
54,2.6342,0.1002,0.05
55,1.5085,0.0979,0.05
56,1.7266,0.0984,0.05
57,1.7969,0.1046,0.05
58,2.5841,0.1038,0.05
59,2.7921,0.1011,0.0438
60,2.4045,0.1013,0.05
61,1.1235,0.0997,0.0455
62,2.5879,0.1037,0.05
63,1.945,0.0974,0.05
64,2.2218,0.0986,0.05
65,0.4707,0.0994,0.05
66,1.138,0.1011,0.05
67,3.2122,0.1048,0.05
68,4.3717,0.1056,0.05
69,2.2169,0.0978,0.05
70,1.9732,0.102,0.0589
71,2.0727,0.1038,0.0455
72,1.2644,0.0988,0.0411
73,1.8606,0.1037,0.0545
74,0.7891,0.1039,0.0634
75,1.251,0.1044,0.0545
76,3.0158,0.1028,0.0589
77,0.41,0.1018,0.0589
78,1.208,0.1034,0.0589
79,0.8496,0.1012,0.0545
80,2.2081,0.1053,0.05
81,1.0848,0.1055,0.0634
82,2.0631,0.1051,0.05
83,1.0443,0.099,0.0634
84,1.2821,0.1015,0.0545
85,2.082,0.0992,0.0589
86,1.4102,0.103,0.0634
87,1.8799,0.0998,0.0634
88,0.8376,0.1022,0.0634
89,1.356,0.1009,0.0589
90,1.0404,0.1,0.0634
91,0.939,0.1017,0.0589
92,1.6928,0.0996,0.0634
93,2.0639,0.1003,0.0634
94,1.6241,0.1057,0.0571
95,1.4128,0.1002,0.05
96,0.9421,0.0995,0.0571
97,0.6558,0.0981,0.0509
98,0.3833,0.1013,0.0634
99,1.4625,0.0993,0.0571
100,0.856,0.0983,0.0634
