epoch,train_loss,train_reward,val_reward
1,4.6487,0.0392,0.0134
2,3.4376,0.0291,0.0196
3,4.5184,0.0361,0.0134
4,8.7871,0.0408,0.0223
5,4.5816,0.0362,0.0223
6,5.5539,0.038,0.0196
7,10.2425,0.0411,0.0196
8,5.5681,0.043,0.0134
9,6.2684,0.0367,0.0223
10,4.175,0.0433,0.0312
11,5.7495,0.0364,0.0134
12,4.8574,0.039,0.0134
13,5.1927,0.0427,0.0134
14,7.7417,0.0438,0.0134
15,3.3118,0.0413,0.0223
16,2.8636,0.0389,0.0179
17,4.3629,0.0406,0.0134
18,5.7989,0.0469,0.0223
19,3.7033,0.0417,0.0134
20,4.229,0.0423,0.0223
21,3.0297,0.0423,0.0134
22,2.4072,0.0401,0.0134
23,6.1253,0.0492,0.0134
24,4.773,0.0497,0.0134
25,5.7436,0.0482,0.0179
26,4.1381,0.0418,0.0134
27,5.6127,0.0468,0.0223
28,5.1468,0.0477,0.0241
29,8.0195,0.0511,0.0134
30,5.5223,0.0488,0.0134
31,2.849,0.048,0.0134
32,5.0261,0.0525,0.0134
33,7.2724,0.0555,0.0196
34,5.1973,0.0565,0.0223
35,5.0254,0.056,0.0223
36,4.7482,0.0489,0.0134
37,2.5451,0.0492,0.0134
38,3.4233,0.0508,0.0223
39,3.6354,0.0548,0.0196
40,3.6281,0.0574,0.0134
41,3.7913,0.0573,0.0223
42,4.1353,0.0633,0.0134
43,4.4492,0.0615,0.0223
44,5.1306,0.0646,0.0223
45,3.9786,0.0564,0.0134
46,2.2611,0.0565,0.0134
47,3.9767,0.0557,0.0134
48,4.71,0.0588,0.0134
49,3.2843,0.0618,0.0134
50,4.4877,0.0608,0.0134
51,3.7583,0.061,0.0286
52,3.5165,0.059,0.0134
53,3.0231,0.0613,0.0134
54,2.2931,0.0577,0.0268
55,3.189,0.0597,0.0134
56,2.3993,0.0621,0.0223
57,3.5005,0.0571,0.0223
58,2.8166,0.0598,0.0134
59,2.1594,0.0583,0.0179
60,2.2621,0.0607,0.0134
61,3.4837,0.0637,0.0134
62,3.8118,0.0628,0.0134
63,3.6404,0.0621,0.0134
64,1.4934,0.0594,0.0134
65,2.9677,0.0658,0.0134
66,2.4021,0.0681,0.0134
67,1.904,0.0685,0.0134
68,1.7675,0.0626,0.0134
69,2.4961,0.067,0.0134
70,1.6869,0.0631,0.0134
71,2.9547,0.0602,0.0134
72,1.5474,0.0612,0.0179
73,1.0326,0.0618,0.0196
74,1.0557,0.0582,0.0134
75,1.681,0.0631,0.0134
76,1.2018,0.0638,0.0134
77,3.0734,0.0619,0.0134
78,2.3426,0.0641,0.0196
79,1.0775,0.0616,0.0134
80,0.6739,0.0577,0.0134
81,1.4751,0.0624,0.0134
82,0.8724,0.0619,0.0134
83,1.034,0.061,0.0134
84,1.3198,0.0599,0.0134
85,1.8714,0.0606,0.0196
86,1.4459,0.0636,0.0134
87,0.729,0.0587,0.0134
88,1.457,0.0614,0.0134
89,1.981,0.064,0.0223
90,0.5108,0.0614,0.0196
91,1.3768,0.064,0.0134
92,1.2453,0.064,0.0134
93,0.8896,0.0604,0.0134
94,2.1818,0.0614,0.0134
95,0.8497,0.0644,0.0134
96,1.0212,0.0607,0.0134
97,0.5171,0.0565,0.0134
98,0.9994,0.0609,0.0134
99,1.2473,0.0651,0.0134
100,1.1679,0.0602,0.0134
