question,answer
"Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Client,If your employer is forcing you to resign because you are unable to work night shifts due to documented medical reasons, and you are still fit to work day shifts, you may have legal recourse.Write a formal email/letter to HR and senior management stating you are medically fit to work during the day shift. The companyâs refusal to accommodate is discriminatory. You are willing to continue in the company on reasonable accommodations.However after that also you don't get any fruitful solution then you can file a complaint at your regional Labour Commissionerâs Office.Consult a lawyer to draft a strong legal notice to the company."
"Hi sir, I am working in an organisation from past 7months in night shift. Recently I am diagnosed with a health issue, wherein the doctor advised me avoid night shift and change to day shift. I request the HR with the relevant medical advice note. But the HR denied and ask me to resign the job. What action can I take against them for forcibly asking me to resign even though I'm medically fit to work.( Bangalore, Karnataka )","Dear Client,If your employer is pressuring you to resign due to a medical condition requiring a shift change, despite you being medically fit for other duties, do not resign. Immediately document all communications, especially HR's denial of your shift change and their demand for your resignation, as this constitutes ""constructive dismissal"" under  law.Formally communicate to HR, in writing, that you are not resigning, reiterate your medical fitness for day shift, and state that any forced resignation will be considered unlawful termination. Then, seek legal counsel from an employment lawyer to understand your rights under the Industrial Disputes Act or Shops and Establishments Act, and explore options like filing a complaint with the Labour Commissioner or pursuing legal action for unlawful termination, potentially seeking reinstatement or compensation."
"From Last 6 months I was in sabbatical leave and after sabbatical leave there were no suitable roles and HR insisted me to resign according to leave policies and my leave end date was 15 th April and I have sent resignation on 15th may and one month it has been marked as loss of pay and now company has asking me to make final settlement of 91000( Bangalore, Karnataka )","Dear Client,Your immediate steps should involve thoroughly examining your sabbatical leave policy and employment contract for clauses on return-to-work, role availability post-leave, and notice periods. Formally request a detailed, itemized breakdown of the Rs. 91,000/-  from HR to understand its components, and simultaneously calculate any dues the company owes you, such as leave encashment or gratuity.If you believe you were pressured to resign due to the unavailability of roles a potential case of constructive dismissal, or if the deductions seem unjust, consider seeking legal advice from an employment lawyer to understand your rights and potential recourse under Indian labor laws, before agreeing to any payment."
"We hired two employees who signed a 2-year bond agreement and an offer letter before joining. Both employees absconded within a few months, violating the bond and leaving without notice. We have their signed agreements and records of communication. We want to understand how to legally enforce the bond, recover any losses incurred by the company, and send a formal legal notice to these employees.( Chennai, Tamil Nadu )","Dear client,To address employees absconding in breach of a 2-year bond agreement, first, thoroughly review your signed agreements and meticulously document all quantifiable losses incurred, such as training and recruitment costs, as these are crucial for proving damages. Before sending a legal notice, ensure you've followed your internal HR procedures for unauthorized absence. Then, engage a lawyer to draft a formal legal notice clearly referencing the breached bond, detailing the financial losses, demanding payment within a specified timeframe, and stating your intent to pursue legal action (a civil suit for recovery of damages) if they fail to comply.While bond agreements are generally enforceable in India if reasonable and tied to demonstrable losses, prepare for a potentially lengthy civil recovery process if the employees do not settle after receiving the notice."
"I am writing to enquire about my recent termination due to pregnancy. Conpany is claiming that they have made up their mind for me to do a graceful exit by me resigning from the company but the instances that took place after i sent the pregnancy mail to my director and report manager and after half an hour i got the call from HR to either do graceful exit or they will terminate me. There were no formal communication that happened with me that states about my performace or etc but they claim that they are doing this because of my performance but before that I didnât get any mail or any warning from the HR. They didnât give me any notice or prior information about it. I asked them to provide me atleast maternity benifit or to give me one day to think but they denied and hence they terminated me. I am stuck in my head if i should file a case against them or not( Indore, Madhya Pradesh )","Dear Client,Based on what you've described, termination due to pregnancy without prior warning, without notice, and without processing maternity benefits is a violation of Indian labor laws, especially the Maternity Benefit Act, 1961, and provisions under the Industrial Disputes Act, 1947.Go to your local Labour Commissionerâs Office and submit a written complaint. Attach all emails, messages, and notes on calls (even memory-based timelines help). Mention that you were terminated within hours of informing your pregnancy, and were denied maternity benefits or notice.Consult a Labour Lawyer and  send a legal notice on your behalf demanding compensation, reinstatement, or maternity benefits. If unresolved, you can file a case in the Labour Court or Tribunal."
"My new company signed a bond from me that if I do not join on a decided date they will encash my cheque of one month CTC ( they have taken at LOI sharing) Now I do not want to join that company as I got some better opportunity.( Palwal, Haryana )","Dear Sir,You have done a blunder mistake by giving cheque to the company. Just take away all the amount from your said SB account or close the same so that the company cannot encash any amount form your bank account."
"I have been unable to transfer or withdraw my PF due to complications arising from the non-availability of my previous service details in the Unified Portal, as my UAN was not generated during my tenure in my last organsation  nokia . Now EPF want annexure k from my last company and they are not responding .( Pune, Maharashtra )","Dear Client,Annexure K is required for transferring EPF funds when an individual changes jobs or shifts from an unexempted to an exempted establishment.  Universal Account Number (UAN) enables linking of multiple EPF Accounts (Member ID) allotted to a single PF member. A member whose UAN is seeded and is fully KYC compliant must not file any transfer claim on a change of employment. In such a case, whenever an employee joins a new job and the first monthâs PF contribution is received, then a transfer auto trigger is generated. Soon after, the memberâs past PF amount gets automatically transferred into his new account. Employee is required to submit the PF Transfer Claim to the Exempted Trust, which will enter the transfer details as Annexure K in the Unified Portal. The employer will make the online payment against the Annexure K. After due approval by the PF office, the past amount and service history will be reflected in his current MID passbook. Thus, observing the complexity faced by you in transferring the EPF Account from the last company to the present company in the database of the EPFO, it appears that the previous employer has neither made any payment against the Annexure -K which he is dutyboound to transfer once the PF contribution is deducted nor generated or activated of UAN of the member employee post-registration in the unified portal. In that scenario, an aggrieved member can file a complaint using the EPF i-Grievance Management System (https://epfigms.gov.in/) or file a complaint offline in the office of the Regional PF Commissioner concerned. If the complaint is not resolved on this end, you can approach the Employeesâ Provident Funds Appellate Tribunal (EPFAT) which was constituted under the provisions of the Section 7 D of the EPF and M P Act 1952, Now, as per the Finance Act 2017, the Employees' Provident Fund Appellate Tribunal has been merged with Central Government Industrial Tribunal w.e.f. 26.05.2017. So, if no relief is yielded from the office of the RPF Commissioner, you may approach the Central Government Industrial Tribunal for appropriate relief."
"When requested for Notice Period Waiver, my CFO and HR mentioned in the Acceptance Mail that mine shall be considered as exception and salary will be credited as F and F. Now, they are demanding payment to release my relieving letter or to face legal consequence. PLEASE HELP. The amount is huge.( Chennai, Tamil Nadu )","Dear Sir,If there is no written commitment in respect of notice period, your case will become weak. However, you can fight by approaching the following authority.===========================================================================================Please approach the following authority or similar authority in a stateThe Office Commissioner of LabourKarmika Bhavan, Dairy Circle,Bannerghatta Road, Bangalore-29.080-29753078[emailÂ protected]Addresses of Labor Inspectors in Bengaluru in different locationshttps://karmikaspandana.karnataka.gov.in/page/Contact+Us/Labour+Inspector/enhttps://clc.gov.in/clc/regional-offices/bangalore#:~:text=1.&text=Shram%20Sadan%2C%203rd%20Main%2C%203rd,Yeswanthpur%2C%20Bangalore%2D560022..=======================================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]*****"
"Sure. I joined an organisation 9 years back and my salary was 180000 which was lump sum and there was nothing mentioned related to PF and gratuity. Now I have left the organisation. Am I eligible to get any gratuity?( Gurgaon, Haryana )","Dear Client,Gratuity is a lump sum amount that employers pay their employees as a sign of gratitude for the services provided. An organization/establishment with a workforce of 10 individuals and above is liable to pay gratuity under the Payment of Gratuity Act 1972. According to Section 4(1) of the Payment of Gratuity Act of 1972, a gratuity shall be paid to an employee upon cessation of employment if he or she has rendered continuous service for five years or more in the establishment. Section 4(2) of the Act provides that for every completed year of service or part thereof in excess of 6 months, the employer shall pay gratuity to an employee at the prescribed rates. The Gratuity Benefits are calculated using the following formula:-(15/26) multiplied by (No of Completed Years on Exit) multiplied by (Terminal Wages/Salary). Under Rule 7(1) of the Payment of Gratuity Rules, 1972, an employee who is eligible for payment of gratuity under the Act, or any person authorized, in writing, to act on his behalf, shall apply, within thirty days from the date the gratuity became payable, in Form 'I' to the employer who is duty bound to disburse the gratuity within 30 days of cessation of employment of employee or claim made by an employee. After 30 days, the employer has to pay you not only the gratuity amount but also the simple interest accrued for the delay in payment of the gratuity. So, serving an establishment for 9 years with having workforce of 10 or above, you are entitled to gratuity from the company. In case of denial of gratuity or short-payment of gratuity by the employer, serving a legal notice to the Company/employer, reach out to the office of the concerned Labour Commissioner and the Controlling Authority under the Act to file a complaint against the employer over denial or non-payment of gratuity under the Payment of Gratuity Act, 1972 despite your eligibility to redress the grievance. Under Sub-Sec. 5 of Section 7 of the Act, the Controlling Authority is empowered under the Code of Civil Procedure, 1908, to try the claim of the applicant and pass an order/direction on the claim petition. If required, you may hire an Advocate experienced in service matters to navigate the issue in the right way."
"I have worked in a IT company as a software developer, I resigned on 4th May and since there wasn't much task left for me company gave me early release on 7th May. 
My notice period was 3 months as written in my appointment letter. Also it was written that if employee fails to serve notice period then they have to give 3 months salary to the company. Also it was written that company can change notice period duration depending on the company's requirements.

Now I want to ask can employee also demand notice period salary from company if company gave early release. And if yes, then how many months salary can we demand and can company give negative feedback in background verification if i file a case against them for this issue?( Gurgaon, Haryana )","Dear SirPlease approach the following authority or similar authority in a stateThe Office Commissioner of LabourKarmika Bhavan, Dairy Circle,Bannerghatta Road, Bangalore-29.080-29753078[emailÂ protected]Addresses of Labor Inspectors in Bengaluru in different locationshttps://karmikaspandana.karnataka.gov.in/page/Contact+Us/Labour+Inspector/enhttps://clc.gov.in/clc/regional-offices/bangalore#:~:text=1.&text=Shram%20Sadan%2C%203rd%20Main%2C%203rd,Yeswanthpur%2C%20Bangalore%2D560022..=======================================================================Section 12 in The Industrial Disputes Act, 194712. Duties of conciliation officers.- (relevant section 12(2) of ID Act)(1) Where any industrial dispute exists or is apprehended, the conciliation officer may, or where the dispute relates to a public utility service and a notice under section 22 has been given, shall hold conciliation proceedings in the prescribed manner.(2) The conciliation officer shall, for the purpose of bringing about a settlement of the dispute, without delay, investigate the dispute and all matters affecting the merits and the right settlement thereof and may do all such things as he thinks fit for the purpose of inducing the parties to come to a fair and amicable settlement of the dispute.(3) If a settlement of the dispute or of any of the matters in dispute is arrived at in the course of the conciliation proceedings the conciliationofficer shall send a report thereof to the appropriate Government 1 or an officer authorised in this behalf by the appropriate Government] together with a memorandum of the settlement signed by the parties to the dispute.(4) If no such settlement is arrived at, the conciliation officer shall, as soon as practicable after the close of the investigation, send to the appropriate Government a full report setting forth the steps taken by him for ascertaining the facts and circumstances relating to the dispute and for bringing about a settlement thereof, together with a full statement of such facts and circumstances, and the reasons on account of which, in his opinion, a settlement could not be arrived at.(5) If, on a consideration of the report referred to in sub- section (4), the appropriate Government is satisfied that there is a case for reference to a Board, 2 Labour Court, Tribunal or National Tribunal,] it may make such reference. Where the appropriate Government does not make such a reference it shall record and communicate to the parties concerned its reasons therefor.(6) A report under this section shall be submitted within fourteen days of the commencement of the conciliation proceedings or within such shorter period as may be fixed by the appropriate Government: 3 Provided that, 4 subject to the approval of the conciliation officer,] the time for the submission of the report may be extended by such period as may be agreed upon in writing by all the parties to the dispute.]*****"
