epoch,train_loss,val_acc,lr
1,1.2859,0.8893,5e-05
2,1.1393,0.9666,0.0001
3,1.0997,0.9859,0.00015
4,1.0839,0.993,0.0002
5,1.0797,0.9912,0.00025
6,1.0757,0.9947,0.0003
7,1.0745,0.9895,0.00029975
8,1.0746,0.9912,0.00029899
9,1.0748,0.9859,0.00029772
10,1.0759,0.9895,0.00029596
11,1.0776,0.9982,0.0002937
12,1.0738,0.9982,0.00029095
13,1.0722,0.9982,0.00028773
14,1.0699,0.9982,0.00028404
15,1.0719,0.9965,0.0002799
16,1.0718,0.9982,0.00027532
17,1.0714,0.9947,0.00027032
18,1.071,0.9982,0.00026491
19,1.0705,0.9982,0.00025911
20,1.0711,1.0,0.00025294
21,1.0767,0.9982,0.00024642
22,1.0745,0.9982,0.00023957
23,1.0724,0.9982,0.00023243
24,1.0721,0.9982,0.000225
25,1.0714,0.9965,0.00021732
26,1.0722,0.9965,0.00020941
27,1.0711,0.9965,0.0002013
28,1.0724,0.9947,0.00019302
29,1.0714,0.9947,0.00018459
30,1.0708,0.9947,0.00017605
31,1.0739,1.0,0.00016741
32,1.0713,1.0,0.00015872
33,1.0721,1.0,0.00015
34,1.0711,1.0,0.00014128
35,1.07,1.0,0.00013259
36,1.0706,1.0,0.00012395
37,1.0703,1.0,0.00011541
38,1.0715,1.0,0.00010698
39,1.0712,1.0,9.87e-05
40,1.0696,1.0,9.059e-05
41,1.0698,0.9982,8.268e-05
42,1.0705,1.0,7.5e-05
43,1.0688,1.0,6.757e-05
44,1.0689,1.0,6.043e-05
45,1.069,1.0,5.358e-05
46,1.069,1.0,4.706e-05
47,1.0684,1.0,4.089e-05
48,1.0682,1.0,3.509e-05
49,1.0695,1.0,2.968e-05
50,1.0685,1.0,2.468e-05
51,1.0749,1.0,2.01e-05
52,1.0751,1.0,1.596e-05
53,1.0751,1.0,1.227e-05
54,1.0744,1.0,9.05e-06
55,1.0744,1.0,6.3e-06
56,1.0742,1.0,4.04e-06
57,1.0741,1.0,2.28e-06
58,1.0743,1.0,1.01e-06
59,1.0743,1.0,2.5e-07
60,1.0736,1.0,0.0
