epoch,train_loss,val_acc,lr
1,1.287,0.8221,4.828e-05
2,1.1266,0.9375,9.655e-05
3,1.073,0.9639,0.00014483
4,1.0477,0.9736,0.0001931
5,1.0372,0.988,0.00024138
6,1.0313,0.9856,0.00028966
7,1.0276,0.988,0.00029985
8,1.0304,0.988,0.00029925
9,1.0309,0.988,0.00029817
10,1.0306,0.9904,0.00029662
11,1.0309,0.9952,0.00029461
12,1.0265,0.9976,0.00029215
13,1.0235,0.9952,0.00028923
14,1.0251,0.9928,0.00028588
15,1.0243,0.9976,0.0002821
16,1.0213,0.9976,0.0002779
17,1.0215,0.9928,0.0002733
18,1.0228,0.9952,0.00026831
19,1.023,0.9952,0.00026295
20,1.0229,0.9952,0.00025723
21,1.0332,0.9928,0.00025117
22,1.0301,0.9952,0.0002448
23,1.0273,0.9976,0.00023812
24,1.0276,0.9976,0.00023117
25,1.0276,0.9976,0.00022396
26,1.0294,0.9976,0.00021651
27,1.0296,0.9976,0.00020886
28,1.0264,1.0,0.00020102
29,1.0263,0.9976,0.00019302
30,1.0251,0.9976,0.00018489
31,1.0302,0.9952,0.00017664
32,1.0281,0.9976,0.00016831
33,1.026,0.9928,0.00015992
34,1.0245,0.9952,0.0001515
35,1.0258,0.9952,0.00014308
36,1.024,0.9976,0.00013468
37,1.0227,0.9952,0.00012633
38,1.0236,0.9952,0.00011805
39,1.0228,0.9976,0.00010987
40,1.0223,0.9952,0.00010182
41,1.0264,0.9976,9.392e-05
42,1.024,1.0,8.62e-05
43,1.0248,1.0,7.868e-05
44,1.0238,0.9976,7.138e-05
45,1.0229,1.0,6.433e-05
46,1.0232,1.0,5.756e-05
47,1.0243,1.0,5.107e-05
48,1.0222,1.0,4.49e-05
49,1.0226,1.0,3.905e-05
50,1.0217,1.0,3.356e-05
51,1.0238,0.9976,2.844e-05
52,1.0249,0.9976,2.369e-05
53,1.0215,0.9976,1.935e-05
54,1.0246,0.9976,1.542e-05
55,1.0241,0.9976,1.191e-05
56,1.0242,0.9976,8.84e-06
57,1.0233,0.9976,6.22e-06
58,1.0247,0.9976,4.04e-06
59,1.0235,0.9976,2.33e-06
60,1.0236,0.9976,1.09e-06
