epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0033,0.0191,0.0029,9.99e-05,2.0
2,-0.0032,0.0208,0.0029,9.961e-05,1.98
3,-0.0031,0.0194,0.0029,9.912e-05,1.959
4,-0.0029,0.0187,0.0029,9.844e-05,1.939
5,-0.0032,0.0194,0.0029,9.758e-05,1.918
6,-0.003,0.017,0.0029,9.652e-05,1.898
7,-0.003,0.0198,0.0029,9.529e-05,1.878
8,-0.003,0.0192,0.0029,9.388e-05,1.857
9,-0.0029,0.0209,0.0029,9.229e-05,1.837
10,-0.0029,0.0206,0.0029,9.055e-05,1.816
11,-0.003,0.0196,0.0029,8.864e-05,1.796
12,-0.0029,0.0187,0.0029,8.658e-05,1.776
13,-0.0029,0.019,0.0029,8.439e-05,1.755
14,-0.003,0.019,0.0029,8.205e-05,1.735
15,-0.0028,0.0203,0.0029,7.96e-05,1.714
16,-0.003,0.0195,0.0029,7.702e-05,1.694
17,-0.0029,0.0196,0.0029,7.435e-05,1.673
18,-0.0029,0.0196,0.0029,7.158e-05,1.653
19,-0.0029,0.0193,0.0029,6.872e-05,1.633
20,-0.003,0.0196,0.0029,6.58e-05,1.612
21,-0.0029,0.0208,0.0029,6.281e-05,1.592
22,-0.0031,0.0201,0.0029,5.978e-05,1.571
23,-0.0031,0.0195,0.0029,5.67e-05,1.551
24,-0.0028,0.0198,0.0029,5.361e-05,1.531
25,-0.0031,0.0184,0.0029,5.05e-05,1.51
26,-0.003,0.0197,0.0029,4.739e-05,1.49
27,-0.0029,0.0193,0.0029,4.43e-05,1.469
28,-0.003,0.0197,0.0029,4.122e-05,1.449
29,-0.0031,0.0206,0.0029,3.819e-05,1.429
30,-0.0031,0.0214,0.0029,3.52e-05,1.408
31,-0.0029,0.0187,0.0029,3.228e-05,1.388
32,-0.0031,0.0192,0.0029,2.942e-05,1.367
33,-0.0028,0.0202,0.0029,2.665e-05,1.347
34,-0.0031,0.0184,0.0029,2.398e-05,1.327
35,-0.0031,0.0196,0.0029,2.14e-05,1.306
36,-0.0031,0.0187,0.0029,1.895e-05,1.286
37,-0.003,0.0197,0.0029,1.661e-05,1.265
38,-0.0032,0.0184,0.0029,1.442e-05,1.245
39,-0.003,0.0192,0.0029,1.236e-05,1.224
40,-0.0031,0.0191,0.0029,1.045e-05,1.204
41,-0.0031,0.0203,0.0029,8.71e-06,1.184
42,-0.0031,0.0199,0.0029,7.12e-06,1.163
43,-0.0032,0.0202,0.0029,5.71e-06,1.143
44,-0.0032,0.0206,0.0029,4.48e-06,1.122
45,-0.0031,0.0195,0.0029,3.42e-06,1.102
46,-0.0032,0.0192,0.0029,2.56e-06,1.082
47,-0.0031,0.0192,0.0029,1.88e-06,1.061
48,-0.0031,0.0195,0.0029,1.39e-06,1.041
49,-0.0031,0.0201,0.0029,1.1e-06,1.02
50,-0.003,0.0198,0.0029,1e-06,1.0
