epoch,train_loss,val_acc,lr
1,1.2892,0.9239,4.839e-05
2,1.1167,0.9687,9.677e-05
3,1.0811,0.9911,0.00014516
4,1.0672,0.9955,0.00019355
5,1.0633,0.9933,0.00024194
6,1.0595,0.9978,0.00029032
7,1.0583,0.9978,0.00029985
8,1.0597,0.9955,0.00029923
9,1.0594,1.0,0.00029814
10,1.0587,1.0,0.00029658
11,1.0635,1.0,0.00029456
12,1.0599,1.0,0.00029207
13,1.0586,1.0,0.00028914
14,1.057,1.0,0.00028577
15,1.0561,0.9978,0.00028196
16,1.0579,1.0,0.00027774
17,1.055,1.0,0.00027311
18,1.0539,1.0,0.0002681
19,1.056,0.9978,0.00026271
20,1.0555,0.9955,0.00025696
21,1.0612,1.0,0.00025087
22,1.0589,0.9978,0.00024446
23,1.0595,1.0,0.00023776
24,1.0573,1.0,0.00023077
25,1.0566,1.0,0.00022353
26,1.0573,0.9978,0.00021606
27,1.0568,1.0,0.00020838
28,1.0573,1.0,0.00020051
29,1.0554,1.0,0.00019248
30,1.0572,1.0,0.00018432
31,1.0583,1.0,0.00017605
32,1.0563,1.0,0.00016769
33,1.0562,0.9978,0.00015928
34,1.0554,1.0,0.00015084
35,1.0544,1.0,0.0001424
36,1.054,1.0,0.00013398
37,1.0543,1.0,0.00012562
38,1.0537,1.0,0.00011733
39,1.0528,1.0,0.00010914
40,1.0539,1.0,0.00010108
41,1.0539,1.0,9.318e-05
42,1.0552,1.0,8.546e-05
43,1.0555,1.0,7.794e-05
44,1.0558,1.0,7.066e-05
45,1.0544,1.0,6.362e-05
46,1.0553,1.0,5.685e-05
47,1.0537,1.0,5.039e-05
48,1.0538,1.0,4.423e-05
49,1.0542,1.0,3.842e-05
50,1.0549,1.0,3.295e-05
51,1.0524,1.0,2.786e-05
52,1.0533,1.0,2.315e-05
53,1.0522,1.0,1.885e-05
54,1.0528,1.0,1.496e-05
55,1.0546,1.0,1.15e-05
56,1.0527,1.0,8.48e-06
57,1.0532,1.0,5.9e-06
58,1.0528,1.0,3.79e-06
59,1.0529,1.0,2.13e-06
60,1.0524,1.0,9.5e-07
