epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0047,0.0545,0.0143,9.99e-05,2.0
2,-0.0045,0.0549,0.017,9.961e-05,1.98
3,-0.0044,0.0569,0.0134,9.912e-05,1.959
4,-0.0045,0.0568,0.0134,9.844e-05,1.939
5,-0.0044,0.0547,0.0196,9.758e-05,1.918
6,-0.0043,0.0559,0.0196,9.652e-05,1.898
7,-0.0043,0.0577,0.0161,9.529e-05,1.878
8,-0.0042,0.0586,0.0286,9.388e-05,1.857
9,-0.0042,0.0592,0.0187,9.229e-05,1.837
10,-0.0041,0.0577,0.0179,9.055e-05,1.816
11,-0.004,0.0559,0.0161,8.864e-05,1.796
12,-0.004,0.058,0.008,8.658e-05,1.776
13,-0.004,0.0589,0.0134,8.439e-05,1.755
14,-0.0038,0.055,0.0107,8.205e-05,1.735
15,-0.0038,0.0572,0.0107,7.96e-05,1.714
16,-0.0037,0.0586,0.0134,7.702e-05,1.694
17,-0.0037,0.0567,0.0196,7.435e-05,1.673
18,-0.0038,0.0573,0.0107,7.158e-05,1.653
19,-0.0037,0.0584,0.017,6.872e-05,1.633
20,-0.0037,0.0592,0.0107,6.58e-05,1.612
21,-0.0038,0.06,0.0107,6.281e-05,1.592
22,-0.0038,0.0604,0.0134,5.978e-05,1.571
23,-0.0038,0.0561,0.0134,5.67e-05,1.551
24,-0.0037,0.0586,0.0134,5.361e-05,1.531
25,-0.0038,0.0587,0.0143,5.05e-05,1.51
26,-0.0037,0.0544,0.0134,4.739e-05,1.49
27,-0.0038,0.0575,0.0196,4.43e-05,1.469
28,-0.0038,0.0571,0.0107,4.122e-05,1.449
29,-0.0038,0.0548,0.0107,3.819e-05,1.429
30,-0.0038,0.0622,0.0107,3.52e-05,1.408
31,-0.0038,0.059,0.0107,3.228e-05,1.388
32,-0.0038,0.0573,0.0134,2.942e-05,1.367
33,-0.0039,0.0615,0.0107,2.665e-05,1.347
34,-0.0038,0.0592,0.0143,2.398e-05,1.327
35,-0.0039,0.062,0.017,2.14e-05,1.306
36,-0.0038,0.0582,0.0107,1.895e-05,1.286
37,-0.0039,0.06,0.0054,1.661e-05,1.265
38,-0.0039,0.0596,0.0107,1.442e-05,1.245
39,-0.0039,0.0575,0.0107,1.236e-05,1.224
40,-0.0039,0.0598,0.008,1.045e-05,1.204
41,-0.0039,0.057,0.0054,8.71e-06,1.184
42,-0.0038,0.0618,0.0134,7.12e-06,1.163
43,-0.0039,0.058,0.0134,5.71e-06,1.143
44,-0.0039,0.0609,0.017,4.48e-06,1.122
45,-0.0039,0.0607,0.0107,3.42e-06,1.102
46,-0.0039,0.0632,0.0107,2.56e-06,1.082
47,-0.0039,0.0604,0.0196,1.88e-06,1.061
48,-0.0039,0.0589,0.0134,1.39e-06,1.041
49,-0.004,0.0595,0.025,1.1e-06,1.02
50,-0.0039,0.0607,0.0214,1e-06,1.0
