epoch,train_loss,val_acc,lr
1,1.1927,0.8859,4.839e-05
2,1.0359,0.9642,9.677e-05
3,0.9968,0.9843,0.00014516
4,0.9753,0.9955,0.00019355
5,0.9694,0.9911,0.00024194
6,0.9653,1.0,0.00029032
7,0.9654,0.9955,0.00029985
8,0.9639,0.9978,0.00029923
9,0.9643,0.9955,0.00029814
10,0.9636,0.9978,0.00029658
11,0.9678,0.9978,0.00029456
12,0.9716,0.9978,0.00029207
13,0.9697,0.9978,0.00028914
14,0.9677,1.0,0.00028577
15,0.9656,1.0,0.00028196
16,0.9642,1.0,0.00027774
17,0.9621,1.0,0.00027311
18,0.963,1.0,0.0002681
19,0.9645,1.0,0.00026271
20,0.9641,1.0,0.00025696
21,0.9667,1.0,0.00025087
22,0.9648,1.0,0.00024446
23,0.9655,0.9978,0.00023776
24,0.9657,0.9978,0.00023077
25,0.9632,0.9978,0.00022353
26,0.9644,0.9978,0.00021606
27,0.9646,0.9978,0.00020838
28,0.9637,0.9978,0.00020051
29,0.9652,0.9978,0.00019248
30,0.9641,0.9978,0.00018432
31,0.9624,0.9978,0.00017605
32,0.9648,1.0,0.00016769
33,0.9622,0.9978,0.00015928
34,0.9629,0.9978,0.00015084
35,0.9632,0.9978,0.0001424
36,0.9618,0.9978,0.00013398
37,0.9627,0.9978,0.00012562
38,0.9606,0.9978,0.00011733
39,0.9617,0.9978,0.00010914
40,0.9613,0.9978,0.00010108
41,0.962,1.0,9.318e-05
42,0.9635,1.0,8.546e-05
43,0.9629,1.0,7.794e-05
44,0.9632,1.0,7.066e-05
45,0.9625,1.0,6.362e-05
46,0.9628,1.0,5.685e-05
47,0.9623,1.0,5.039e-05
48,0.9635,1.0,4.423e-05
49,0.9611,1.0,3.842e-05
50,0.9636,1.0,3.295e-05
51,0.9607,0.9955,2.786e-05
52,0.962,0.9955,2.315e-05
53,0.9626,0.9955,1.885e-05
54,0.9599,0.9955,1.496e-05
55,0.962,0.9955,1.15e-05
56,0.962,0.9955,8.48e-06
57,0.9611,0.9955,5.9e-06
58,0.9605,0.9955,3.79e-06
59,0.9618,0.9955,2.13e-06
60,0.962,0.9955,9.5e-07
