sample_id,question,chain_q_orig,chain_q_extended,retrieved_q1,retrieved_q2,retrieved_q3,answer_ref,answer_pred,bleu4_sample,cosine_sim_sample,rouge1,rouge2,rougel,meteor,bleu4,bleu1,bleu2,bleu3,bleu_bp,chrf,cosine_sim,cosine_sim_med,bertscore
1,"Sir, I took my mother agricultural land after death in 1995, I have renovated with huge amount this land. Now, after 24 years my sister demanding share. Otherwise she wants to file suit for possession. She got rights to claim her share.( Bangalore, Karnataka )",Leave to File Suit Granted → Decree of Declaration and Injunction Obtained,Leave to File Suit Granted → Decree of Declaration and Injunction Obtained → Institution Declared as Religious Denomination,"My mother died recently because of my father who had an illegal affair. So it's my father's turn to torture me because i know his true colors and all the truth. He doesn't earn at all but spends lavishly to keep him happy and make him look good but he doesn't give me and my sister any money even for snacks. Even the food we eat is decided by him. He is torturing me mentally more with each passing day. He is using the worst filthy words against me even MF sometimes. He usually uses sexually bad words against me. And talks cheap of me everytime. I can't take this anymore. Please help me( Coimbatore, Tamil Nadu )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,Whatever may be did . But she's legal hair . She having such property right,"Under the Hindu Succession Act, 1956, daughters have equal rights to inherit their parents' property, including agricultural land, after the amendment in 2005. Since your mother passed away in 1995, your sister may still have a claim to her share of the property, as the amendment applies retrospectively to daughters born before the amendment. 

You cannot deny her legal right to claim her share. However, if you have made substantial improvements to the property, you may be able to claim compensation for the enhancements made. Consider negotiating a settlement with your sister or consult a local property lawyer to assess the possibility of defending against the suit or seeking compensation for improvements.",0.7832,43.3874,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
2,"My grandfather died intestate. All his children have passed on too. The property still stands in my grandfather's name. How does it get divided between his grandchildren? Do we have to obtain any court order or document to transfer the property to transfer the property to the names of the grandchildren( Mumbai suburban, Maharashtra )",Respondent-Society Owned the Property → Appellant Claimed Right to Possession,Respondent-Society Owned the Property → Appellant Claimed Right to Possession,"My mother died recently because of my father who had an illegal affair. So it's my father's turn to torture me because i know his true colors and all the truth. He doesn't earn at all but spends lavishly to keep him happy and make him look good but he doesn't give me and my sister any money even for snacks. Even the food we eat is decided by him. He is torturing me mentally more with each passing day. He is using the worst filthy words against me even MF sometimes. He usually uses sexually bad words against me. And talks cheap of me everytime. I can't take this anymore. Please help me( Coimbatore, Tamil Nadu )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,"DearTo facilitate the transfer of the property to the names of the grandchildren, it may be necessary to go through a legal process that involves obtaining a succession certificate or a letter of administration from the court. This process helps establish the rightful heirs and their respective shares in the property.","Under the Hindu Succession Act, 1956, if a Hindu male dies intestate, his property is inherited by his legal heirs as per the rules of succession. In this case, since all of your grandfather's children have passed away, the grandchildren would inherit the property per stirpes, meaning each branch of the family receives an equal share. 

To transfer the property to the grandchildren's names, a legal heir certificate or succession certificate may be required, which can be obtained from the court. The grandchildren should file a partition suit if there is any dispute regarding the division of shares. It is advisable to consult with a local property lawyer to assist with the documentation and court proceedings.",6.0483,68.0389,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
3,"What to do my wife has put all possible charges against me and my parents like dowry sexual abuse by me and my father , domestic violence, my father is 64 years please advice what to do( Kanpur, Uttar Pradesh )",Wife Suffered Domestic Violence → Husband Accused of Attempted Murder,Wife Suffered Domestic Violence → Husband Accused of Attempted Murder,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,"I am married legally and we had marriage registry also one year past.But the problem is my husband has a ex-wife and a child but he left them about 5 years ago without any divorce as the girl was not good she was physically active with other boys.We are Muslim and he married her in Islam agreement they had not done any registry marrige.So the problem is I am scared the she didn't know about our marrige as we had done registry and marrige in House by Kaji we had not done marrige celebrations or ceremony we will do later as he is now busy with his work but .So if she comes to know about that she might come back and file case or do some disturbance or try to break our marrige by fighting with local areas mens or with her family.And my husband legally can't gave her divorce beacuse she was demanding a huge money which was impossible for my husband.Does our marrige have no right? can't we protect that situation?Is there any way to handle in this situation?( Howrah, West Bengal )","Dear Sir,It is casual not to worry. You may go to High Court and get the charge is stayed then quashed by hiring a reputed advocate.","The primary legal issue involves defending against accusations of dowry harassment, sexual abuse, and domestic violence under the Indian Penal Code (IPC) and the Protection of Women from Domestic Violence Act, 2005. The user and their family should immediately seek anticipatory bail under Section 438 of the Criminal Procedure Code to prevent arrest. Gather evidence such as communication records, financial transactions, and witness testimonies that can refute the allegations. Engage a criminal defense attorney to file a petition for quashing the FIR under Section 482 of the CrPC if the charges appear to be false or malicious. Additionally, consider filing a counter-complaint if there is evidence of false accusations or extortion.",0.4999,40.5983,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
4,"How to apply caste certificate( Srikakulam, Andhra Pradesh )",Scheduled Caste Certificate Cancelled → Criminal Case Pending for Fraud,Scheduled Caste Certificate Cancelled → Criminal Case Pending for Fraud → Marriage Performed as per Vedic Hindu Rites,My brother creating domestic violence and abusing my mother and sister and physical hurting every one with provocation of his wife.,"Domestic violence abused use lanuages( Ghaziabad, Uttar Pradesh )","For a married couple, is it advisable to spend money on siblings ?( Guntur, Andhra Pradesh )",Dear ClientTo apply for the caste certificate you will have to submit an application to the panchayat or block depending on where you reside. You may also get the same from the local councilor if you live in a city.,"To apply for a Scheduled Caste (SC) certificate in Andhra Pradesh, the applicant must demonstrate eligibility by belonging to a recognized SC community as per the Constitution (Scheduled Castes) Order. Under the Andhra Pradesh Scheduled Castes (SC) Certificate Issuance Rules, applicants need to provide proof of identity, residence, and community, such as a birth certificate and an affidavit from a local authority or community leader. Legally, an individual cannot obtain an SC certificate through fraudulent means, as this constitutes an offense under sections such as 420 of the Indian Penal Code for cheating.

Next steps: 
1. Gather necessary documents, including proof of residence, identity, and community.
2. Submit the application through the MeeSeva portal or at the local Mandal Revenue Office, ensuring all information is accurate and truthful.",0.9614,66.3882,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
5,"My Aunt (Father's Sister) was not available at the time of GIFT DEED written on my name by my GRAND PARENT'S and they have only two kids (DAD and AUNT) and my aunt has son and daughter and they live in Chennai and my AUNT is willing to give NO OBJECTION DOCUMENT. So can i take any NO OBJECTION Couriered to her and signed and returned back to me as a supporting document of GIFT DEED, So that i don't need her signature in future if i want to sell the property.( Hyderabad, Andhra Pradesh )",Validity of Gift Deed Established → Claim of Heirs to Property,Validity of Gift Deed Established → Claim of Heirs to Property → Section 48 of the Marumakkathayam Act,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )",A maintenance CRP case is in proceeding with the family court. The respondent gave a counter that he is ready now to live a happy conjugal life with the petitioner. The petitioner agreed and requested the family court to issue an observation order so that the petitioner can join the respondent in the eyes of justice . The family court who had assured to take care the safety of the petitioner denied the observation period. The family court further said that it is up to the petitioner to join the respondent or not. But the family court cannot issue an observation order. Did the family court judge did a right thing? What should the petitioner do as she is not comfortable to join without an observation order issued by the family court ?,"Wife found guilty in sec 125 and rcr sec 9 as she provided false information to hon. court and filed out of jurisdiction cases at family court and executed it for long 5 years. Now court said that she may undergo legal remedy as per law if so advised. What is Legal Remedy under law for filing false and out of jurisdiction case on false information and cheating the Court.( Mumbai City, Maharashtra )","Dear Sir,Now, it cannot happen.","The validity of a gift deed is determined by the fulfillment of conditions under the Transfer of Property Act, 1882, particularly Sections 122 and 123, which require that the gift be made voluntarily and accepted by the donee. If the gift deed from your grandparents to you is validly executed and registered, your aunt's consent is not legally required for the transfer of property. However, obtaining a No Objection Certificate (NOC) from your aunt can serve as additional evidence of family consensus, which may prevent future disputes. 

To proceed, you can draft a NOC for your aunt to sign, ensuring it is clear and unambiguous about her non-objection to the gift deed. Consider having the NOC notarized for added legal weight.",0.3718,7.7937,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
6,"Is there any legal way to ask financial support from my father bcos i turned 18 in jan 2022 and he left me and completely refused to give a single penney. Can I  get a legal help?( Surat, Gujarat )","District Magistrate Required to Give Opportunity to Tenant → Section 16(1) of the Uttar Pradesh Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972","District Magistrate Required to Give Opportunity to Tenant → Section 16(1) of the Uttar Pradesh Urban Buildings Regulation of Letting, Rent and Eviction Act, 1972 → Proviso to Section 16(1) Not Applicable for Release to Landlord","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Property in the name of mother now  her son wife means daughter in law asking property as Bec her husband died. Even she was asking father in law share. But issue was all property in the name of mother in law and father in law died even his son also died. Issue was can daughter in law go to court to ask share of his husband.. 
Means father in law property...( Dharwad, Karnataka )","The opposite party filed some xerox copies through list of documents in family court. Can I get the certified copy. If no what is the way to get it. I was allowed to take the Xerox copy what it I myself take the documents and validated through notry to make it true copy that these xerox were filed by the opposite party and ask opposite party to validate by filing a rejoinder. Now can I get the the certified copy now? Or any other way( Dhanbad, Jharkhand )","Dear ClientAs per the Section 125 of Cr.P.C. only a minor child can ask for maintenance from the father or a major child who suffers from some disability.Even under the Hindu Adoption and Maintenance Act, 1956, Section 20 only a minor child can ask for maintenance.","Under Indian law, once a child turns 18, the legal obligation of a father to provide maintenance generally ceases unless the child is unable to maintain themselves due to physical or mental abnormalities or injuries, as per Section 125 of the Code of Criminal Procedure, 1973. If you are unable to support yourself due to such conditions, you may file a petition for maintenance in the family court. However, if you are capable of earning, the court may not grant maintenance.

If you believe you qualify for maintenance, gather evidence of your inability to support yourself and consult a local lawyer to file a petition in the family court. If your situation does not meet the criteria for maintenance, consider exploring other forms of support, such as education or employment opportunities.",1.965,74.9306,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
7,"Mere father apne 3 sons m se kisi ek ko apni property ka extra part de to other son case kr ke us property ko distribute kara sakte ya nhi( Jhansi, Uttar Pradesh )","Payment Made to Other Claimants → Section 275 of the Indian Succession Act, 1925","Payment Made to Other Claimants → Section 275 of the Indian Succession Act, 1925 → Division Bench Dismissed Appeal → Section 53 of the Transfer of Property Act → Claim for G.P.F. by Respondent → Succession Certificate Required for Claim","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","The opposite party filed some xerox copies through list of documents in family court. Can I get the certified copy. If no what is the way to get it. I was allowed to take the Xerox copy what it I myself take the documents and validated through notry to make it true copy that these xerox were filed by the opposite party and ask opposite party to validate by filing a rejoinder. Now can I get the the certified copy now? Or any other way( Dhanbad, Jharkhand )","Property in the name of mother now  her son wife means daughter in law asking property as Bec her husband died. Even she was asking father in law share. But issue was all property in the name of mother in law and father in law died even his son also died. Issue was can daughter in law go to court to ask share of his husband.. 
Means father in law property...( Dharwad, Karnataka )",NO.,"Under Hindu Succession Act, 1956, a father has the right to distribute his self-acquired property as he wishes, including giving an extra portion to one son. If the property is ancestral, all sons have an equal right, and unequal distribution can be contested in court. If the property is self-acquired, the other sons generally cannot legally challenge the distribution.

To address this, the sons who feel aggrieved can file a suit for partition if they believe the property is ancestral. Consulting a local lawyer to evaluate the nature of the property and the father's will or gift deed, if any, is a prudent next step.",0.3009,1.0891,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
8,"If run away couple are 20yrs old both..girl and boy(girl is above 18 but boy is not above21) with consent of girl and For girl run away from home is necessary as she has threat of life and liberty and if they run they as per law they can't do marriage as boy is not above 21..what The Boy can Do In Such Circumstances? As girl's parents often file complaints like rape, kidnapping, brain washing etc.( Vadodara, Gujarat )",Marriage of Minor Girl Disputed,Marriage of Minor Girl Disputed,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","My mother died recently because of my father who had an illegal affair. So it's my father's turn to torture me because i know his true colors and all the truth. He doesn't earn at all but spends lavishly to keep him happy and make him look good but he doesn't give me and my sister any money even for snacks. Even the food we eat is decided by him. He is torturing me mentally more with each passing day. He is using the worst filthy words against me even MF sometimes. He usually uses sexually bad words against me. And talks cheap of me everytime. I can't take this anymore. Please help me( Coimbatore, Tamil Nadu )",Hi.. I am a 25 year old single parent..I got divorced a year back..I have decree under guardianship and wardsp Act awarding me guardianship of my 1year daughter..my divorce was mutual consent..subsequently after child birth the hospital authorities issued birth certificate including her father name..I don't want to add his name in anyt documents..I came across supreme court judgment ABC Vs.NCT where mother name is sufficiently enough in any legal document..my question is there any specific government order to substantiate supreme Court order..can I apply for further legal documents with my guardianship decree alone...pls advice rationally,Wait for the guy to be 21 and thereafter get married. Precautionary steps.1. Gain the trust of the female2. Charges of rape etc may take place3. Start living in together4. Keep proofs that she was living consent fully with you for eg. open a joint bank account or any other thing.,"Under the Prohibition of Child Marriage Act, 2006, the legal age for marriage is 18 for females and 21 for males in India. Since the boy is under 21, the marriage is voidable at the option of the parties. However, the girl, being over 18, has the legal right to make decisions regarding her own life, including leaving home if she feels threatened.

The boy should avoid any actions that could be construed as abduction or coercion. To protect themselves, they should document any threats to the girl's life and liberty and consider seeking a legal remedy such as a writ petition for protection under Article 21 of the Constitution of India, which guarantees the right to life and personal liberty. Consulting a local attorney to explore filing for anticipatory bail to preemptively address potential criminal charges is advisable.",0.8539,55.5091,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
9,"I am a widow. I have 2 daughters from first marriage, the elder is 19 years and the younger is 13 years. I am planning for second marriage with a widower with 2 kids, how to protect my property. Will the second husband have the rights on my property after marriage. Please suggest.( Bangalore, Karnataka )",Disciplinary Proceedings Initiated for Second Marriage → Termination of Services Challenged,Disciplinary Proceedings Initiated for Second Marriage → Termination of Services Challenged → Rules for Discharge of Secretary Examined → Allegation of Second Marriage Against Conduct Rules → New Board Established Under 1963 Act,"I have a son who is so much irresponsible,he has created issues for the family including debts(above 16lkh), destruction of the family name, embarrassing whole family..we have done our best and paid most of his debts and tried holding him close ..He has turned 26 nd yet he is not ready to change..we need to take a legal action against him and forbid him frm our family..how should we move legally against him?( Kollam, Kerala )","I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","Sir .
My name Mahesh Kumar Sharma
In my wife documents her name mentioned.
Ankita Mahesh Kumar . before marriage wife name Ankita Kumari  before marriage wife have no property or any investment nothing she has before marriage 
In her documents Husband name colume Mahesh Kumar Sharma. Mentioned 

My question is in his name my surname not mentioned is it create any problem to transfer property or any other one like visa or any other

We have only single family In.
ration card and in Rajasthan Jan adhar card all my name as par Addhar card .
Like my Name Mahesh Kumar Sharma
My wife name Ankita Mahesh kumar .

Is it ok our we face any issue please reply .( Pali, Rajasthan )","Hi,While the wife is alive the husband has no right over her self acquired property or ancestral property. If wife dies without executing a will her husband and children will succeed to her share in the ancestral property. Therefore, if you wish to protect your property from him, make a will in the name of your children with first husband.If you like my answer, please give a good review.","Under Indian law, a second husband does not automatically have rights to a wife's property acquired before marriage. According to the Hindu Succession Act, 1956, property owned by a woman prior to remarriage remains her absolute property, and she retains full rights over it. To ensure protection of your property, consider drafting a will specifying that your property should pass to your daughters or any other beneficiaries of your choice.

Next steps include consulting with a legal professional to draft a will and possibly creating a prenuptial agreement to outline property rights clearly. Additionally, ensure that property titles and other legal documents are updated to reflect your intentions regarding ownership and succession.",1.6198,67.9698,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
10,"My girlfriend is Indonesian and lives in Indonesia. She got married forcefully married in April this year. I am thinking to get her to India secretly and get her pregnant so that she easily gets divorced. Are there any legal issues in this step? Actually, no other way seems possible, I really want to live my whole life with her.( Ghaziabad, Uttar Pradesh )",Wife Refused to Live with Husband,Wife Refused to Live with Husband,"I am a HIndu. In Sec 125 maintenance case Principal Judge Family Court passed an order to pay Rs. 16000/- (sixteen thousand) per month to wife from the date of application and the order passed after 03 years 03 months. Hence more than Six lakhs Rupees I have to pay within one month to my wife as per order of Family Court and practically it is not possible for me to pay this much huge amount at once. Though I am going to appeal in high court but I don't know what decision will be given by high court. My question is - Is it possible that I can pay this amount in installments. Does family court permit me to pay in installments as I am not having this much huge amount with me.( Jamnagar, Gujarat )","We got married 7 months ago with Hindu rituals itâs a love Cum arranged interstate marriage accepted by both parents . Before marriage they said they donât need dowry or any gifts to them or the grooms sister . But Soon after marriage the family started demanding for gifts etc .The guy is unemployed from start and Iâm a Govt employee we both stayed at my place .Then he left me after knowing Iâm pregnant saying pregnancy is a mistake and Iâm not responsible and run away with his parents .What action I should take now ? I donât want divorce I need father to my future baby( Chittoor, Andhra Pradesh )","I got married to a guy who is working in dubai native of andhra pradesh,india..after marriage i stayed with him till 3 months..once i concieved got back to my parents..from day 1 after marriage in -laws are harrasing alot for more dowry and abusing a lot..they thretened my husband not to talk to me and my parents..i gave birth to a baby girl..

many issues happened meanwhile..some of our relatives involved to resolve this..but of no use..they are abusing all of us and threatning to do whatever we want..it's been 2years of my marriage..from 2 months my husband is not attending our calls and not responding..
please advice me what to do and to proceed..we contacted police in our locality.
.but of no use as they are saying that he is NRI we can't do anything.How to get him in contact to solve this..whether he want lo live with me or not..how long i have to wait with a child without contact with him..
please help me out of this ..

awaiting your reply..

thank you( Vijayawada, Andhra Pradesh )","Hi,she can file for divorce in Indonesia.she can send her spouse a legal notice and later claim that the marriage happened without her consent and was forcefully done.","The proposed plan to bring your girlfriend to India and get her pregnant to facilitate a divorce could lead to several legal issues, including charges of abduction, adultery, and potentially human trafficking under Indian law. Under Section 497 of the Indian Penal Code, adultery was decriminalized but can still be grounds for divorce in India. However, facilitating or encouraging someone to breach their marital obligations can have legal consequences in both Indonesia and India.

Legally, you cannot bring someone to another country without their consent or under false pretenses. Instead, your girlfriend should seek legal counsel in Indonesia to explore options for annulment or divorce based on coercion or duress. Consider consulting a lawyer specializing in international family law to understand the legal implications and options available in both countries.",1.611,77.2457,17.4856,3.1829,15.5301,19.3649,2.502,17.8904,3.6179,1.129,1.0,23.3626,49.4677,52.4214,83.8458
